qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.45,0.2307,21.1673,15.7281,0.2453,317.4663,9.216
0.45,0.2357,15.0466,16.3106,0.2501,349.9673,21.4279
0.45,0.241,17.3723,17.9128,0.2555,355.0506,21.8885
0.45,0.2458,6.8828,17.1844,0.2597,335.9372,18.6626
0.45,0.2504,-43.5094,36.9901,0.2654,346.321,19.5862
0.45,0.2556,-43.5137,37.5724,,,
0.45,0.2607,0.0258,36.9901,,,
0.45,0.2657,3.5167,39.757,,,
0.55,0.0349,-2.5587,4.1741,0.0196,22.1583,7.0986
0.55,0.0414,-2.0176,3.9929,0.0243,33.6874,6.4331
0.55,0.0445,0.2494,4.3555,0.0352,52.3072,7.0987
0.55,0.0502,-0.2073,3.9019,0.0401,63.1706,6.2115
0.55,0.0552,-0.4821,4.1743,0.0452,71.3717,5.9894
0.55,0.0604,-0.5756,4.3559,0.0505,86.2275,6.2115
0.55,0.065,3.0518,3.9021,0.0554,103.0802,5.7677
0.55,0.0706,7.4046,3.9926,0.0609,111.9463,6.6548
0.55,0.0755,9.6707,4.7187,0.0659,124.1405,6.4331
0.55,0.0805,12.1182,5.717,0.0714,134.7813,5.9895
0.55,0.0856,13.4767,6.1707,0.0758,148.0853,6.2113
0.55,0.0904,17.0132,6.0802,0.0809,160.7231,6.4333
0.55,0.095,27.9909,6.715,0.0851,174.2492,5.9896
0.55,0.0997,26.6273,7.4409,0.0903,185.7777,7.0985
0.55,0.1051,26.3523,8.7114,0.0952,196.4193,5.9893
0.55,0.1098,32.9741,8.4392,0.1002,213.4936,6.8766
0.55,0.1153,33.2435,8.2578,0.105,232.121,9.095
0.55,0.1198,32.4245,8.6207,0.1105,243.871,10.2041
0.55,0.1247,33.0572,8.4391,0.1153,252.0725,7.0986
0.55,0.1299,29.5154,11.071,0.1203,263.823,7.986
0.55,0.1348,35.4113,11.1613,0.126,277.5691,8.4294
0.55,0.1398,42.396,11.0707,0.1309,292.2037,8.8734
0.55,0.1449,46.5676,12.0689,0.1365,300.4041,9.539
0.55,0.15,51.5558,12.3412,0.1411,305.5003,10.6478
0.55,0.155,48.0142,12.9764,0.1464,311.0394,9.3171
0.55,0.16,49.8265,12.0689,0.1511,316.1355,11.0914
0.55,0.1651,50.3683,12.7949,0.1569,325.8886,9.9826
0.55,0.1701,50.275,13.9744,0.1618,328.5443,8.8733
0.55,0.175,47.6409,15.88,0.1666,331.2001,9.3169
0.55,0.1803,52.1753,14.6098,0.1713,336.2961,9.7607
0.55,0.1852,59.2508,13.43,0.1758,343.3889,11.7573
0.55,0.1906,60.6092,13.2485,0.1808,341.1643,11.7571
0.55,0.1954,64.5994,15.245,0.1856,337.8308,9.9824
0.55,0.2002,62.8728,13.8835,0.1907,334.9406,9.9823
0.55,0.2055,66.5906,12.5225,0.1957,328.2794,11.5353
0.55,0.2104,74.755,13.3395,0.2032,326.7171,9.095
0.55,0.2158,73.3003,14.7915,0.2114,321.3828,10.426
0.55,0.2208,63.3159,13.4301,0.2163,316.2746,11.0915
0.55,0.2259,65.9448,13.7026,0.2217,318.9297,9.5385
0.55,0.2308,70.5702,15.0636,0.2259,315.1533,8.4296
0.55,0.2357,60.4951,14.519,0.2311,304.2771,9.5387
0.55,0.2404,62.7612,15.4265,0.2399,303.1569,9.7609
0.55,0.2456,66.842,16.4246,0.2456,296.4948,10.426
0.55,0.2504,54.9521,15.4262,0.2508,296.4882,9.5386
0.55,0.2553,52.5902,16.5153,0.2565,298.9211,10.426
0.55,0.2602,61.6621,18.6932,0.2606,294.7012,13.0879
0.55,0.2651,46.7775,15.88,0.2661,294.9161,11.7567
0.55,0.27,33.5263,15.6081,0.2722,293.7992,9.7604
0.55,0.2749,20.3659,16.8783,0.2762,296.6778,12.6441
