Z,A,E0,ThetaDeg,nu,cross,error,dataSet
79,197,3.595,16.02,0.6,38020,1543,Day:1993md
79,197,3.595,16.02,0.615,37730,1505,Day:1993md
79,197,3.595,16.02,0.63,38040,1536,Day:1993md
79,197,3.595,16.02,0.645,36560,1127,Day:1993md
79,197,3.595,16.02,0.66,38850,1151,Day:1993md
79,197,3.595,16.02,0.675,39920,1137,Day:1993md
79,197,3.595,16.02,0.69,43390,1579,Day:1993md
79,197,3.595,16.02,0.705,40950,1572,Day:1993md
79,197,3.595,16.02,0.72,43080,1587,Day:1993md
79,197,3.595,16.02,0.735,41420,1507,Day:1993md
79,197,3.595,16.02,0.75,38950,1508,Day:1993md
79,197,3.595,16.02,0.765,42870,1145,Day:1993md
79,197,3.595,16.02,0.78,40100,1082,Day:1993md
79,197,3.595,16.02,0.795,41990,1119,Day:1993md
79,197,3.595,16.02,0.81,43800,1549,Day:1993md
79,197,3.595,16.02,0.825,42890,1506,Day:1993md
79,197,3.595,16.02,0.84,42160,1487,Day:1993md
79,197,3.595,16.02,0.855,42180,1494,Day:1993md
79,197,3.595,16.02,0.87,39760,1134,Day:1993md
79,197,3.595,16.02,0.885,43120,1186,Day:1993md
79,197,3.595,16.02,0.9,42050,1162,Day:1993md
79,197,3.595,16.02,0.915,43910,1790,Day:1993md
79,197,3.595,16.02,0.93,41440,1699,Day:1993md
79,197,3.595,16.02,0.945,43860,1797,Day:1993md
79,197,3.595,16.02,0.96,41450,1760,Day:1993md
79,197,3.595,16.02,0.975,43350,1237,Day:1993md
79,197,3.595,16.02,0.99,45040,1243,Day:1993md
79,197,3.595,16.02,1.005,41390,1577,Day:1993md
79,197,3.595,16.02,1.02,44980,1667,Day:1993md
79,197,3.595,16.02,1.035,44480,1634,Day:1993md
79,197,3.595,16.02,1.05,43890,1578,Day:1993md
79,197,3.595,16.02,1.065,44910,1645,Day:1993md
79,197,3.595,16.02,1.08,41950,1191,Day:1993md
79,197,3.595,16.02,1.095,44120,1217,Day:1993md
79,197,3.595,16.02,1.11,45310,1767,Day:1993md
79,197,3.595,16.02,1.125,42650,1714,Day:1993md
79,197,3.595,16.02,1.14,43040,1760,Day:1993md
79,197,3.595,16.02,1.155,42480,1775,Day:1993md
79,197,3.595,16.02,1.17,47440,1329,Day:1993md
79,197,3.595,16.02,1.185,45560,1240,Day:1993md
79,197,3.595,16.02,1.2,46040,1627,Day:1993md
79,197,3.595,16.02,1.215,43500,1549,Day:1993md
79,197,3.595,16.02,1.23,45440,1563,Day:1993md
79,197,3.595,16.02,1.245,48850,1615,Day:1993md
79,197,3.595,16.02,1.26,46330,1571,Day:1993md
79,197,3.595,16.02,1.275,46450,1238,Day:1993md
79,197,3.595,16.02,1.29,46120,1257,Day:1993md
79,197,3.595,16.02,1.305,42750,1838,Day:1993md
79,197,3.595,16.02,1.32,45820,1830,Day:1993md
79,197,3.595,16.02,1.335,43760,1780,Day:1993md
79,197,3.595,16.02,1.35,41880,1777,Day:1993md
79,197,3.595,16.02,1.365,44260,1353,Day:1993md
79,197,3.595,16.02,1.38,43330,1318,Day:1993md
79,197,3.595,16.02,1.395,45010,1898,Day:1993md
79,197,3.595,16.02,1.41,46510,1898,Day:1993md
79,197,3.595,16.02,1.425,41440,1770,Day:1993md
79,197,3.595,16.02,1.44,41400,1286,Day:1993md
79,197,3.595,16.02,1.455,42500,1270,Day:1993md
79,197,3.595,16.02,1.47,45840,1796,Day:1993md
79,197,3.595,16.02,1.485,42460,1715,Day:1993md
79,197,3.595,16.02,1.5,43950,1732,Day:1993md
79,197,3.595,16.02,1.515,41790,1697,Day:1993md
79,197,3.595,16.02,1.53,40220,1692,Day:1993md
79,197,3.595,16.02,1.545,40560,1731,Day:1993md
79,197,3.595,20.016,0.165,1.868,0.652,Day:1993md
79,197,3.595,20.016,0.18,2.75,0.663,Day:1993md
79,197,3.595,20.016,0.195,5.812,0.9507,Day:1993md
79,197,3.595,20.016,0.21,8.07,1.094,Day:1993md
79,197,3.595,20.016,0.225,14.66,1.456,Day:1993md
79,197,3.595,20.016,0.24,21.19,1.794,Day:1993md
79,197,3.595,20.016,0.255,31.87,2.305,Day:1993md
79,197,3.595,20.016,0.27,38.43,1.999,Day:1993md
79,197,3.595,20.016,0.285,53.55,2.3,Day:1993md
79,197,3.595,20.016,0.3,69.1,2.555,Day:1993md
79,197,3.595,20.016,0.315,99.66,4.888,Day:1993md
79,197,3.595,20.016,0.33,123.5,5.378,Day:1993md
79,197,3.595,20.016,0.345,163.8,6.135,Day:1993md
79,197,3.595,20.016,0.36,204.3,6.817,Day:1993md
79,197,3.595,20.016,0.375,250.7,7.55,Day:1993md
79,197,3.595,20.016,0.39,317,8.668,Day:1993md
79,197,3.595,20.016,0.405,408.7,9.451,Day:1993md
79,197,3.595,20.016,0.42,496.3,10.55,Day:1993md
79,197,3.595,20.016,0.435,612.9,11.91,Day:1993md
79,197,3.595,20.016,0.45,850,35.73,Day:1993md
79,197,3.595,20.016,0.465,1052,38.6,Day:1993md
79,197,3.595,20.016,0.48,1239,41.06,Day:1993md
79,197,3.595,20.016,0.495,1487,44.77,Day:1993md
79,197,3.595,20.016,0.51,1715,47.82,Day:1993md
79,197,3.595,20.016,0.525,2051,46.93,Day:1993md
79,197,3.595,20.016,0.54,2384,50.6,Day:1993md
79,197,3.595,20.016,0.555,2785,55.81,Day:1993md
79,197,3.595,20.016,0.57,3103,116.4,Day:1993md
79,197,3.595,20.016,0.585,3639,125,Day:1993md
79,197,3.595,20.016,0.6,3870,122.2,Day:1993md
79,197,3.595,20.016,0.615,4277,125.8,Day:1993md
79,197,3.595,20.016,0.63,4876,137.5,Day:1993md
79,197,3.595,20.016,0.645,5007,123.5,Day:1993md
79,197,3.595,20.016,0.66,5284,126.9,Day:1993md
79,197,3.595,20.016,0.675,5507,125.5,Day:1993md
79,197,3.595,20.016,0.69,6093,245,Day:1993md
79,197,3.595,20.016,0.705,6534,253.2,Day:1993md
79,197,3.595,20.016,0.72,6344,239.9,Day:1993md
79,197,3.595,20.016,0.735,6606,245.4,Day:1993md
79,197,3.595,20.016,0.75,6723,190.4,Day:1993md
79,197,3.595,20.016,0.765,7019,186.9,Day:1993md
79,197,3.595,20.016,0.78,7525,196.3,Day:1993md
79,197,3.595,20.016,0.795,7677,281,Day:1993md
79,197,3.595,20.016,0.81,7272,272.6,Day:1993md
79,197,3.595,20.016,0.825,8401,290.9,Day:1993md
79,197,3.595,20.016,0.84,8130,286.3,Day:1993md
79,197,3.595,20.016,0.855,7945,286.2,Day:1993md
79,197,3.595,20.016,0.87,8092,289.8,Day:1993md
79,197,3.595,20.016,0.885,8187,296.6,Day:1993md
79,197,3.595,25.012,0.375,0.8669,0.4318,Day:1993md
79,197,3.595,25.012,0.405,1.843,0.4368,Day:1993md
79,197,3.595,25.012,0.42,2.546,0.5259,Day:1993md
79,197,3.595,25.012,0.435,3.19,0.5804,Day:1993md
79,197,3.595,25.012,0.45,3.269,0.6124,Day:1993md
79,197,3.595,25.012,0.465,3.797,0.6466,Day:1993md
79,197,3.595,25.012,0.48,5.765,0.712,Day:1993md
79,197,3.595,25.012,0.495,6.072,0.7232,Day:1993md
79,197,3.595,25.012,0.51,8.401,0.8798,Day:1993md
79,197,3.595,25.012,0.525,11.13,1.021,Day:1993md
79,197,3.595,25.012,0.54,15.05,2.868,Day:1993md
79,197,3.595,25.012,0.555,23.75,3.503,Day:1993md
79,197,3.595,25.012,0.57,17.97,3.017,Day:1993md
79,197,3.595,25.012,0.585,27.59,3.918,Day:1993md
79,197,3.595,25.012,0.6,27.59,3.993,Day:1993md
79,197,3.595,25.012,0.615,37.62,3.693,Day:1993md
79,197,3.595,25.012,0.63,43.09,3.832,Day:1993md
79,197,3.595,25.012,0.645,53.02,6.513,Day:1993md
79,197,3.595,25.012,0.66,71.29,7.86,Day:1993md
79,197,3.595,25.012,0.675,68.3,7.497,Day:1993md
79,197,3.595,25.012,0.69,98.66,8.88,Day:1993md
79,197,3.595,25.012,0.705,126.5,10.2,Day:1993md
79,197,3.595,25.012,0.72,167,9.592,Day:1993md
79,197,3.595,25.012,0.735,177.7,9.473,Day:1993md
79,197,3.595,25.012,0.75,217,10.65,Day:1993md
79,197,3.595,25.012,0.765,303.4,19.7,Day:1993md
79,197,3.595,25.012,0.78,311.5,20.04,Day:1993md
79,197,3.595,25.012,0.795,331.8,20.18,Day:1993md
79,197,3.595,25.012,0.81,424.9,23.28,Day:1993md
79,197,3.595,25.012,0.825,497.3,25.47,Day:1993md
79,197,3.595,25.012,0.84,521.3,19.91,Day:1993md
79,197,3.595,25.012,0.855,620.2,21.79,Day:1993md
79,197,3.595,25.012,0.87,679.9,33.97,Day:1993md
79,197,3.595,25.012,0.885,783,36.64,Day:1993md
79,197,3.595,25.012,0.9,839.2,37.77,Day:1993md
79,197,3.595,25.012,0.915,895,38.48,Day:1993md
79,197,3.595,25.012,0.93,938,39.58,Day:1993md
79,197,3.595,25.012,0.945,1034,29.25,Day:1993md
79,197,3.595,25.012,0.96,1010,28.45,Day:1993md
79,197,3.595,25.012,0.975,1102,39.48,Day:1993md
79,197,3.595,25.012,0.99,1240,42.57,Day:1993md
79,197,3.595,25.012,1.005,1182,41.13,Day:1993md
79,197,3.595,25.012,1.02,1256,40.75,Day:1993md
79,197,3.595,25.012,1.035,1299,42.81,Day:1993md
79,197,3.595,25.012,1.05,1380,34.85,Day:1993md
79,197,3.595,25.012,1.065,1387,34.24,Day:1993md
79,197,3.595,25.012,1.08,1538,55.93,Day:1993md
79,197,3.595,25.012,1.095,1555,56.39,Day:1993md
79,197,3.595,25.012,1.11,1566,57.74,Day:1993md
79,197,3.595,25.012,1.125,1670,59.53,Day:1993md
79,197,3.595,25.012,1.14,1753,60.04,Day:1993md
79,197,3.595,25.012,1.155,1857,61.87,Day:1993md
79,197,3.595,30.01,0.975,41.72,5.545,Day:1993md
79,197,3.595,30.01,0.99,48.77,5.676,Day:1993md
79,197,3.595,30.01,1.005,44.81,5.291,Day:1993md
79,197,3.595,30.01,1.02,62.02,6.508,Day:1993md
79,197,3.595,30.01,1.035,63.96,6.526,Day:1993md
79,197,3.595,30.01,1.05,66.88,6.183,Day:1993md
79,197,3.595,30.01,1.065,87.35,7.449,Day:1993md
79,197,3.595,30.01,1.08,97.01,4.935,Day:1993md
79,197,3.595,30.01,1.095,118.5,5.426,Day:1993md
79,197,3.595,30.01,1.11,133.2,7.104,Day:1993md
79,197,3.595,30.01,1.125,138.2,7.174,Day:1993md
79,197,3.595,30.01,1.14,177.2,8.367,Day:1993md
79,197,3.595,30.01,1.155,172.3,8.304,Day:1993md
79,197,3.595,30.01,1.17,194.1,6.614,Day:1993md
79,197,3.595,30.01,1.185,214.2,6.89,Day:1993md
79,197,3.595,30.01,1.2,226.9,10.4,Day:1993md
79,197,3.595,30.01,1.215,255.4,10.78,Day:1993md
79,197,3.595,30.01,1.23,256.8,10.65,Day:1993md
79,197,3.595,30.01,1.245,267.6,10.78,Day:1993md
79,197,3.595,30.01,1.26,295.3,10.1,Day:1993md
79,197,3.595,30.01,1.275,335.6,10.89,Day:1993md
79,197,3.595,30.01,1.29,337.5,23.6,Day:1993md
79,197,3.595,30.01,1.305,384.4,24.9,Day:1993md
79,197,3.595,30.01,1.32,393.7,24.66,Day:1993md
79,197,3.595,30.01,1.335,412.9,24.89,Day:1993md
79,197,3.595,30.01,1.35,414.4,16.86,Day:1993md
79,197,3.595,30.01,1.365,455.7,17.73,Day:1993md
79,197,3.595,30.01,1.38,479.5,22.55,Day:1993md
79,197,3.595,30.01,1.395,480.7,22.64,Day:1993md
79,197,3.595,30.01,1.41,498.2,22.79,Day:1993md
79,197,3.595,30.01,1.425,613.3,25.74,Day:1993md
79,197,3.595,30.01,1.44,576.9,20.28,Day:1993md
79,197,3.595,30.01,1.455,594.9,20.53,Day:1993md
79,197,3.595,30.01,1.47,646.8,35.51,Day:1993md
79,197,3.595,30.01,1.485,653.3,35.03,Day:1993md
79,197,3.595,30.01,1.5,664,35.27,Day:1993md
79,197,3.595,30.01,1.515,710.8,25.45,Day:1993md
79,197,3.595,30.01,1.53,774,26.55,Day:1993md
79,197,3.595,30.01,1.545,798.8,36.69,Day:1993md
79,197,3.595,30.01,1.56,843.9,37.07,Day:1993md
79,197,3.595,30.01,1.575,849.4,36.26,Day:1993md
79,197,3.595,30.01,1.59,909.6,38.74,Day:1993md
79,197,3.595,30.01,1.605,1019,28.7,Day:1993md
79,197,3.595,30.01,1.62,1006,38.34,Day:1993md
79,197,3.595,30.01,1.635,1164,41.41,Day:1993md
79,197,3.595,30.01,1.65,1099,40.46,Day:1993md
79,197,3.595,30.01,1.665,1161,41.46,Day:1993md
79,197,3.595,30.01,1.68,1201,34.72,Day:1993md
79,197,3.595,30.01,1.695,1250,58.78,Day:1993md
79,197,3.595,30.01,1.71,1281,57.2,Day:1993md
79,197,3.595,30.01,1.725,1310,56.42,Day:1993md
79,197,3.595,30.01,1.74,1324,56.92,Day:1993md
79,197,3.595,30.01,1.755,1463,43.23,Day:1993md
79,197,3.595,30.01,1.77,1463,42.82,Day:1993md
79,197,3.595,30.01,1.785,1567,60.24,Day:1993md
79,197,3.595,30.01,1.8,1544,59.28,Day:1993md
79,197,3.595,30.01,1.815,1536,58.44,Day:1993md
79,197,3.595,30.01,1.83,1728,50,Day:1993md
79,197,3.595,30.01,1.845,1742,77.2,Day:1993md
79,197,3.595,30.01,1.86,1809,77.85,Day:1993md
79,197,3.595,30.01,1.875,1688,74.67,Day:1993md
79,197,3.595,30.01,1.89,1845,79.04,Day:1993md
79,197,3.595,30.01,1.905,1837,57.6,Day:1993md
79,197,3.595,30.01,1.92,1992,84.69,Day:1993md
79,197,3.595,30.01,1.935,2018,83.84,Day:1993md
79,197,3.595,30.01,1.95,1979,81.39,Day:1993md
79,197,3.595,30.01,1.965,2142,56.76,Day:1993md
79,197,3.595,30.01,1.98,2030,70.5,Day:1993md
