Z,A,E0,ThetaDeg,nu,cross,error,dataSet,x,statistical_error,systematic_error
79,197,5.766,22,0.890486576,0.03966,0.01249,Fomin:2010ei,2.45,0.01249,3.05E-06
79,197,5.766,22,0.88036872,0.02611,0.01055,Fomin:2010ei,2.4833,0.01055,2.18E-06
79,197,5.766,22,0.870448837,0.03465,0.01217,Fomin:2010ei,2.5167,0.01217,2.75E-06
79,197,5.766,22,0.86077873,0.02337,0.0103,Fomin:2010ei,2.55,0.0103,1.77E-06
79,197,5.766,22,0.851321119,0.02407,0.01061,Fomin:2010ei,2.5833,0.01061,1.90E-06
79,197,5.766,22,0.842041596,0.0205,0.01005,Fomin:2010ei,2.6167,0.01005,1.53E-06
79,197,5.766,22,0.832989079,0.01245,0.008302,Fomin:2010ei,2.65,0.008302,9.10E-07
79,197,5.766,22,0.824129133,0.004222,0.005971,Fomin:2010ei,2.6833,0.005971,3.22E-07
79,197,5.766,22,0.815429907,0.004359,0.006165,Fomin:2010ei,2.7167,0.006165,3.13E-07
79,197,5.766,22,0.80693765,0.004594,0.006496,Fomin:2010ei,2.75,0.006496,3.29E-07
79,197,5.766,22,0.798620455,0.004568,0.006461,Fomin:2010ei,2.7833,0.006461,3.56E-07
79,197,5.766,22,0.790448746,0.00469,0.006632,Fomin:2010ei,2.8167,0.006632,3.59E-07
79,197,5.766,22,0.782466303,0.005162,0.0073,Fomin:2010ei,2.85,0.0073,3.94E-07
79,197,5.766,22,0.730764012,0.01093,0.01546,Fomin:2010ei,3.0833,0.01546,9.92E-07
79,197,5.766,26,2.819408669,291.2,1.002048443,Fomin:2010ei,0.65,1.002,9.85E-03
79,197,5.766,26,2.747478602,242.4,0.836941167,Fomin:2010ei,0.6833,0.8369,8.30E-03
79,197,5.766,26,2.678927318,200.8,0.762630872,Fomin:2010ei,0.7167,0.7626,6.86E-03
79,197,5.766,26,2.613904065,163.9,0.71092357,Fomin:2010ei,0.75,0.7109,5.79E-03
79,197,5.766,26,2.551962518,135.4,0.667618011,Fomin:2010ei,0.7833,0.6676,4.90E-03
79,197,5.766,26,2.492715386,108.6,0.618813669,Fomin:2010ei,0.8167,0.6188,4.11E-03
79,197,5.766,26,2.436322339,90.46,0.619809519,Fomin:2010ei,0.85,0.6198,3.44E-03
79,197,5.766,26,2.382424421,71.15,0.287412116,Fomin:2010ei,0.8833,0.2874,2.64E-03
79,197,5.766,26,2.330708129,60.19,0.255311365,Fomin:2010ei,0.9167,0.2553,2.41E-03
79,197,5.766,26,2.281334509,48.31,0.230808322,Fomin:2010ei,0.95,0.2308,1.96E-03
79,197,5.766,26,2.234009351,38.75,0.202906701,Fomin:2010ei,0.9833,0.2029,1.65E-03
79,197,5.766,26,2.188474202,31.38,0.186904356,Fomin:2010ei,1.0167,0.1869,1.28E-03
79,197,5.766,26,2.14488651,25.39,0.172403314,Fomin:2010ei,1.05,0.1724,1.07E-03
79,197,5.766,26,2.10300118,20.33,0.159102494,Fomin:2010ei,1.0833,0.1591,8.91E-04
79,197,5.766,26,2.062601749,16.29,0.146101887,Fomin:2010ei,1.1167,0.1461,7.43E-04
79,197,5.766,26,2.023839448,12.71,0.132701405,Fomin:2010ei,1.15,0.1327,6.11E-04
79,197,5.766,26,1.986507185,9.823,0.119500972,Fomin:2010ei,1.1833,0.1195,4.82E-04
79,197,5.766,26,1.950421173,7.447,0.106700663,Fomin:2010ei,1.2167,0.1067,3.76E-04
79,197,5.766,26,1.915725148,5.774,0.096170445,Fomin:2010ei,1.25,0.09617,2.93E-04
79,197,5.766,26,1.882241963,4.419,0.086910324,Fomin:2010ei,1.2833,0.08691,2.37E-04
79,197,5.766,26,1.849813692,3.267,0.080450205,Fomin:2010ei,1.3167,0.08045,1.82E-04
79,197,5.766,26,1.818576098,2.453,0.041210219,Fomin:2010ei,1.35,0.04121,1.34E-04
79,197,5.766,26,1.788375995,1.83,0.034840145,Fomin:2010ei,1.3833,0.03484,1.00E-04
79,197,5.766,26,1.759076249,1.406,0.030320099,Fomin:2010ei,1.4167,0.03032,7.76E-05
79,197,5.766,26,1.730804621,1.101,0.028690069,Fomin:2010ei,1.45,0.02869,6.31E-05
79,197,5.766,26,1.703427373,0.8335,0.024710046,Fomin:2010ei,1.4833,0.02471,4.77E-05
79,197,5.766,26,1.676824317,0.6563,0.022120032,Fomin:2010ei,1.5167,0.02212,3.78E-05
79,197,5.766,26,1.651115439,0.5185,0.020060019,Fomin:2010ei,1.55,0.02006,2.79E-05
79,197,5.766,26,1.626182989,0.3995,0.017920013,Fomin:2010ei,1.5833,0.01792,2.19E-05
79,197,5.766,26,1.601920755,0.3332,0.016540011,Fomin:2010ei,1.6167,0.01654,1.89E-05
79,197,5.766,26,1.578441323,0.2402,0.014330007,Fomin:2010ei,1.65,0.01433,1.39E-05
79,197,5.766,26,1.555640227,0.2285,0.014170006,Fomin:2010ei,1.6833,0.01417,1.36E-05
79,197,5.766,26,1.533422917,0.1577,0.012030004,Fomin:2010ei,1.7167,0.01203,1.01E-05
79,197,5.766,26,1.511895016,0.1337,0.011180002,Fomin:2010ei,1.75,0.01118,7.46E-06
79,197,5.766,26,1.490963211,0.1041,0.010020002,Fomin:2010ei,1.7833,0.01002,6.87E-06
79,197,5.766,26,1.470542778,0.084,0.009164001,Fomin:2010ei,1.8167,0.009164,4.91E-06
79,197,5.766,26,1.450732836,0.07112,0.008561001,Fomin:2010ei,1.85,0.008561,4.14E-06
79,197,5.766,26,1.431449525,0.04626,0.007053001,Fomin:2010ei,1.8833,0.007053,2.98E-06
79,197,5.766,26,1.412616475,0.05071,0.007475001,Fomin:2010ei,1.9167,0.007475,3.25E-06
79,197,5.766,26,1.39432676,0.03094,0.00595,Fomin:2010ei,1.95,0.00595,1.91E-06
79,197,5.766,26,1.3765046,0.02852,0.005816,Fomin:2010ei,1.9833,0.005816,1.70E-06
79,197,5.766,26,1.359080783,0.03186,0.006243,Fomin:2010ei,2.0167,0.006243,2.05E-06
79,197,5.766,26,1.342142784,0.02403,0.005506,Fomin:2010ei,2.05,0.005506,1.57E-06
79,197,5.766,26,1.325621779,0.01502,0.004512,Fomin:2010ei,2.0833,0.004512,9.47E-07
79,197,5.766,26,1.309454741,0.01283,0.004255,Fomin:2010ei,2.1167,0.004255,8.64E-07
79,197,5.766,26,1.293723962,0.003984,0.002656,Fomin:2010ei,2.15,0.002656,2.54E-07
79,197,5.766,26,1.278366651,0.01095,0.004107,Fomin:2010ei,2.1833,0.004107,7.65E-07
79,197,5.766,26,1.263325159,0.006924,0.003392,Fomin:2010ei,2.2167,0.003392,4.41E-07
79,197,5.766,26,1.248676989,0.002872,0.002487,Fomin:2010ei,2.25,0.002487,2.16E-07
79,197,5.766,26,1.234364615,0.002949,0.002553,Fomin:2010ei,2.2833,0.002553,1.91E-07
79,197,5.766,26,1.220335091,0.004544,0.003029,Fomin:2010ei,2.3167,0.003029,3.20E-07
79,197,5.766,26,1.206661498,0.003126,0.002707,Fomin:2010ei,2.35,0.002707,2.18E-07
79,197,5.766,26,1.193290928,0.001588,0.002246,Fomin:2010ei,2.3833,0.002246,1.14E-07
79,197,5.766,26,1.18017458,0.004908,0.003272,Fomin:2010ei,2.4167,0.003272,3.48E-07
79,197,5.766,26,1.16738144,0.001733,0.002451,Fomin:2010ei,2.45,0.002451,1.34E-07
79,197,5.766,26,1.118832271,0.002754,0.003894,Fomin:2010ei,2.5833,0.003894,2.00E-07
79,197,5.766,32,3.329589219,91.48,0.926005239,Fomin:2010ei,0.6833,0.926,3.12E-03
79,197,5.766,32,3.262210477,72.84,0.697704598,Fomin:2010ei,0.7167,0.6977,2.53E-03
79,197,5.766,32,3.197694543,57.84,0.585703598,Fomin:2010ei,0.75,0.5857,2.05E-03
79,197,5.766,32,3.135680953,46.07,0.535802624,Fomin:2010ei,0.7833,0.5358,1.68E-03
79,197,5.766,32,3.075851167,35.57,0.484301912,Fomin:2010ei,0.8167,0.4843,1.36E-03
79,197,5.766,32,3.018430981,27.57,0.436501292,Fomin:2010ei,0.85,0.4365,1.06E-03
79,197,5.766,32,2.963115354,22.3,0.426600823,Fomin:2010ei,0.8833,0.4266,8.38E-04
79,197,5.766,32,2.90963342,17.13,0.161001517,Fomin:2010ei,0.9167,0.161,6.99E-04
79,197,5.766,32,2.858199591,13.56,0.134301193,Fomin:2010ei,0.95,0.1343,5.66E-04
79,197,5.766,32,2.808552576,10.24,0.108000889,Fomin:2010ei,0.9833,0.108,4.38E-04
79,197,5.766,32,2.760459321,7.944,0.094360586,Fomin:2010ei,1.0167,0.09436,3.33E-04
79,197,5.766,32,2.714122228,6.018,0.084290397,Fomin:2010ei,1.05,0.08429,2.59E-04
79,197,5.766,32,2.669315083,4.384,0.073550264,Fomin:2010ei,1.0833,0.07355,1.97E-04
79,197,5.766,32,2.625835278,3.482,0.067190194,Fomin:2010ei,1.1167,0.06719,1.61E-04
79,197,5.766,32,2.583873227,2.622,0.059490135,Fomin:2010ei,1.15,0.05949,1.27E-04
79,197,5.766,32,2.543231226,1.807,0.050580078,Fomin:2010ei,1.1833,0.05058,8.87E-05
79,197,5.766,32,2.50373152,1.341,0.044880052,Fomin:2010ei,1.2167,0.04488,6.86E-05
79,197,5.766,32,2.46555291,0.9885,0.041150031,Fomin:2010ei,1.25,0.04115,5.03E-05
79,197,5.766,32,2.428521158,0.7599,0.026110033,Fomin:2010ei,1.2833,0.02611,4.12E-05
79,197,5.766,32,2.392479041,0.5466,0.022050019,Fomin:2010ei,1.3167,0.02205,2.92E-05
79,197,5.766,32,2.35759432,0.3382,0.019830008,Fomin:2010ei,1.35,0.01983,1.73E-05
79,197,5.766,32,2.323712287,0.2904,0.017800007,Fomin:2010ei,1.3833,0.0178,1.55E-05
79,197,5.766,32,2.290692864,0.2193,0.015670004,Fomin:2010ei,1.4167,0.01567,1.18E-05
79,197,5.766,32,2.258693439,0.1353,0.012460002,Fomin:2010ei,1.45,0.01246,7.37E-06
79,197,5.766,32,2.227575717,0.1063,0.011210001,Fomin:2010ei,1.4833,0.01121,5.52E-06
79,197,5.766,32,2.197214084,0.08749,0.010380001,Fomin:2010ei,1.5167,0.01038,4.66E-06
79,197,5.766,32,2.167756248,0.07017,0.009460001,Fomin:2010ei,1.55,0.00946,3.86E-06
79,197,5.766,32,2.139077838,0.05501,0.008486001,Fomin:2010ei,1.5833,0.008486,3.00E-06
79,197,5.766,32,2.111065551,0.0288,0.006278,Fomin:2010ei,1.6167,0.006278,1.55E-06
79,197,5.766,32,2.083858097,0.02712,0.006214,Fomin:2010ei,1.65,0.006214,1.62E-06
79,197,5.766,32,2.057343021,0.02105,0.005614,Fomin:2010ei,1.6833,0.005614,1.18E-06
79,197,5.766,32,2.031417579,0.01743,0.005238,Fomin:2010ei,1.7167,0.005238,1.02E-06
79,197,5.766,32,2.00621215,0.02256,0.006015,Fomin:2010ei,1.75,0.006015,1.33E-06
79,197,5.766,32,1.981624543,0.01704,0.005367,Fomin:2010ei,1.7833,0.005367,1.10E-06
79,197,5.766,32,1.957561144,0.00638,0.003567,Fomin:2010ei,1.8167,0.003567,3.76E-07
79,197,5.766,32,1.934144626,0.006565,0.00367,Fomin:2010ei,1.85,0.00367,3.97E-07
79,197,5.766,32,1.911281707,0.01047,0.004619,Fomin:2010ei,1.8833,0.004619,6.39E-07
79,197,5.766,32,1.867075206,0.002317,0.003277,Fomin:2010ei,1.95,0.003277,1.53E-07
79,197,5.766,40,4.725156417,292.9,1.938024601,Fomin:2010ei,0.3167,1.938,9.77E-03
79,197,5.766,40,4.637141288,257.3,1.371027086,Fomin:2010ei,0.35,1.371,8.62E-03
79,197,5.766,40,4.552345102,219.3,1.171022929,Fomin:2010ei,0.3833,1.171,7.33E-03
79,197,5.766,40,4.470353367,188.1,1.266015975,Fomin:2010ei,0.4167,1.266,6.36E-03
79,197,5.766,40,4.391495486,158.3,1.226011905,Fomin:2010ei,0.45,1.226,5.40E-03
79,197,5.766,40,4.315371513,130.9,0.729014006,Fomin:2010ei,0.4833,0.729,4.52E-03
79,197,5.766,40,4.241624664,110.3,0.586712665,Fomin:2010ei,0.5167,0.5867,3.86E-03
79,197,5.766,40,4.170565838,89.66,0.540509302,Fomin:2010ei,0.55,0.5405,3.17E-03
79,197,5.766,40,4.101848643,72.75,0.47410719,Fomin:2010ei,0.5833,0.4741,2.61E-03
79,197,5.766,40,4.035162786,58.1,0.564003921,Fomin:2010ei,0.6167,0.564,2.10E-03
79,197,5.766,40,3.970800722,46.47,0.496602917,Fomin:2010ei,0.65,0.4966,1.70E-03
79,197,5.766,40,3.908459612,36.05,0.448202,Fomin:2010ei,0.6833,0.4482,1.34E-03
79,197,5.766,40,3.84786713,28.7,0.447701293,Fomin:2010ei,0.7167,0.4477,1.08E-03
79,197,5.766,40,3.789297885,23.06,0.325401268,Fomin:2010ei,0.75,0.3254,9.08E-04
79,197,5.766,40,3.732484899,18.39,0.327700815,Fomin:2010ei,0.7833,0.3277,7.31E-04
79,197,5.766,40,3.677187227,13.86,0.29030058,Fomin:2010ei,0.8167,0.2903,5.80E-04
79,197,5.766,40,3.62366252,10.5,0.25490038,Fomin:2010ei,0.85,0.2549,4.40E-04
79,197,5.766,40,3.571673656,7.354,0.216900209,Fomin:2010ei,0.8833,0.2169,3.01E-04
79,197,5.766,40,3.521005912,5.441,0.21140014,Fomin:2010ei,0.9167,0.2114,2.44E-04
79,197,5.766,40,3.471901004,4.248,0.065310286,Fomin:2010ei,0.95,0.06531,1.93E-04
79,197,5.766,40,3.424146918,3.088,0.0511702,Fomin:2010ei,0.9833,0.05117,1.43E-04
79,197,5.766,40,3.377551055,2.301,0.045050125,Fomin:2010ei,1.0167,0.04505,1.06E-04
79,197,5.766,40,3.332340268,1.591,0.038640075,Fomin:2010ei,1.05,0.03864,7.63E-05
79,197,5.766,40,3.288323846,1.144,0.032600048,Fomin:2010ei,1.0833,0.0326,5.60E-05
79,197,5.766,40,3.245328027,0.8124,0.029890027,Fomin:2010ei,1.1167,0.02989,4.04E-05
79,197,5.766,40,3.203565856,0.5483,0.026880015,Fomin:2010ei,1.15,0.02688,2.83E-05
79,197,5.766,40,3.162864853,0.4266,0.022340011,Fomin:2010ei,1.1833,0.02234,2.26E-05
79,197,5.766,40,3.123067422,0.2986,0.017050008,Fomin:2010ei,1.2167,0.01705,1.69E-05
79,197,5.766,40,3.084373818,0.2056,0.014660005,Fomin:2010ei,1.25,0.01466,1.17E-05
79,197,5.766,40,3.046627279,0.152,0.013450003,Fomin:2010ei,1.2833,0.01345,8.98E-06
79,197,5.766,40,3.009684182,0.08181,0.011100001,Fomin:2010ei,1.3167,0.0111,4.61E-06
79,197,5.766,40,2.973732956,0.06234,0.009471001,Fomin:2010ei,1.35,0.009471,3.39E-06
79,197,5.766,40,2.93863048,0.03826,0.007156,Fomin:2010ei,1.3833,0.007156,2.06E-06
79,197,5.766,40,2.904245298,0.03498,0.007438,Fomin:2010ei,1.4167,0.007438,2.01E-06
79,197,5.766,40,2.870754907,0.02463,0.006682,Fomin:2010ei,1.45,0.006682,1.34E-06
79,197,5.766,40,2.838028101,0.01039,0.00595,Fomin:2010ei,1.4833,0.00595,5.65E-07
79,197,5.766,40,2.805944084,0.007199,0.003174,Fomin:2010ei,1.5167,0.003174,4.08E-07
79,197,5.766,40,2.774670244,0.004899,0.004784,Fomin:2010ei,1.55,0.004784,2.87E-07
79,197,5.766,40,2.74408585,0.001683,0.00396,Fomin:2010ei,1.5833,0.00396,9.43E-08
79,197,5.766,40,2.714079491,0.005422,0.003031,Fomin:2010ei,1.6167,0.003031,3.15E-07
79,197,5.766,40,2.684809216,0.003198,0.002769,Fomin:2010ei,1.65,0.002769,1.83E-07
79,197,5.766,40,2.656163541,0.001999,0.002827,Fomin:2010ei,1.6833,0.002827,1.16E-07
79,197,5.766,50,4.973092307,131,2.034005893,Fomin:2010ei,0.35,2.034,4.90E-03
79,197,5.766,50,4.908867108,119.3,1.555006439,Fomin:2010ei,0.3833,1.555,4.48E-03
79,197,5.766,50,4.84609409,97.89,1.069006106,Fomin:2010ei,0.4167,1.069,3.61E-03
79,197,5.766,50,4.785087134,82.34,1.01000494,Fomin:2010ei,0.45,1.01,3.16E-03
79,197,5.766,50,4.725597102,68.55,0.955503742,Fomin:2010ei,0.4833,0.9555,2.67E-03
79,197,5.766,50,4.667395996,53.9,0.685903326,Fomin:2010ei,0.5167,0.6859,2.14E-03
79,197,5.766,50,4.610779027,44.61,0.57950278,Fomin:2010ei,0.55,0.5795,1.80E-03
79,197,5.766,50,4.555519158,35.64,0.525402015,Fomin:2010ei,0.5833,0.5254,1.46E-03
79,197,5.766,50,4.501408083,28.29,0.417401592,Fomin:2010ei,0.6167,0.4174,1.15E-03
79,197,5.766,50,4.44872375,21.37,0.44660089,Fomin:2010ei,0.65,0.4466,8.91E-04
79,197,5.766,50,4.397258382,17.09,0.397700657,Fomin:2010ei,0.6833,0.3977,7.23E-04
79,197,5.766,50,4.346820873,12.76,0.362900419,Fomin:2010ei,0.7167,0.3629,5.51E-04
79,197,5.766,50,4.297673219,10.01,0.229900409,Fomin:2010ei,0.75,0.2299,4.34E-04
79,197,5.766,50,4.249624522,7.121,0.206400257,Fomin:2010ei,0.7833,0.2064,3.25E-04
79,197,5.766,50,4.202498796,5.483,0.185800176,Fomin:2010ei,0.8167,0.1858,2.56E-04
79,197,5.766,50,4.156543289,3.937,0.156700113,Fomin:2010ei,0.85,0.1567,1.88E-04
79,197,5.766,50,4.111581982,2.992,0.140100069,Fomin:2010ei,0.8833,0.1401,1.39E-04
79,197,5.766,50,4.067452248,2.26,0.147500047,Fomin:2010ei,0.9167,0.1475,1.17E-04
