Q2_0.01_x,Q2_0.01_RL_1b,Q2_0.01_RT_1b,Q2_0.01_RL_1b2b,Q2_0.01_RT_1b2b,,Q2_0.02_x,Q2_0.02_RL_1b,Q2_0.02_RT_1b,Q2_0.02_RL_1b2b,Q2_0.02_RT_1b2b,,Q2_0.026_x,Q2_0.026_RL_1b,Q2_0.026_RT_1b,Q2_0.026_RL_1b2b,Q2_0.026_RT_1b2b,,Q2_0.04_x,Q2_0.04_RL_1b,Q2_0.04_RT_1b,Q2_0.04_RL_1b2b,Q2_0.04_RT_1b2b,,Q2_0.056_x,Q2_0.056_RL_1b,Q2_0.056_RT_1b,Q2_0.056_RL_1b2b,Q2_0.056_RT_1b2b,,Q2_0.093_x,Q2_0.093_RL_1b,Q2_0.093_RT_1b,Q2_0.093_RL_1b2b,Q2_0.093_RT_1b2b,,Q2_0.12_x,Q2_0.12_RL_1b,Q2_0.12_RT_1b,Q2_0.12_RL_1b2b,Q2_0.12_RT_1b2b,,Q2_0.16_x,Q2_0.16_RL_1b,Q2_0.16_RT_1b,Q2_0.16_RL_1b2b,Q2_0.16_RT_1b2b,,Q2_0.265_x,Q2_0.265_RL_1b,Q2_0.265_RT_1b,Q2_0.265_RL_1b2b,Q2_0.265_RT_1b2b,,Q2_0.38_x,Q2_0.38_RL_1b,Q2_0.38_RT_1b,Q2_0.38_RL_1b2b,Q2_0.38_RT_1b2b
20,0.06401,0.018775,0.0634445,0.0250839,,20,0.0723594,0.0243671,0.071609,0.0312565,,20,0.0692086,0.0253451,0.0684357,0.0322207,,20,0.0627732,0.0257512,0.0619233,0.0325347,,20,0.0558189,0.0255217,0.0549221,0.0320746,,20,0.0330239,0.0205279,0.0323348,0.0254109,,20,0.0204835,0.0157958,0.0199749,0.0194365,,20,0.0087949,0.0088642,0.00855141,0.0107831,,20,2.52E-04,5.02E-04,2.43E-04,5.86E-04,,20,0,0,-6.33E-11,0
21,0.0666033,0.0195129,0.066075,0.0260263,,21,0.0773402,0.0254785,0.0766033,0.0326467,,21,0.0735184,0.0265245,0.0727554,0.0336821,,21,0.0652292,0.0271036,0.0643716,0.0342453,,21,0.058512,0.0275159,0.0575529,0.0346544,,21,0.0369145,0.023292,0.0361155,0.0289092,,21,0.0233003,0.0177063,0.0227228,0.0218313,,21,0.0101192,0.00983376,0.0098543,0.0119951,,21,3.49E-04,6.45E-04,3.37E-04,7.55E-04,,21,0,0,-6.33E-11,0
22,0.0708869,0.0197566,0.0704102,0.0262958,,22,0.0860767,0.0260694,0.0853549,0.0334017,,22,0.082239,0.0272977,0.0814826,0.034661,,22,0.0713901,0.0282529,0.0705332,0.0356999,,22,0.0629852,0.0292546,0.0619995,0.0368871,,22,0.040125,0.0255728,0.039265,0.0318002,,22,0.0253735,0.0193179,0.0247566,0.0238553,,22,0.0111021,0.0107347,0.0108248,0.0131223,,22,4.55E-04,8.12E-04,4.41E-04,9.54E-04,,22,6.42E-10,2.35E-09,5.43E-10,2.66E-09
23,0.0753309,0.0194545,0.0749265,0.0258227,,23,0.096041,0.0260822,0.0953492,0.0334425,,23,0.0925466,0.0275573,0.0918073,0.0350188,,23,0.0787431,0.0289273,0.0779058,0.0365595,,23,0.0674887,0.0303199,0.0665177,0.0382512,,23,0.0422231,0.026987,0.0413538,0.0336063,,23,0.0266106,0.0203714,0.0259848,0.0251865,,23,0.011726,0.0114477,0.0114449,0.0140163,,23,5.64E-04,9.94E-04,5.47E-04,1.17E-03,,23,8.29E-09,2.96E-08,7.78E-09,3.35E-08
24,0.079552,0.0187429,0.0792359,0.0247929,,24,0.106432,0.0257055,0.105785,0.033012,,24,0.103581,0.0274924,0.102871,0.0350016,,24,0.0864079,0.0292419,0.0856105,0.0369822,,24,0.071397,0.0307615,0.0704782,0.03882,,24,0.0431665,0.0275393,0.0423327,0.0343353,,24,0.0270563,0.0208487,0.0264504,0.0258069,,24,0.0120478,0.0119709,0.0117712,0.0146789,,24,6.70E-04,0.00118529,6.51E-04,0.00140307,,24,4.22E-08,1.49E-07,4.00E-08,1.69E-07
25,0.0832629,0.0178065,0.0830424,0.0234553,,25,0.116402,0.0251207,0.115813,0.0323303,,25,0.114386,0.0272546,0.113719,0.0347911,,25,0.093853,0.0293712,0.093111,0.037194,,25,0.0745817,0.0308029,0.073741,0.0388879,,25,0.0431927,0.0274808,0.0424269,0.0343034,,25,0.0268904,0.0209447,0.0263269,0.025962,,25,0.0121393,0.0123788,0.0118745,0.015206,,25,7.68E-04,0.00137839,7.48E-04,0.00163729,,25,1.39E-07,4.93E-07,1.32E-07,5.59E-07
26,0.0862851,0.016832,0.0861568,0.0220638,,26,0.125472,0.0245252,0.124944,0.0316373,,26,0.124508,0.0270289,0.123886,0.0346087,,26,0.100955,0.0295153,0.100272,0.0374466,,26,0.0773029,0.0307458,0.0765505,0.0388459,,26,0.0427094,0.0271512,0.0420278,0.0339382,,26,0.026366,0.0208867,0.0258578,0.0259347,,26,0.012074,0.0127371,0.0118267,0.0156808,,26,8.56E-04,0.00157066,8.35E-04,0.00187183,,26,3.54E-07,1.27E-06,3.36E-07,1.44E-06
27,0.0884462,0.0159628,0.0883981,0.0208154,,27,0.133187,0.0240619,0.132712,0.0311052,,27,0.133492,0.0269402,0.132909,0.0345982,,27,0.107623,0.0298155,0.106993,0.0379105,,27,0.0798556,0.0308224,0.0791868,0.03899,,27,0.0420929,0.0268336,0.0414969,0.0335953,,27,0.0256939,0.0208132,0.025245,0.0258946,,27,0.0119486,0.0130992,0.011721,0.0161662,,27,9.31E-04,0.00175882,9.09E-04,0.00210259,,27,7.39E-07,2.70E-06,7.02E-07,3.06E-06
28,0.0895814,0.0152754,0.0895966,0.0198192,,28,0.13912,0.0238032,0.138687,0.0308211,,28,0.140872,0.0270442,0.140318,0.0348197,,28,0.113627,0.0303184,0.113035,0.0386341,,28,0.0823544,0.0311398,0.0817541,0.0394509,,28,0.0416216,0.0267122,0.0411005,0.033504,,28,0.0250649,0.0208232,0.024671,0.0259607,,28,0.011834,0.013482,0.0116252,0.0166784,,28,0.000993207,0.00194514,9.71E-04,0.00233227,,28,1.30E-06,4.89E-06,1.24E-06,5.54E-06
29,0.0895687,0.0147842,0.0896296,0.0190998,,29,0.14295,0.0237513,0.142546,0.0307875,,29,0.146272,0.0273292,0.145734,0.0352536,,29,0.118693,0.0309914,0.118122,0.0395656,,29,0.0847656,0.0316803,0.0842129,0.0401965,,29,0.0414282,0.0268441,0.0409642,0.0337314,,29,0.0246348,0.0209846,0.0242848,0.0262137,,29,0.0117805,0.0138868,0.0115873,0.0172155,,29,0.00104614,0.0021313,0.00102375,0.00256272,,29,1.98E-06,7.68E-06,1.88E-06,8.70E-06
