qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.205,0.04202,0.001,0.00288,1.1e-10,0.00491,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-10,0.00491
0.205,0.04201,0.002,0.00388,4.03e-10,0.00804,0.0,0.0,0.0,0.0,0.0,0.0,4.03e-10,0.00804
0.205,0.042,0.003,0.00488,2.16e-09,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,2.16e-09,0.0113
0.205,0.04199,0.004,0.00588,1.3e-08,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-08,0.0138
0.205,0.04198,0.005,0.00688,7.32e-08,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,7.32e-08,0.0147
0.205,0.04196,0.006,0.00788,3.66e-07,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,3.66e-07,0.0142
0.205,0.04195,0.007,0.00888,1.59e-06,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,1.59e-06,0.0128
0.205,0.04193,0.008,0.00988,5.93e-06,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,5.93e-06,0.0112
0.205,0.04191,0.00901,0.01088,1.91e-05,0.00959,0.0,0.0,0.0,0.0,0.0,0.0,1.91e-05,0.00959
0.205,0.04188,0.01001,0.01188,5.3e-05,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-05,0.0081
0.205,0.04186,0.01101,0.01288,0.000127,0.00665,0.0,0.0,0.0,0.0,0.0,0.0,0.000127,0.00665
0.205,0.04183,0.01201,0.01388,0.00158,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.00158,0.0321
0.205,0.0418,0.01301,0.01488,0.00287,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.00287,0.0263
0.205,0.04177,0.01401,0.01588,0.00458,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.00458,0.0231
0.205,0.04174,0.01501,0.01688,0.00651,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.00651,0.0219
0.205,0.04171,0.01601,0.01788,0.0084,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0216
0.205,0.04167,0.01702,0.01888,0.0104,0.0229,0.000372,0.00125,0.0,0.0,7.64e-05,0.0,0.00996,0.0216
0.205,0.04163,0.01802,0.01988,0.0121,0.0251,0.00099,0.00332,0.0,0.0,0.000159,0.0,0.011,0.0218
0.205,0.04159,0.01902,0.02088,0.0133,0.0284,0.00183,0.00614,0.0,0.0,0.000246,0.0,0.0113,0.0223
0.205,0.04155,0.02002,0.02188,0.0142,0.0333,0.00297,0.01,0.0,0.0,0.000342,0.0,0.0108,0.0233
0.205,0.0415,0.02102,0.02288,0.0148,0.0397,0.00449,0.0152,0.0,0.0,0.000448,0.0,0.00982,0.0246
