bin_index,qvcenter,RT,RTerr
0,0.1,0.0016,0.0004
1,0.148,0.0021,0.0007
2,0.167,0.0028,0.0006
3,0.205,0.0071,0.0007
4,0.24,0.0134,0.0009
5,0.3,0.027,0.0006
6,0.38,0.0324,0.0005
7,0.475,0.0276,0.0005
8,0.57,0.0262,0.0008
9,0.649,0.029,0.0006
10,0.756,0.0299,0.001
11,0.991,0.0371,0.0003
12,1.619,0.0414,0.001
13,1.921,0.0479,0.001
14,2.213,0.0542,0.002
15,2.5,0.0603,0.003
16,2.783,0.0664,0.003
17,3.5,0.0817,0.003
