Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.159,37.5,0.369,2348.69,5.9688
6,12,1.159,37.5,0.387,2151.51,5.71276
6,12,1.159,37.5,0.405,2063.41,5.59458
6,12,1.159,37.5,0.423,2058.45,5.58785
6,12,1.159,37.5,0.441,2149.13,5.7096
6,12,1.159,37.5,0.459,2273.26,5.87217
6,12,1.159,37.5,0.477,2435.53,6.07815
6,12,1.159,37.5,0.495,2542.79,6.21054
6,12,1.159,37.5,0.513,2630.28,6.31648
6,12,1.159,37.5,0.531,2633.17,6.31994
6,12,1.159,37.5,0.549,2568.29,6.2416
6,12,1.159,37.5,0.567,2491.75,6.14789
6,12,1.159,37.5,0.585,2376.16,6.00361
6,12,1.159,37.5,0.603,2277.17,5.87722
6,12,1.159,37.5,0.621,2175.97,5.74513
6,12,1.159,37.5,0.639,2076.52,5.61232
6,12,1.159,37.5,0.657,1990.16,5.49438
6,12,1.159,37.5,0.675,1924.82,5.40342
6,12,1.159,37.5,0.693,1871.2,5.32763
6,12,1.159,37.5,0.711,1870.82,5.32709
6,12,1.159,37.5,0.729,1876.84,5.33565
6,12,1.159,37.5,0.747,1913.44,5.38743
6,12,1.159,37.5,0.765,1971.02,5.46789
6,12,1.159,37.5,0.783,2050.99,5.57771
6,12,1.159,37.5,0.801,2153.35,5.7152
6,12,1.159,37.5,0.819,2228.9,5.8146
6,12,1.159,37.5,0.837,2326.2,5.94015
6,12,1.159,37.5,0.855,2394.99,6.02734
6,12,1.159,37.5,0.873,2467.66,6.1181
6,12,1.2044,10.8,0.00602,1243620,3655.2
6,12,1.2044,10.8,0.01806,2154410,4810.97
6,12,1.2044,10.8,0.0301,2326870,4999.82
6,12,1.2044,10.8,0.04214,2164270,4821.97
6,12,1.2044,10.8,0.05418,1802720,4400.81
6,12,1.2044,10.8,0.06622,1345250,3801.63
6,12,1.2044,10.8,0.07826,939144,3176.39
6,12,1.2044,10.8,0.0903,620950,2582.83
6,12,1.2044,10.8,0.10234,398543,2069.22
6,12,1.2044,10.8,0.11438,257333,1662.71
6,12,1.2044,10.8,0.12642,173729,1366.17
6,12,1.2044,10.8,0.13846,125460,1160.97
6,12,1.2044,10.8,0.1505,99203.3,1032.36
6,12,1.2044,10.8,0.16254,87428.7,969.159
6,12,1.2044,10.8,0.17458,84195,951.067
6,12,1.2044,10.8,0.18662,85537.9,958.622
6,12,1.2044,10.8,0.19866,91564.8,991.819
6,12,1.2044,10.8,0.2107,100557,1039.38
6,12,1.2044,10.8,0.22274,105596,1065.1
6,12,1.2044,10.8,0.23478,107207,1073.2
6,12,1.2044,10.8,0.24682,109925,1086.72
6,12,1.2044,10.8,0.25886,109495,1084.59
6,12,1.2044,10.8,0.2709,110484,1089.47
6,12,1.2044,10.8,0.28294,109904,1086.61
6,12,1.2044,10.8,0.29498,113900,1106.19
6,12,1.2044,10.8,0.30702,118563,1128.61
6,12,1.2044,10.8,0.31906,127157,1168.8
6,12,1.2044,10.8,0.3311,134806,1203.44
6,12,1.2044,10.8,0.34314,138277,1218.83
6,12,1.2044,10.8,0.35518,141865,1234.54
6,12,1.2044,10.8,0.36722,139748,1225.3
6,12,1.2044,10.8,0.37926,134935,1204.01
6,12,1.2044,10.8,0.3913,129241,1178.34
6,12,1.2044,10.8,0.40334,124697,1157.43
6,12,1.2044,10.8,0.41538,115866,1115.7
6,12,1.2044,10.8,0.42742,106412,1069.21
6,12,1.2044,10.8,0.43946,98526.5,1028.83
6,12,1.2044,10.8,0.4515,91059.9,989.081
6,12,1.2044,10.8,0.46354,82938,943.941
6,12,1.2044,10.8,0.47558,75707.8,901.858
6,12,1.2044,10.8,0.48762,69713,865.416
6,12,1.2044,10.8,0.49966,66275.2,843.808
6,12,1.2044,10.8,0.5117,61129.2,810.387
6,12,1.2044,10.8,0.52374,56133.6,776.568
6,12,1.2044,10.8,0.53578,52266,749.338
6,12,1.2044,10.8,0.54782,50869.4,739.258
6,12,1.2044,10.8,0.55986,47861.2,717.068
6,12,1.2044,10.8,0.5719,44305.2,689.915
6,12,1.2044,10.8,0.58394,41845,670.486
6,12,1.2044,10.8,0.59598,38493.1,643.072
6,12,1.2044,10.8,0.60802,36537.8,626.527
6,12,1.2044,10.8,0.62006,35033.8,613.496
6,12,1.2044,10.8,0.6321,33347.1,598.545
6,12,1.2044,10.8,0.64414,31628.2,582.915
6,12,1.2044,10.8,0.65618,30553.8,572.929
6,12,1.2044,10.8,0.66822,28877.9,556.994
6,12,1.2044,10.8,0.68026,27180.5,540.377
6,12,1.2044,10.8,0.6923,25740.9,525.871
6,12,1.2044,10.8,0.70434,24870.7,516.906
6,12,1.2044,10.8,0.71638,22969.1,496.753
6,12,1.2044,10.8,0.72842,21819.6,484.163
6,12,1.2044,10.8,0.74046,19724.6,460.333
6,12,1.2044,10.8,0.7525,17275.2,430.804
6,12,1.2044,10.8,0.76454,15244.7,404.695
6,12,1.2044,10.8,0.77658,13955.5,387.205
6,12,1.2044,10.8,0.78862,11216,347.125
6,12,1.2044,10.8,0.80066,8476.43,301.769
6,12,1.2044,10.8,0.8127,5962.51,253.095
