bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
1,0.148,0.01919229,0.017179092,0.02402,0.0139536,0.020153903,0.024971888
1,0.148,0.01937231,0.01703556,0.024188,0.0132696,0.020333598,0.025139512
1,0.148,0.01942033,0.017660088,0.024356,0.0121572,0.02038153,0.025307134
1,0.148,0.01958814,0.018368568,0.024519,0.0122544,0.020549034,0.025469764
1,0.148,0.01963958,0.01930122,0.024686,0.0131148,0.020600379,0.025636384
1,0.148,0.01979279,0.020982096,0.024854,0.0136044,0.020753306,0.025803998
1,0.148,0.01994198,0.02252358,0.025021,0.0142632,0.020902219,0.025970612
1,0.148,0.02002317,0.02341962,0.025189,0.0143352,0.020983257,0.026138221
1,0.148,0.02018452,0.0241506,0.025356,0.014562,0.021144303,0.026304831
1,0.148,0.0202858,0.025524612,0.025524,0.0151308,0.021245392,0.026472435
1,0.148,0.02034248,0.026714556,0.025691,0.0155484,0.021301964,0.026639039
1,0.148,0.02041757,0.028203084,0.025882,0.0163476,0.021376911,0.026829583
1,0.148,0.02047766,0.029833668,0.026032,0.0163296,0.021436886,0.026979223
1,0.148,0.02052541,0.0309717,0.026194,0.0156384,0.021484545,0.027140832
1,0.148,0.02060181,0.032269932,0.026362,0.0148644,0.021560798,0.027308424
1,0.148,0.02064718,0.033626772,0.026529,0.0146736,0.02160608,0.027475016
1,0.148,0.02071588,0.034995384,0.026697,0.014346,0.021674648,0.027642602
1,0.148,0.02080708,0.03649248,0.026864,0.014616,0.021765671,0.027809189
1,0.148,0.02082604,0.037506888,0.027042,0.0141408,0.021784594,0.027986746
1,0.148,0.02089817,0.038599416,0.027253,0.0140436,0.021856583,0.028197217
1,0.148,0.02095254,0.03970188,0.027443,0.0139608,0.021910847,0.028386737
1,0.148,0.0210406,0.04117788,0.027641,0.0144072,0.021998735,0.028584234
1,0.148,0.02105759,0.042664032,0.027794,0.014238,0.022015691,0.028736843
1,0.148,0.02111271,0.043393176,0.027961,0.013914,0.022070703,0.028903413
1,0.148,0.02116058,0.044655048,0.028123,0.0134208,0.022118478,0.029064994
1,0.148,0.02122355,0.04608126,0.028291,0.0130068,0.022181324,0.029232557
1,0.148,0.02125007,0.047522772,0.028459,0.012834,0.022207791,0.029400118
1,0.148,0.02133324,0.04977072,0.028631,0.0128916,0.022290796,0.029571665
1,0.148,0.02138496,0.05157144,0.028822,0.012852,0.022342413,0.02976216
1,0.148,0.02142763,0.052812648,0.028994,0.0130284,0.022384998,0.029933702
1,0.148,0.02150431,0.054391716,0.029152,0.012942,0.022461524,0.030091279
1,0.148,0.02155984,0.05554602,0.029317,0.0128412,0.022516943,0.030255835
1,0.148,0.02162536,0.056976624,0.029484,0.0127836,0.022582331,0.030422382
1,0.148,0.02172073,0.058047624,0.029646,0.0126792,0.022677508,0.030583942
1,0.148,0.02187156,0.05846454,0.02982,0.0124452,0.022828032,0.030757465
1,0.148,0.02203228,0.059108076,0.03001,0.0121284,0.022988423,0.030946943
1,0.148,0.02204556,0.058304556,0.030216,0.0124632,0.023001676,0.031152372
1,0.148,0.02223309,0.057785904,0.030414,0.0125568,0.023188819,0.03134982
1,0.148,0.02226845,0.056847924,0.030586,0.0124884,0.023224106,0.031521338
1,0.148,0.02243168,0.05570424,0.030757,0.01251,0.023386996,0.031691855
1,0.148,0.02245285,0.054644868,0.030915,0.012924,0.023408122,0.031849408
1,0.148,0.02262737,0.052930584,0.031079,0.01332,0.023582276,0.03201294
1,0.148,0.02268332,0.051850332,0.031251,0.0136836,0.023638108,0.032184448
1,0.148,0.02284606,0.050548968,0.031422,0.0134568,0.023800503,0.032354956
1,0.148,0.02301801,0.049657716,0.031592,0.0132012,0.023972087,0.032524464
1,0.148,0.02305499,0.050383044,0.031756,0.0134028,0.024008988,0.032687987
