qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.38,0.285076705,0.003355,0.003205,0.28324444,0.023565,0.001675
0.57,0.033253586,0.00038,0.00036,0.0367365,0.001707,0.00055
0.57,0.03850944,0.000595,0.000505,0.04199,0.0020245,0.0005505
0.57,0.043435946,0.00061,0.00049,0.0467095,0.0028265,0.0005895
0.57,0.049153803,0.00073,0.0003,0.052131,0.0032885,0.0005505
0.57,0.053188323,0.001095,0.000305,0.0563345,0.004025,0.000498
0.57,0.058384711,0.001325,0.000475,0.0615845,0.0044475,0.0004455
0.57,0.06377322,0.001245,0.000515,0.066466,0.0055505,0.0004455
0.57,0.068333783,0.0015,0.00033,0.0717875,0.0063925,0.0004455
0.57,0.073196249,0.00173,0.00043,0.0769515,0.0068145,0.0004975
0.57,0.078360617,0.0027,0.0004,0.0815715,0.0079965,0.0005235
0.57,0.083227657,0.003085,0.000265,0.086648,0.008445,0.000498
0.57,0.088250223,0.00331,0.0005,0.092132,0.009588,0.000511
0.57,0.093387146,0.00337,0.0005,0.096923,0.010809,0.00055
0.57,0.098254186,0.004065,0.000425,0.1021615,0.0115725,0.0004715
0.57,0.103006869,0.00456,0.00082,0.106534,0.0124135,0.0004975
0.57,0.108221554,0.00457,0.00087,0.1115865,0.013556,0.000537
0.57,0.112946791,0.0049,0.00052,0.116822,0.0143975,0.0005895
0.57,0.118202646,0.005585,0.000495,0.121962,0.015515,0.000524
0.57,0.122959903,0.00597,0.00084,0.127193,0.016487,0.000917
0.57,0.128019063,0.00592,0.00089,0.1322015,0.0164115,0.0008385
0.57,0.132716854,0.006545,0.001085,0.137508,0.017686,0.00093
0.57,0.138013877,0.006455,0.001015,0.1417245,0.018055,0.000773
0.57,0.14321484,0.00691,0.00112,0.146547,0.018359,0.000786
0.57,0.148159643,0.007125,0.001275,0.152057,0.018769,0.00093
0.57,0.152797969,0.007355,0.001085,0.157206,0.0196105,0.0006945
0.57,0.158245943,0.0077,0.00104,0.162468,0.019679,0.000891
0.57,0.1625229,0.007745,0.001505,0.167135,0.0194985,0.0008125
0.57,0.16735792,0.00773,0.0011,0.1719565,0.0198425,0.0008385
0.57,0.172471971,0.007685,0.001475,0.177474,0.020016,0.000825
0.57,0.177224654,0.00727,0.00155,0.182395,0.0199795,0.0008125
0.57,0.182402746,0.00654,0.0015,0.187318,0.0198645,0.0008775
0.57,0.187411589,0.005895,0.001625,0.1917265,0.019671,0.000917
0.57,0.191752586,0.00586,0.00159,0.197178,0.019255,0.000865
0.57,0.196738557,0.006045,0.001055,0.202117,0.0186815,0.0008645
0.57,0.202415246,0.005845,0.001645,0.2072205,0.0183705,0.0007595
0.57,0.207433237,0.005315,0.001495,0.2118105,0.0179015,0.0008125
0.57,0.211440311,0.005525,0.000905,0.2165955,0.016791,0.001218
0.57,0.217025514,0.005845,0.001225,0.22179,0.0163225,0.0008775
0.57,0.221618097,0.005275,0.001155,0.2274125,0.015959,0.000904
0.57,0.226219829,0.004595,0.001105,0.231839,0.015241,0.000917
0.57,0.23171812,0.00545,0.00129,0.237165,0.015965,0.000851
0.57,0.237070034,0.00352,0.00126,0.2424015,0.0142785,0.0008385
0.57,0.241159446,0.004255,0.001215,0.2471695,0.0136655,0.0010345
0.57,0.246296369,0.00425,0.00115,0.25182,0.01397,0.000786
0.57,0.251488183,0.00344,0.00125,0.257526,0.013685,0.000812
0.57,0.256067043,0.00313,0.0013,0.2627355,0.012784,0.000825
0.57,0.261217689,0.004245,0.001165,0.2676535,0.0128265,0.0008905
0.57,0.266244829,0.00338,0.00125,0.2724045,0.0126985,0.0008645
0.57,0.271098146,0.002715,0.001295,0.277395,0.0131335,0.0008775
0.57,0.276459209,0.001815,0.001295,0.2826625,0.0130455,0.0008385
0.57,0.281513794,0.001825,0.001335,0.287478,0.013572,0.000786
0.57,0.286980066,0.00185,0.00138,0.292328,0.013077,0.001179
0.57,0.291805937,0.00286,0.00152,0.296954,0.0140755,0.0012315
