qv,q2,ex,nu,W2,RLTOT,RTTOT
0.16181,0.026,0.01325,0.0135,0.879689593529,229.73535189247048,-235.30558835368203
0.16183,0.026,0.0135,0.01375,0.880158730029,232.0247603811178,-219.61247972122987
0.16185,0.026,0.01375,0.014,0.880627866529,235.38627399642718,-203.81420658845383
0.16187,0.026,0.014,0.01425,0.881097003029,237.82016282511756,-188.01056400258318
0.1619,0.026,0.01425,0.0145,0.881566139529,240.52669956994936,-172.7013449423369
0.16192,0.026,0.0145,0.01475,0.882035276029,243.5061595581646,-156.18634041184097
0.16194,0.026,0.01475,0.015,0.882504412529,246.05882075014523,-140.76533973407996
0.16196,0.026,0.015,0.01525,0.882973549029,248.58496374782408,-126.4381305444505
0.16199,0.026,0.01525,0.0155,0.883442685529,251.6848718033143,-111.20449868437308
0.16201,0.026,0.0155,0.01575,0.883911822029,253.65883082765504,-97.06422859474367
0.16204,0.026,0.01575,0.016,0.884380958529,255.50712939906225,-83.01710350960349
0.16206,0.026,0.016,0.01625,0.884850095029,260.2300587719801,-70.06290704947452
0.16209,0.026,0.01625,0.0165,0.885319231529,262.827912885361,-57.20142071507277
0.16211,0.026,0.0165,0.01675,0.885788368029,267.30098837164405,-45.4324282806146
0.16214,0.026,0.01675,0.017,0.886257504529,273.64958456513705,-33.75571648741382
0.16217,0.026,0.017,0.01725,0.886726641029,279.87400351090764,-22.17107603727507
0.16219,0.026,0.01725,0.0175,0.887195777529,288.97454997338355,-11.678305586018297
0.16222,0.026,0.0175,0.01775,0.887664914029,298.95153144524375,-2.2772107368721493
0.16225,0.026,0.01775,0.018,0.888134050529,310.80525815590227,7.032373966088983
0.16227,0.026,0.018,0.01825,0.888603187029,323.5360430805158,16.25060504450778
0.1623,0.026,0.01825,0.0185,0.889072323529,339.1442019486567,24.377592092408833
0.16233,0.026,0.0185,0.01875,0.889541460029,356.6300532529858,31.41340678268884
0.16236,0.026,0.01875,0.019,0.890010596529,375.9939182583621,39.35804287386861
0.16239,0.026,0.019,0.01925,0.890479733029,396.2361210103991,45.211386216568656
0.16242,0.026,0.01925,0.0195,0.890948869529,417.3569883444725,51.9733647603924
0.16245,0.026,0.0195,0.01975,0.891418006029,441.35684989443695,57.64353856032878
0.16248,0.026,0.01975,0.02,0.891887142529,463.2360381017207,62.22135978366467
0.16251,0.026,0.02,0.02025,0.892356279029,486.9808882239696,67.69774271638752
0.16254,0.026,0.02025,0.0205,0.892825415529,511.0807383441713,71.76386377018494
0.16257,0.026,0.0205,0.02075,0.893294552029,533.9029293794738,75.63826148902206
0.16261,0.026,0.02075,0.021,0.893763688529,557.4328050901921,78.32073655577739
0.16264,0.026,0.021,0.02125,0.894232825029,578.7237120887155,81.81925179911099
0.16267,0.026,0.02125,0.0215,0.8947019615290001,599.7659998484993,84.15597220017344
0.16271,0.026,0.0215,0.02175,0.895171098029,619.5900207132044,86.31816489940078
0.16274,0.026,0.02175,0.022,0.895640234529,637.8961299054424,88.31109920323871
0.16277,0.026,0.022,0.02225,0.896109371029,654.4946855361184,90.1510465909223
0.16281,0.026,0.02225,0.0225,0.896578507529,669.3860486132053,91.81228072134556
0.16284,0.026,0.0225,0.02275,0.8970476440290001,683.640583051101,92.31007743981317
0.16288,0.026,0.02275,0.023,0.897516780529,695.4986556793592,93.62371478492395
0.16291,0.026,0.023,0.02325,0.897985917029,705.7406362521637,94.7844729953654
0.16295,0.026,0.02325,0.0235,0.898455053529,714.666897457218,94.73963451685677
0.16298,0.026,0.0235,0.02375,0.898924190029,722.0778149248857,95.559484008812
0.16302,0.026,0.02375,0.024,0.8993933265290001,728.1737672375166,95.07430835151521
0.16306,0.026,0.024,0.02425,0.899862463029,731.9551359384261,94.53439665271205
0.1631,0.026,0.02425,0.0245,0.900331599529,733.4223055412381,93.72004025478381
0.16313,0.026,0.0245,0.02475,0.900800736029,734.5756635389494,92.74153274147076
0.16317,0.026,0.02475,0.025,0.901269872529,733.3156004133607,91.49916994490022
0.16321,0.026,0.025,0.02525,0.9017390090290001,431.8425096440392,58.843249952542834
0.16325,0.026,0.02525,0.0255,0.902208145529,433.6567877178663,51.83407311408081
0.16329,0.026,0.0255,0.02575,0.902677282029,433.4588341381169,44.241942048523825
0.16333,0.026,0.02575,0.026,0.903146418529,430.04905143385986,35.16716165106337
0.16337,0.026,0.026,0.02625,0.903615555029,424.62784516927195,26.610039100114967
0.16341,0.026,0.02625,0.0265,0.904084691529,418.0956239527906,17.570883864347692
0.16345,0.026,0.0265,0.02675,0.904553828029,409.4527994468051,7.250007709770568
0.16349,0.026,0.02675,0.027,0.905022964529,397.5997863767086,-3.3522752934281064
0.16353,0.026,0.027,0.02725,0.905492101029,385.7370025404437,-13.135648763575592
0.16357,0.026,0.02725,0.0275,0.905961237529,372.86486881787425,-23.49979400063166
0.16362,0.026,0.0275,0.02775,0.9064303740290001,358.7838091801416,-34.344389979043626
0.16366,0.026,0.02775,0.028,0.906899510529,344.5942506991967,-45.16911334065952
0.1637,0.026,0.028,0.02825,0.907368647029,330.2966235572588,-54.2736383875832
0.16374,0.026,0.02825,0.0285,0.907837783529,315.99136105617214,-64.45763707514563
0.16379,0.026,0.0285,0.02875,0.908306920029,301.4788996270538,-73.72077900470175
0.16383,0.026,0.02875,0.029,0.9087760565290001,287.95967883962146,-82.76273141650026
0.16388,0.026,0.029,0.02925,0.909245193029,274.33414141191463,-90.68315918252337
0.16392,0.026,0.02925,0.0295,0.909714329529,262.6027332197088,-98.38172479932837
0.16397,0.026,0.0295,0.02975,0.910183466029,249.76590330610634,-105.05808838088706
0.16401,0.026,0.02975,0.03,0.910652602529,237.8241038911538,-111.31190765126667
0.16406,0.026,0.03,0.03025,0.9111217390290001,226.87779038138973,-116.64283793754302
0.1641,0.026,0.03025,0.0305,0.911590875529,215.72742137953463,-121.75053216253872
0.16415,0.026,0.0305,0.03075,0.912060012029,205.57345869397977,-126.63464083765004
0.1642,0.026,0.03075,0.031,0.912529148529,195.216367348624,-130.29481205536587
0.16425,0.026,0.031,0.03125,0.912998285029,184.85661559246367,-132.93069148225487
0.16429,0.026,0.03125,0.0315,0.913467421529,174.49467490919636,-135.341922351587
0.16434,0.026,0.0315,0.03175,0.913936558029,163.93102002705857,-137.52814545599986
0.16439,0.026,0.03175,0.032,0.914405694529,153.266128928546,-138.6889991402655
0.16444,0.026,0.032,0.03225,0.914874831029,141.60048285998928,-139.62411929391382
0.16449,0.026,0.03225,0.0325,0.915343967529,130.83456634152097,-139.63313934389743
0.16454,0.026,0.0325,0.03275,0.9158131040290001,117.96886717676813,-139.41569024730134
0.16459,0.026,0.03275,0.033,0.916282240529,106.00387646263104,-139.1714004839363
0.16464,0.026,0.033,0.03325,0.916751377029,92.95408859909077,-137.79145604891747
0.16469,0.026,0.03325,0.0335,0.917220513529,81.43100129913375,-136.16780044540238
0.16474,0.026,0.0335,0.03375,0.917689650029,68.96811559845816,-133.31973467709705
0.16479,0.026,0.03375,0.034,0.918158786529,57.580935865499725,-130.34831724080547
0.16484,0.026,0.034,0.03425,0.918627923029,45.21696981119692,-127.26416411906655
0.16489,0.026,0.03425,0.0345,0.919097059529,34.88672849900149,-124.190888772732
0.16495,0.026,0.0345,0.03475,0.919566196029,24.66072635467276,-119.91810213341435
0.165,0.026,0.03475,0.035,0.920035332529,15.339481176318316,-115.75541259607999
0.16505,0.026,0.035,0.03525,0.920504469029,6.113514144405428,-111.4224260116421
0.16511,0.026,0.03525,0.0355,0.920973605529,-1.0166501684306581,-107.19874567920465
0.16516,0.026,0.0355,0.03575,0.921442742029,-8.220483787229853,-102.90397233885889
0.16521,0.026,0.03575,0.036,0.921911878529,-12.437455324782093,-97.6277041639859
0.16527,0.026,0.036,0.03625,0.922381015029,-17.647029971500217,-93.28953675366006
0.16532,0.026,0.03625,0.0365,0.922850151529,-19.84866948552377,-87.96906312528591
0.16538,0.026,0.0365,0.03675,0.923319288029,-22.04183218247499,-82.8258737068565
0.16544,0.026,0.03675,0.037,0.923788424529,-21.225972925446854,-77.49955632947385
0.16549,0.026,0.037,0.03725,0.924257561029,-20.40054311491855,-72.23969621969445
0.16555,0.026,0.03725,0.0375,0.924726697529,-18.66499067859843,-67.04587599196236
0.1656,0.026,0.0375,0.03775,0.925195834029,-14.91876006123789,-61.91767564092599
0.16566,0.026,0.03775,0.038,0.925664970529,-10.161292214531613,-55.65467253387044
0.16572,0.026,0.038,0.03825,0.926134107029,-4.4920245869610085,-50.65644140300574
0.16578,0.026,0.03825,0.0385,0.926603243529,1.4896088865380648,-45.02255433791444
0.16584,0.026,0.0385,0.03875,0.927072380029,9.284177794659627,-39.55258077764883
0.16589,0.026,0.03875,0.039,0.927541516529,16.19225526007358,-34.046087503267344
0.16595,0.026,0.039,0.03925,0.928010653029,24.814417949583742,-28.602638630033567
0.16601,0.026,0.03925,0.0395,0.928479789529,33.45124608445917,-22.321795599631145
0.16607,0.026,0.0395,0.03975,0.928948926029,43.003323450766004,-17.0031171725539
0.16613,0.026,0.03975,0.04,0.929418062529,52.67123740959795,-11.446159420261495
0.16619,0.026,0.04,0.04025,0.929887199029,63.055578907422046,-5.750475717452346
0.16625,0.026,0.04025,0.0405,0.930356335529,72.35694248652726,-0.3156167342794163
0.16631,0.026,0.0405,0.04075,0.930825472029,82.67592629531282,4.958869571436672
0.16638,0.026,0.04075,0.041,0.931294608529,91.9131320986198,10.173437961991297
0.16644,0.026,0.041,0.04125,0.9317637450290001,101.1691652882815,15.328545927727824
0.1665,0.026,0.04125,0.0415,0.932232881529,111.2446348934551,20.024653694735022
0.16656,0.026,0.0415,0.04175,0.932702018029,120.2401535910409,24.6622242327052
0.16663,0.026,0.04175,0.042,0.933171154529,128.15633771630525,29.04172326292319
0.16669,0.026,0.042,0.04225,0.933640291029,137.0938072731107,32.96361926605168
0.16675,0.026,0.04225,0.0425,0.9341094275290001,144.85318594468407,36.72838348996011
0.16682,0.026,0.0425,0.04275,0.934578564029,151.6351011039631,40.136489957815506
0.16688,0.026,0.04275,0.043,0.935047700529,158.34018382420473,43.288415475765945
0.16694,0.026,0.043,0.04325,0.935516837029,164.86906888941886,46.0846396411478
0.16701,0.026,0.04325,0.0435,0.935985973529,170.4223948052822,48.52564485015464
0.16707,0.026,0.0435,0.04375,0.936455110029,174.90080380925207,50.711916305971684
0.16714,0.026,0.04375,0.044,0.936924246529,179.3049418816401,52.5439420267503
