Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ratio
26,56,0.2497,90.0,0.12109,18848.0775,715.4592538,Altemus:1973,0.1286,90.0,0.1211,0.1172,1.0434,0.0642,14938.092,12155.572,471.016,2311.504,0.0,14938.092,20907.38,20436.364,0.901503559986952
26,56,0.2497,90.0,0.13085,15502.4205,571.7102787,Altemus:1973,0.1189,90.0,0.1308,0.1269,1.0665,0.0594,11623.352,9054.344,706.6799999999998,1862.328,0.0,11623.352,16535.064,15828.383999999998,0.9375482610771874
26,56,0.2497,90.0,0.14158,13132.854,575.1999293,Altemus:1973,0.1081,90.0,0.1416,0.1377,1.092,0.054,8994.804,6322.524,1104.74,1567.54,0.0,8994.804,12774.787999999997,11670.048,1.0280291148471508
26,56,0.2497,90.0,0.15142,11066.741,530.7072202,Altemus:1973,0.0983,90.0,0.1514,0.1475,1.1154,0.0491,7324.564,4381.52,1555.424,1387.6199999999997,0.0,7324.564,10251.176,8695.751999999999,1.0795581892262898
26,56,0.2497,90.0,0.15759,10102.15325,586.5695,Altemus:1973,0.0921,90.0,0.1576,0.1537,1.1301,0.046,6628.284,3403.92,1935.18,1289.184,0.0,6628.284,9117.368,7182.187999999999,1.108012010703089
26,56,0.2497,90.0,0.16376,8876.50785,704.310096,Altemus:1973,0.0859,90.0,0.1638,0.1598,1.1447,0.0429,6149.364,2587.988,2370.992,1190.436,0.0,6149.364,8265.815999999999,5894.875999999998,1.0738816167695968
26,56,0.2497,90.0,0.1699,9387.3395,939.5549805,Altemus:1973,0.0798,90.0,0.1699,0.166,1.1593,0.0399,5869.292,1918.904,2863.068,1087.3719999999998,0.0,5869.292,7667.972,4804.956,1.2242271489775916
26,56,0.2497,90.0,0.17617,10512.08935,1310.81281,Altemus:1973,0.0735,90.0,0.1762,0.1722,1.1742,0.0367,5811.676,1366.092,3470.064,975.52,0.0,5811.676,7329.608,3859.544,1.4341953007582398
26,56,0.2497,90.0,0.18233,10798.23395,1852.834057,Altemus:1973,0.0674,90.0,0.1823,0.1784,1.1889,0.0336,5873.764,936.26,4077.736,859.82,0.0,5873.764,7150.312,3072.628,1.5101766118737197
26,56,0.2497,90.0,0.1885,14382.8195,2696.594383,Altemus:1973,0.0612,90.0,0.1885,0.1846,1.2035,0.0306,6090.603999999999,604.3439999999999,4746.040000000001,740.1679999999999,0.0,6090.603999999999,7153.223999999998,2407.132,2.0106765145338668
26,56,0.2988,90.0,0.01174,3118.29274,107.9901404,Altemus:1973,0.2871,90.0,0.0117,0.0062,0.7308,0.1715,282.412,0.0,0.0,0.0,282.412,0.0,236.46425220677898,0.0,11.041643910315424
26,56,0.2988,90.0,0.02222,5824.09212,166.2302655,Altemus:1973,0.2766,90.0,0.0222,0.0167,0.7568,0.1653,2750.696,0.0,0.0,0.0,2750.696,0.0,4572.193712527763,2269.0292836501712,1.0665616457020295
26,56,0.2988,90.0,0.03271,8743.16462,186.2949594,Altemus:1973,0.2661,90.0,0.0327,0.0272,0.7827,0.159,6042.816,4293.588,0.0,1388.2959999999998,360.932,5681.883999999999,7144.041790893114,6841.8325523427075,1.0247242590784196
26,56,0.2988,90.0,0.04324,11334.2677,224.0923804,Altemus:1973,0.2556,90.0,0.0432,0.0377,0.8088,0.1527,11115.987999999998,7445.099999999999,0.0,2667.132,1003.756,10112.232,11456.564577226576,10616.117245179541,0.8283643632532393
26,56,0.2988,90.0,0.05377,14083.879,271.1078261,Altemus:1973,0.245,90.0,0.0538,0.0482,0.8348,0.1464,15266.004,10504.936,5.772,4053.9719999999993,701.324,14564.68,14742.115845091748,14150.062650190664,0.7999167929444962
26,56,0.2988,90.0,0.06431,16941.9868,323.2094032,Altemus:1973,0.2345,90.0,0.0643,0.0588,0.8609,0.1401,18630.352,13235.092,13.104,5276.076,106.08,18524.272,17150.99472883181,17051.201676712873,0.8270987684215377
26,56,0.2988,90.0,0.07486,19047.8522,359.7617868,Altemus:1973,0.2239,90.0,0.0749,0.0693,0.887,0.1338,21542.144,15430.375999999998,23.972,6084.415999999999,3.432,21538.764,18973.21934370165,18950.31744779652,0.8405960281617741
26,56,0.2988,90.0,0.08544,20086.3187,381.2090857,Altemus:1973,0.2134,90.0,0.0854,0.0799,0.9132,0.1275,23183.368,16818.412,40.404,6324.552000000001,0.0,23183.368,20973.368,20932.964,0.9577059201936476
26,56,0.2988,90.0,0.0945,21333.5118,402.6713879,Altemus:1973,0.2043,90.0,0.0945,0.089,0.9356,0.1221,23272.548,17140.239999999998,66.09199999999998,6066.215999999999,0.0,23272.548,22788.584,22722.492,0.936149073588776
26,56,0.2988,90.0,0.10661,21280.8135,408.6884848,Altemus:1973,0.1922,90.0,0.1066,0.1011,0.9656,0.1149,21545.576,16219.735999999995,118.924,5206.915999999999,0.0,21545.576,23375.352,23256.428,0.9103954242058044
26,56,0.2988,90.0,0.11531,20332.2441,390.0784125,Altemus:1973,0.1835,90.0,0.1153,0.1098,0.9871,0.1097,19359.444,14781.571999999996,178.048,4399.772,0.0,19359.444,22453.6,22275.5,0.905522682331564
26,56,0.2988,90.0,0.12778,17752.094,362.3949029,Altemus:1973,0.171,90.0,0.1278,0.1222,1.0179,0.1022,15727.399999999998,12138.62,327.3399999999999,3261.4919999999997,0.0,15727.399999999998,19660.264,19332.975999999995,0.9029428089063304
26,56,0.2988,90.0,0.13382,16024.4164,401.2640803,Altemus:1973,0.165,90.0,0.1338,0.1283,1.0329,0.0986,14001.468,10798.424,407.888,2795.104,0.0,14001.468,17948.06,17540.120000000003,0.8928216420047626
26,56,0.2988,90.0,0.13838,15039.6815,323.9253849,Altemus:1973,0.1604,90.0,0.1384,0.1328,1.0442,0.0959,12809.628,9811.256,502.6839999999999,2495.688,0.0,12809.628,16639.844,16137.16,0.9038354866788414
26,56,0.2988,90.0,0.14901,12519.4628,288.2743732,Altemus:1973,0.1498,90.0,0.149,0.1435,1.0705,0.0895,10404.368,7680.556,742.456,1981.3559999999995,0.0,10404.368,13708.136,12965.68,0.9132870289585688
26,56,0.2988,90.0,0.15962,10806.2514,266.5339272,Altemus:1973,0.1392,90.0,0.1596,0.1541,1.0967,0.0832,8614.06,5860.451999999998,1065.168,1688.388,0.0,8614.06,11275.316,10210.096,0.9583989841171636
26,56,0.2988,90.0,0.17024,9197.4033,249.079136,Altemus:1973,0.1286,90.0,0.1702,0.1647,1.123,0.0768,7390.552000000001,4359.212,1494.272,1537.1199999999997,0.0,7390.552000000001,9473.412,7979.191999999999,0.9708649111851146
26,56,0.2988,90.0,0.18085,8676.20678,252.0304462,Altemus:1973,0.1179,90.0,0.1809,0.1753,1.1492,0.0705,6702.487999999999,3153.4880000000003,2100.436,1448.564,0.0,6702.487999999999,8333.675999999998,6233.24,1.041102003485617
26,56,0.2988,90.0,0.19146,8136.10087,273.903528,Altemus:1973,0.1073,90.0,0.1915,0.1859,1.1755,0.0641,6379.568,2203.708,2808.884,1366.976,0.0,6379.568,7676.656,4867.772,1.0598496102990678
26,56,0.2988,90.0,0.20415,8576.18334,374.6159125,Altemus:1973,0.0947,90.0,0.2041,0.1986,1.2069,0.0566,6513.883999999999,1351.2199999999998,3923.348,1239.3159999999998,0.0,6513.883999999999,7521.123999999999,3597.776,1.1402794768441529
26,56,0.2988,90.0,0.213,9132.92538,507.4414159,Altemus:1973,0.0858,90.0,0.213,0.2075,1.2288,0.0513,6875.804,910.78,4841.564,1123.408,0.0,6875.804,7726.887999999999,2885.2719999999995,1.1819668383960014
26,56,0.2988,90.0,0.22184,10034.47963,867.3905744,Altemus:1973,0.077,90.0,0.2218,0.2163,1.2507,0.046,7443.955999999998,577.6159999999999,5879.276,987.064,0.0,7443.955999999998,8163.427999999998,2284.152,1.2291992567338137
26,56,0.2988,90.0,0.22745,11392.1325,1077.08546,Altemus:1973,0.0713,90.0,0.2275,0.2219,1.2645,0.0426,7895.003999999999,414.492,6588.608,891.956,0.0,7895.003999999999,8540.167999999998,1951.612,1.3339471190730676
26,56,0.2988,90.0,0.23414,12264.2377,1669.250998,Altemus:1973,0.0647,90.0,0.2341,0.2286,1.2811,0.0386,8527.116,262.86,7491.691999999999,772.5640000000001,0.0,8527.116,9090.692,1599.0,1.3490983634689198
26,56,0.3208,90.0,0.02332,3828.57426,127.7395141,Altemus:1973,0.2975,90.0,0.0233,0.017,0.7333,0.1909,1224.6,0.0,0.0,0.0,1224.6,0.0,2648.649913053378,1578.5388208677675,1.2631273152211064
26,56,0.3208,90.0,0.03415,6233.14062,178.2591423,Altemus:1973,0.2866,90.0,0.0341,0.0278,0.7605,0.1839,4081.896,2873.9879999999994,0.0,1010.568,197.392,3884.556,5064.738103397374,4892.293449688482,1.0754359307926953
26,56,0.3208,90.0,0.04428,8221.2298,219.2440914,Altemus:1973,0.2765,90.0,0.0443,0.0379,0.786,0.1774,7445.62,4949.984,0.0,1916.096,579.54,6866.08,8182.691938323066,7676.263567944779,0.8779609449120269
26,56,0.3208,90.0,0.05501,10902.5273,271.7601727,Altemus:1973,0.2658,90.0,0.055,0.0486,0.8131,0.1705,10735.088,7274.852,5.148,3044.392,410.696,10324.391999999998,11055.678941063083,10692.295569334492,0.8617402438048916
26,56,0.3208,90.0,0.06528,12996.5941,318.2705181,Altemus:1973,0.2555,90.0,0.0653,0.0589,0.8389,0.1639,13624.208,9419.904,12.323999999999998,4125.679999999999,66.3,13557.907999999998,13404.243348689972,13335.538126975123,0.8472700649622255
26,56,0.3208,90.0,0.07599,14640.4153,354.5539205,Altemus:1973,0.2448,90.0,0.076,0.0696,0.8659,0.1571,16493.307999999997,11408.435999999998,22.62,5060.119999999999,2.08,16491.228,15557.824881727971,15536.195460077,0.8223167341651227
26,56,0.3208,90.0,0.0865,16393.6122,425.0235207,Altemus:1973,0.2343,90.0,0.0865,0.0801,0.8923,0.1503,18599.724,12946.387999999995,38.11599999999999,5615.219999999999,0.0,18599.724,16887.489033725225,16854.181541981186,0.8482896887261009
26,56,0.3208,90.0,0.09706,17386.4887,435.416321,Altemus:1973,0.2237,90.0,0.0971,0.0907,0.9189,0.1436,19633.64,13860.443999999996,60.73599999999999,5712.459999999998,0.0,19633.64,18222.464000000004,18161.728,0.9541239154046344
26,56,0.3208,90.0,0.1075,17713.5539,458.6901666,Altemus:1973,0.2133,90.0,0.1075,0.1011,0.9452,0.1369,19406.452,13950.976,93.96399999999998,5361.512000000001,0.0,19406.452,19535.932,19441.968,0.9067166030266688
26,56,0.3208,90.0,0.11817,17842.0438,480.1053391,Altemus:1973,0.2026,90.0,0.1182,0.1118,0.9721,0.13,18005.676,13181.584,166.192,4657.847999999999,0.0,18005.676,19646.224,19479.98,0.908166566766214
26,56,0.3208,90.0,0.12874,16787.5771,468.5084453,Altemus:1973,0.1921,90.0,0.1287,0.1224,0.9987,0.1232,15798.484,11761.256,237.744,3799.483999999999,0.0,15798.484,18503.576,18265.832,0.9072612288565196
26,56,0.3208,90.0,0.13935,15690.6344,467.8177378,Altemus:1973,0.1814,90.0,0.1394,0.133,1.0254,0.1164,13344.915999999996,10001.42,377.416,2966.08,0.0,13344.915999999996,16498.195999999996,16120.779999999995,0.9510515210269052
26,56,0.3208,90.0,0.14992,13448.9635,435.3817457,Altemus:1973,0.1709,90.0,0.1499,0.1436,1.0521,0.1096,11076.572,8205.08,571.896,2299.544,0.0,11076.572,14135.368,13563.419999999998,0.9514406345841157
26,56,0.3208,90.0,0.16053,11467.4581,394.760277,Altemus:1973,0.1603,90.0,0.1605,0.1542,1.0788,0.1028,9166.82,6540.299999999999,778.8039999999999,1847.716,0.0,9166.82,11814.556,11035.752,0.9706211642655044
26,56,0.3208,90.0,0.17112,9942.35732,370.099712,Altemus:1973,0.1497,90.0,0.1711,0.1648,1.1054,0.096,7803.64,5096.259999999999,1115.452,1591.9279999999997,0.0,7803.64,9947.756,8832.304,0.999457296700884
26,56,0.3208,90.0,0.18174,8952.56033,349.9380243,Altemus:1973,0.1391,90.0,0.1817,0.1754,1.1322,0.0892,6954.271999999999,3882.32,1604.304,1467.648,0.0,6954.271999999999,8640.059999999998,7035.755999999999,1.0361687685039227
26,56,0.3208,90.0,0.19233,8341.11831,356.6445618,Altemus:1973,0.1285,90.0,0.1923,0.186,1.1588,0.0824,6460.324,2890.68,2162.628,1407.016,0.0,6460.324,7788.299999999999,5625.672,1.0709806132275337
26,56,0.3208,90.0,0.20297,8019.04404,337.0605433,Altemus:1973,0.1178,90.0,0.203,0.1966,1.1856,0.0756,6318.0,2089.308,2870.92,1357.772,0.0,6318.0,7383.012,4512.092,1.086148043643976
26,56,0.3208,90.0,0.21356,8588.6472,383.9116228,Altemus:1973,0.1072,90.0,0.2136,0.2072,1.2123,0.0688,6491.887999999999,1459.328,3741.763999999999,1290.7959999999998,0.0,6491.887999999999,7366.683999999999,3624.92,1.165876967167317
26,56,0.3208,90.0,0.23479,9272.72318,623.7491264,Altemus:1973,0.086,90.0,0.2348,0.2284,1.2658,0.0552,7681.751999999999,606.424,6011.355999999999,1063.9719999999998,0.0,7681.751999999999,8299.251999999999,2287.896,1.1172962551323906
26,56,0.3208,90.0,0.25569,12925.4468,1685.309328,Altemus:1973,0.0651,90.0,0.2557,0.2493,1.3184,0.0418,9634.716,174.61599999999996,8723.624,736.5279999999999,0.0,9634.716,10075.884,1352.312,1.2828102030551365
26,56,0.3488,90.0,0.00971,863.377801,17.22829034,Altemus:1973,0.3391,90.0,0.0097,0.0022,0.662,0.2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,56,0.3488,90.0,0.0153,1012.887122,27.48891146,Altemus:1973,0.3335,90.0,0.0153,0.0078,0.6764,0.2326,640.2239999999999,0.0,0.0,0.0,640.2239999999999,0.0,581.5677370616346,0.0,1.5820823992852502
26,56,0.3488,90.0,0.02537,2289.0348,50.72751342,Altemus:1973,0.3234,90.0,0.0254,0.0179,0.7023,0.2256,267.02,0.0,0.0,0.0,267.02,0.0,1292.514456564125,1049.9583868913267,1.608738076965245
26,56,0.3488,90.0,0.05631,7305.51276,151.707361,Altemus:1973,0.2925,90.0,0.0563,0.0488,0.782,0.204,6481.488,4332.900000000001,2.392,1955.096,191.04800000000003,6290.439999999999,7153.396531888721,6977.631948587362,0.927698296354992
26,56,0.3488,90.0,0.0856,13410.8988,221.9875939,Altemus:1973,0.2632,90.0,0.0856,0.0781,0.8574,0.1836,12862.824,8621.184,21.632,4219.956,0.0,12862.772,12642.674206022293,12622.976858202712,0.9635789277040914
26,56,0.3488,90.0,0.09665,14079.0728,232.4205327,Altemus:1973,0.2521,90.0,0.0966,0.0892,0.8858,0.1759,14668.991999999998,9880.312,36.868,4751.864,0.0,14668.991999999998,13921.254087989833,13887.811108958025,0.9186795512998868
26,56,0.3488,90.0,0.10218,14463.8117,333.568594,Altemus:1973,0.2466,90.0,0.1022,0.0947,0.9001,0.172,15299.335999999998,10358.66,52.832,4887.843999999999,0.0,15299.335999999998,14267.351132292188,14219.359512664621,0.9208900163882866
26,56,0.3488,90.0,0.11232,14920.7565,348.2210085,Altemus:1973,0.2365,90.0,0.1123,0.1049,0.9262,0.165,15846.584,10877.931999999995,83.45999999999998,4885.191999999999,0.0,15846.584,15039.128000000002,14955.667999999998,0.9921290981764368
26,56,0.3488,90.0,0.12245,14663.1862,364.9903158,Altemus:1973,0.2263,90.0,0.1225,0.115,0.9522,0.1579,15552.211999999998,10852.66,126.568,4572.931999999999,0.0,15552.211999999998,15829.007999999998,15702.388,0.926349029579112
26,56,0.3488,90.0,0.13259,14121.1031,379.9530816,Altemus:1973,0.2162,90.0,0.1326,0.1251,0.9783,0.1508,14496.975999999995,10286.535999999998,186.264,4024.176,0.0,14496.975999999995,15792.555999999997,15606.291999999998,0.894161977326533
26,56,0.3488,90.0,0.14279,13367.7908,394.2755643,Altemus:1973,0.206,90.0,0.1428,0.1353,1.0046,0.1437,12917.267999999998,9297.339999999998,268.84,3351.088,0.0,12917.267999999998,14953.588,14684.748,0.893952060201204
26,56,0.3488,90.0,0.15306,12337.5096,339.3356797,Altemus:1973,0.1957,90.0,0.1531,0.1456,1.031,0.1365,11131.379999999996,8068.736,383.188,2679.508,0.0,11131.379999999996,13511.783999999996,13128.648,0.9130925716396888
26,56,0.3488,90.0,0.16326,9947.27877,271.7578148,Altemus:1973,0.1855,90.0,0.1633,0.1558,1.0573,0.1294,9490.572,6794.632,576.108,2119.832,0.0,9490.572,11847.212,11271.104,0.8396303510057895
26,56,0.3488,90.0,0.17346,8674.19176,259.2035372,Altemus:1973,0.1753,90.0,0.1735,0.166,1.0835,0.1223,8092.448,5586.151999999999,787.696,1718.6,0.0,8092.448,10188.204,9400.508,0.8513955707993283
26,56,0.3488,90.0,0.18373,8298.29,255.2788282,Altemus:1973,0.1651,90.0,0.1837,0.1763,1.11,0.1152,7083.491999999999,4497.219999999999,1112.072,1474.2,0.0,7083.491999999999,8820.552,7708.48,0.9407903269545944
26,56,0.3488,90.0,0.19406,7754.0515,249.9990508,Altemus:1973,0.1547,90.0,0.1941,0.1866,1.1366,0.1079,6431.048000000001,3552.068,1526.4599999999998,1352.52,0.0,6431.048000000001,7816.744000000001,6290.284,0.9919797168744428
26,56,0.3488,90.0,0.2044,7504.99503,294.9499669,Altemus:1973,0.1444,90.0,0.2044,0.1969,1.1632,0.1007,6103.292,2754.336,2045.004,1303.952,0.0,6103.292,7200.7,5155.696,1.0422590900884636
26,56,0.3488,90.0,0.2146,7983.92491,421.3225957,Altemus:1973,0.1342,90.0,0.2146,0.2071,1.1894,0.0936,6030.388,2100.644,2646.592,1283.204,0.0,6030.388,6915.531999999999,4268.991999999999,1.1544917889180473
26,56,0.3488,90.0,0.225,8816.12485,2677.583809,Altemus:1973,0.1238,90.0,0.225,0.2175,1.2162,0.0864,6243.536,1554.7999999999995,3430.1799999999994,1258.5559999999998,0.0,6243.536,6973.564000000001,3543.384,1.264220827399017
