Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,7.082,16.25,2.664,796.88,39.2,E140_1,4.4180,16.2500,2.6640,2.6176,3.3795,2.4999,786.5519999999999,4.316,782.1320000000001,0.052,0.0,786.5519999999999,1.0131307275297756
26,56,9.248,11.63,2.664,1680.56,39.2,E140_1,6.5840,11.6300,2.6640,2.6302,3.3794,2.5001,1675.5439999999999,9.099999999999998,1666.3399999999997,0.104,0.0,1675.5439999999999,1.0029936545981484
26,56,7.084,36.974,5.329,25.0936,1.232,E140_1,1.7550,36.9740,5.3290,5.0956,5.8804,5.0001,24.075999999999993,0.0,24.024,0.0,0.0,24.075999999999993,1.042266157168965
26,56,8.25,26.33,5.329,52.0632,0.616,E140_1,2.9210,26.3300,5.3290,5.1816,5.8803,5.0002,50.596,0.052,50.544,0.0,0.0,50.596,1.028998339789707
26,56,9.71,19.741,5.329,98.112,5.04,E140_1,4.3810,19.7410,5.3290,5.2259,5.8803,5.0002,96.97999999999999,0.052,96.92799999999998,0.0,0.0,96.97999999999999,1.0116725097958343
26,56,13.316,12.448,5.329,276.584,4.48,E140_1,7.9870,12.4480,5.3290,5.2678,5.8801,5.0004,278.19999999999993,0.156,278.09600000000006,0.0,0.0,278.19999999999993,0.9941912293314165
26,56,3.748,28.725,2.664,1030.4,78.4,E140_2,1.0840,28.7250,2.6640,2.6062,4.8795,1.0000,959.5039999999998,0.052,959.4519999999999,0.0,0.0,959.5039999999998,1.0738881755573717
26,56,4.006,24.907,2.664,1408.4,44.8,E140_2,1.3420,24.9070,2.6640,2.6157,4.8794,1.0000,1328.1839999999997,0.052,1328.08,0.0,0.0,1328.1839999999997,1.0603952464417583
26,56,4.251,22.205,2.665,1839.6,44.8,E140_2,1.5860,22.2050,2.6650,2.623,4.8813,1.0000,1729.936,0.104,1729.8839999999996,0.0,0.0,1729.936,1.063391940511094
26,56,5.507,14.519,2.664,4914.0,44.8,E140_2,2.8430,14.5190,2.6640,2.6378,4.8795,1.0000,4657.38,0.25999999999999995,4657.172,0.0,0.0,4657.38,1.0550996483001172
26,56,6.251,12.124,2.665,7504.0,392.0,E140_2,3.5860,12.1240,2.6650,2.6432,4.8814,1.0000,7079.851999999999,0.364,7079.539999999998,0.0,0.0,7079.851999999999,1.0599091619429335
26,56,3.749,46.178,2.665,77.336,3.92,E140_2,1.0840,46.1780,2.6650,2.5204,3.3814,2.5000,73.78799999999998,0.468,73.32,0.0,0.0,73.78799999999998,1.0480836992464901
26,56,9.248,11.63,2.664,1654.24,100.8,E140_2,6.5840,11.6300,2.6640,2.6302,3.3794,2.5001,1675.5439999999999,9.099999999999998,1666.3399999999997,0.104,0.0,1675.5439999999999,0.9872853234531592
26,56,15.1,11.818,11.975,667.0,13.4,E139,3.1250,11.8180,11.9750,11.9108,21.3515,2.0005,599.3,0.0,599.3,0.0,0.0,599.3,1.1129651259803104
26,56,12.095,11.824,8.198,1100.0,15.1,E139,3.8970,11.8240,8.1980,8.1489,14.2641,2.0002,1004.4839999999999,0.0,1004.4839999999999,0.0,0.0,1004.4839999999999,1.0950896181522056
26,56,24.508,11.076,19.032,210.0,4.7,E139,5.4760,11.0760,19.0320,18.9329,31.5951,4.9996,173.784,0.0,173.784,0.0,0.0,173.784,1.2083966302996825
26,56,9.693,11.841,4.844,2010.0,28.6,E139,4.8490,11.8410,4.8440,4.8067,7.9700,2.0003,1891.1879999999999,0.0,1891.1879999999999,0.0,0.0,1891.1879999999999,1.0628240026903726
26,56,17.307,13.542,12.111,204.0,2.63,E139,5.1960,13.5420,12.1110,12.012,18.6070,5.0002,186.10799999999998,0.0,186.10799999999998,0.0,0.0,186.10799999999998,1.096137726481398
26,56,8.009,13.595,3.553,1840.0,26.9,E139,4.4560,13.5950,3.5530,3.5147,5.5479,1.9999,1803.2559999999996,0.468,1802.7879999999998,0.0,0.0,1803.2559999999996,1.0203764745549164
26,56,12.097,20.655,8.882,94.2,1.68,E139,3.2150,20.6550,8.8820,8.7334,12.5480,4.9998,92.92399999999999,0.0,92.92399999999999,0.0,0.0,92.92399999999999,1.0137316516723345
26,56,15.092,13.262,8.882,263.0,3.7,E139,6.2100,13.2620,8.8820,8.8013,12.5490,4.9989,251.784,0.0,251.784,0.0,0.0,251.784,1.0445461188955614
26,56,24.507,14.13,17.763,47.9,1.07,E139,6.7440,14.1300,17.7630,17.6021,24.2124,10.0010,45.135999999999996,0.0,45.135999999999996,0.0,0.0,45.135999999999996,1.0612371499468274
26,56,8.013,12.402,2.664,2520.0,35.3,E139,5.3490,12.4020,2.6640,2.6321,3.8791,2.0004,2559.232,6.032,2553.1479999999997,0.0,0.0,2559.232,0.9846704011203361
26,56,12.093,15.859,6.661,181.0,2.13,E139,5.4320,15.8590,6.6610,6.573,8.3794,5.0006,180.596,0.0,180.596,0.0,0.0,180.596,1.0022370373651686
26,56,21.2,14.056,13.322,48.1,0.694,E139,7.8780,14.0560,13.3220,13.187,15.8785,10.0012,48.256,0.0,48.20399999999999,0.0,0.0,48.256,0.9967672413793104
26,56,7.989,11.865,2.132,2630.0,33.0,E139,5.8570,11.8650,2.1320,2.1029,2.8817,1.9994,2684.9679999999994,29.224,2655.328,0.416,0.0,2684.9679999999994,0.9795275027486363
26,56,9.695,19.789,5.329,92.3,1.29,E139,4.3660,19.7890,5.3290,5.2256,5.8811,4.9993,96.46,0.052,96.40799999999999,0.0,0.0,96.46,0.9568733153638814
26,56,12.084,14.216,5.329,198.0,2.46,E139,6.7550,14.2160,5.3290,5.2583,5.8811,4.9994,205.55599999999998,0.104,205.45199999999994,0.0,0.0,205.55599999999998,0.9632411605596529
26,56,17.315,16.938,10.658,25.4,0.42,E139,6.6570,16.9380,10.6580,10.5035,10.8802,10.0004,27.195999999999998,0.0,27.195999999999998,0.0,0.0,27.195999999999998,0.9339608765994999
26,56,12.104,13.333,4.441,170.0,2.13,E139,7.6630,13.3330,4.4410,4.3786,4.2140,5.0001,180.69999999999996,0.416,180.284,0.0,0.0,180.69999999999996,0.940785832872164
26,56,17.297,15.06,8.882,22.7,0.342,E139,8.4150,15.0600,8.8820,8.7598,7.5495,9.9983,25.375999999999998,0.0,25.375999999999998,0.0,0.0,25.375999999999998,0.8945460277427492
26,56,21.197,17.241,13.322,6.33,0.101,E139,7.8750,17.2410,13.3220,13.1195,10.8785,15.0012,6.9159999999999995,0.0,6.9159999999999995,0.0,0.0,6.9159999999999995,0.9152689415847312
26,56,8.011,22.212,3.806,35.3,0.638,E139,4.2050,22.2120,3.8060,3.7045,3.0229,4.9996,38.22,0.364,37.803999999999995,0.0,0.0,38.22,0.9236002093144949
26,56,12.072,12.853,3.806,123.0,1.85,E139,8.2660,12.8530,3.8060,3.7482,3.0219,5.0005,131.872,1.3,130.468,0.052,0.0,131.872,0.9327226401358892
26,56,15.102,17.1,7.613,10.1,0.179,E139,7.4890,17.1000,7.6130,7.4791,5.1670,9.9995,11.491999999999999,0.0,11.491999999999999,0.0,0.0,11.491999999999999,0.8788722589627568
26,56,15.09,16.119,6.661,6.1096,0.1176,E139,8.4290,16.1190,6.6610,6.542,3.3793,10.0007,6.864,0.052,6.811999999999999,0.0,0.0,6.864,0.8900932400932402
