Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1305,140.0,0.03406,20513.7324,1238.043771,Altemus:1973,0.0964,140.0000,0.0341,0.0321,0.8998,0.0445,27182.115999999995,21736.259999999995,0.0,3273.5559999999996,2172.2999999999997,25009.815999999995,0.7546775387170007
26,56,0.1305,140.0,0.04172,22899.744,1388.603829,Altemus:1973,0.0888,140.0000,0.0417,0.0398,0.9177,0.0409,31716.412,26529.256,0.0,3926.8839999999996,1260.324,30456.139999999996,0.7220155924320821
26,56,0.1305,140.0,0.04463,24270.372,1471.414448,Altemus:1973,0.0859,140.0000,0.0446,0.0427,0.9245,0.0396,32112.756,27180.659999999993,0.0,3999.6319999999996,932.4639999999998,31180.291999999994,0.755786018490596
26,56,0.1305,140.0,0.04992,24681.5604,1499.290111,Altemus:1973,0.0806,140.0000,0.0499,0.048,0.9369,0.0371,31149.507999999998,26741.259999999995,0.0,3905.564,502.73599999999993,30646.772,0.7923579531336418
26,56,0.1305,140.0,0.0552,24499.7424,1492.968178,Altemus:1973,0.0753,140.0000,0.0552,0.0532,0.9492,0.0347,28373.28,24552.684,0.0,3575.8839999999996,244.76399999999995,28128.567999999996,0.8634793862394479
26,56,0.1305,140.0,0.06051,20736.576,1276.65778,Altemus:1973,0.0700,140.0000,0.0605,0.0586,0.9616,0.0323,24387.843999999997,21205.859999999997,2.288,3088.904,90.79199999999999,24297.052,0.8502832804736656
26,56,0.1305,140.0,0.0658,18659.1888,1166.416408,Altemus:1973,0.0647,140.0000,0.0658,0.0638,0.9740,0.0298,19950.267999999996,17386.616,7.384,2532.7119999999995,23.607999999999997,19926.711999999996,0.9352851199793408
26,56,0.1305,140.0,0.07109,15203.7144,989.7392228,Altemus:1973,0.0594,140.0000,0.0711,0.0691,0.9864,0.0274,15595.579999999996,13601.847999999996,12.376000000000001,1977.1960000000001,4.159999999999999,15591.42,0.9748732910222001
26,56,0.1503,90.0,0.00362,119440.0,1139.8,Altemus:1973,0.1467,90.0000,0.0036,0.0022,0.8431,0.0441,22886.811999999998,0.0,0.0,0.0,22886.811999999998,0.0,5.218725963231576
26,56,0.1503,90.0,0.00742,95248.0,1775.1,Altemus:1973,0.1429,90.0000,0.0074,0.006,0.8513,0.0429,216586.91599999997,0.0,0.0,0.0,216586.91599999997,0.0,0.4397680236603028
26,56,0.1503,90.0,0.00961,88073.0,1193.1,Altemus:1973,0.1407,90.0000,0.0096,0.0082,0.8561,0.0423,98693.76399999998,0.0,0.0,0.0,98693.76399999998,0.0,0.892386676021395
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,0.1316,90.0000,0.0187,0.0172,0.8759,0.0396,69100.66799999999,1493.8559999999998,0.0,146.432,67460.38,1640.288,1.3836769276962708
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,0.1255,90.0000,0.0248,0.0233,0.8891,0.0377,98583.212,33307.352,0.0,2086.7599999999998,63189.09999999999,35394.112,0.9226114482859414
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,0.1194,90.0000,0.0309,0.0295,0.9025,0.0359,98186.868,62482.211999999985,0.0,3785.5999999999995,31919.056000000004,66267.81199999999,0.9916702913876426
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.1133,90.0000,0.0370,0.0356,0.9158,0.0340,100569.56,77924.44399999999,0.0,4684.628,17960.436,82609.124,0.9471454384408166
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.1071,90.0000,0.0432,0.0417,0.9291,0.0322,97625.216,82772.66399999999,0.0,5015.919999999999,9836.58,87788.63599999998,0.9541284907374751
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.1010,90.0000,0.0493,0.0478,0.9424,0.0304,87277.996,78155.948,0.0,4842.552000000001,4279.496,82998.5,1.0214716662376162
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,0.0949,90.0000,0.0554,0.054,0.9558,0.0285,73502.51999999999,67497.19599999998,0.0,4305.704,1699.62,71802.9,1.0182371978538969
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,0.0887,90.0000,0.0616,0.0601,0.9692,0.0267,58643.623999999996,54589.287999999986,1.56,3574.2199999999993,478.608,58165.015999999996,1.0555111669087847
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0826,90.0000,0.0677,0.0663,0.9826,0.0248,44874.231999999996,41991.71599999999,8.319999999999999,2792.1919999999996,82.00399999999999,44792.227999999996,1.1152057153869508
26,56,0.1507,160.0,0.00291,322.706223,36.213,Altemus:1973,0.1478,160.0000,0.0029,0.0001,0.7994,0.0864,0.468,0.0,0.0,0.0,0.468,0.0,689.5432115384615
26,56,0.1507,160.0,0.0066,1568.8926,54.899,Altemus:1973,0.1441,160.0000,0.0066,0.0038,0.8085,0.0842,741.468,0.0,0.0,0.0,741.468,0.0,2.1159275922898897
26,56,0.1507,160.0,0.01271,3474.13122,97.339,Altemus:1973,0.1380,160.0000,0.0127,0.0099,0.8235,0.0807,1046.552,0.0,0.0,0.0,1046.552,0.0,3.3195973253120727
26,56,0.1507,160.0,0.01791,5620.93236,126.87,Altemus:1973,0.1328,160.0000,0.0179,0.0151,0.8363,0.0776,1558.5959999999998,0.0,0.0,0.0,1558.5959999999998,0.0,3.6064075360131813
26,56,0.1507,160.0,0.02311,7589.26971,151.41,Altemus:1973,0.1276,160.0000,0.0231,0.0203,0.8491,0.0746,15526.211999999998,2436.2,0.0,666.016,12423.996,3102.2159999999994,0.4888036895283924
26,56,0.1507,160.0,0.02833,9093.7998,169.93,Altemus:1973,0.1224,160.0000,0.0283,0.0255,0.8620,0.0715,10539.984,7444.891999999999,0.0,1977.7159999999997,1117.4279999999999,9422.608,0.862790664577859
26,56,0.1507,160.0,0.03356,10742.13,190.34,Altemus:1973,0.1171,160.0000,0.0336,0.0307,0.8748,0.0685,13881.296,10651.264,0.0,2894.2159999999994,335.81600000000003,13545.428,0.7738564180174531
26,56,0.1507,160.0,0.03882,11682.7434,204.1,Altemus:1973,0.1119,160.0000,0.0388,0.036,0.8878,0.0654,17116.891999999996,13254.903999999999,0.0,3667.3520000000003,194.63599999999997,16922.255999999998,0.6825271433622413
26,56,0.1507,160.0,0.04409,12667.5891,218.66,Altemus:1973,0.1066,160.0000,0.0441,0.0412,0.9008,0.0623,19636.448,15235.687999999998,0.0,4238.728,162.03199999999998,19474.415999999997,0.6451059326004377
26,56,0.1507,160.0,0.04937,13903.3854,235.12,Altemus:1973,0.1013,160.0000,0.0494,0.0465,0.9138,0.0592,21148.503999999997,16476.719999999998,1.404,4555.719999999999,114.66,21033.843999999997,0.657416969067883
26,56,0.1507,160.0,0.05464,14773.5882,249.61,Altemus:1973,0.0961,160.0000,0.0546,0.0518,0.9267,0.0562,21573.915999999997,16897.451999999997,4.263999999999999,4604.807999999999,67.392,21506.523999999998,0.6847893632291885
26,56,0.1507,160.0,0.06036,14900.8689,260.46,Altemus:1973,0.0903,160.0000,0.0604,0.0575,0.9408,0.0528,20843.368,16425.656,7.695999999999999,4383.028,26.987999999999996,20816.379999999997,0.7148973668746818
26,56,0.1507,160.0,0.06549,14356.5408,264.5,Altemus:1973,0.0852,160.0000,0.0655,0.0626,0.9534,0.0498,19295.743999999995,15283.32,12.271999999999998,3991.8839999999996,8.267999999999999,19287.476,0.744026288905989
26,56,0.1507,160.0,0.07073,13699.3752,271.69,Altemus:1973,0.0800,160.0000,0.0707,0.0679,0.9663,0.0468,17099.42,13609.44,18.407999999999994,3469.8559999999993,1.716,17097.703999999998,0.8011602264872143
26,56,0.1507,160.0,0.07593,12546.6273,273.96,Altemus:1973,0.0748,160.0000,0.0759,0.0731,0.9791,0.0437,14599.624,11671.556,32.187999999999995,2895.6719999999996,0.25999999999999995,14599.415999999997,0.8593801662289385
26,56,0.1507,160.0,0.08121,10976.832,272.56,Altemus:1973,0.0695,160.0000,0.0812,0.0784,0.9921,0.0406,11998.427999999998,9638.096000000001,44.356,2315.976,0.0,11998.427999999998,0.9148558461158414
26,56,0.1507,160.0,0.08647,9119.0754,269.62,Altemus:1973,0.0642,160.0000,0.0865,0.0836,1.0051,0.0376,9563.32,7705.203999999999,70.2,1787.864,0.0,9563.32,0.9535470317839412
26,56,0.1603,140.0,0.00516,2420.06088,132.0304528,Altemus:1973,0.1551,140.0000,0.0052,0.0022,0.8022,0.0878,310.17999999999995,0.0,0.0,0.0,310.17999999999995,0.0,7.8021177380875635
26,56,0.1603,140.0,0.01117,4924.722,260.8708235,Altemus:1973,0.1491,140.0000,0.0112,0.0082,0.8169,0.0844,3568.396,0.0,0.0,0.0,3568.396,0.0,1.3800940254388805
26,56,0.1603,140.0,0.0216,9691.9764,499.5843934,Altemus:1973,0.1387,140.0000,0.0216,0.0187,0.8424,0.0785,12210.12,1308.216,0.0,351.416,10550.487999999998,1659.632,0.7937658597949896
26,56,0.1603,140.0,0.03212,13244.7748,677.9953956,Altemus:1973,0.1282,140.0000,0.0321,0.0292,0.8681,0.0726,14780.74,10903.879999999997,0.0,2743.2079999999996,1133.652,13647.14,0.896083335475761
26,56,0.1603,140.0,0.04266,16574.2368,845.6748442,Altemus:1973,0.1176,140.0000,0.0427,0.0397,0.8938,0.0666,21546.719999999998,16525.964,0.0,4317.404,703.352,20843.368,0.7692231949920917
26,56,0.1603,140.0,0.05323,18697.4764,954.7148979,Altemus:1973,0.1071,140.0000,0.0532,0.0503,0.9196,0.0606,24561.732,19242.652000000002,2.7039999999999997,4976.14,340.1839999999999,24221.548000000003,0.7612442151880819
