Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,ExA,nuA,Q2effA,qv2A,epsilonA
26,56,0.1503,90.0,0.00123,85208.0,1821.5,Altemus:1973,0.0089,0.15919999999999998,0.14906999999999998,0.15796999999999997,1.0198,0.0,0.041483200000000005,86895.1184,4055.1600273700587,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0007981824072823185,4.433234524286382,1.1219362118521883,0.044810442,0.050297648,0.0502991609,0.22427474423126648,0.832366726109,0.3333266492581965,-0.0002964091014331985,-293159413.7286756,-6145222.907099261,0.0011792636416784277,0.0011133374707554503,317.14175067925333,282.67360241068303,27558069.974857002,1286060.5503646694,70.77440259495161,3.302849845291695,24562956.15003083,1146286.6932884986,63.08237656231023,2.9438838058708057,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.00362,119440.0,1139.8,Altemus:1973,0.0089,0.15919999999999998,0.14667999999999998,0.15557999999999997,1.0198,0.0,0.04173813333333334,121804.91200000001,5215.097014263488,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0031881824072823185,4.433234524286382,1.1219362118521883,0.044092007999999995,0.049536672,0.049549776399999995,0.2225977906449208,0.8376126470490001,0.3332745571724182,-0.0002639868274261531,-461405264.7534974,-4317639.6758616455,0.0011792636416784277,0.0011133374707554503,317.2408920579168,282.7619687345579,38641498.93991606,1654442.0289735275,99.23877126885792,4.248924047852833,34441796.71865958,1474631.0988948587,88.45313148866641,3.787135135640506,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.00742,95248.0,1775.1,Altemus:1973,0.0089,0.15919999999999998,0.14287999999999998,0.15177999999999997,1.0198,0.0,0.04214346666666667,97133.91040000001,4475.960820880842,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.006988182407282319,4.433234524286382,1.1219362118521883,0.042949728,0.048326752,0.048381808400000004,0.21995865156888011,0.845953441849,0.333080358122296,-0.00021241172009880767,-457290729.3195318,-8356883.5051770015,0.0011792636416784277,0.0011133374707554503,317.6107980982193,283.0916720068071,30850778.804544926,1421613.488576325,79.2307096060341,3.6509757565283394,27497801.10369539,1267107.2326201184,70.61962058897561,3.2541740947116744,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.00961,88073.0,1193.1,Altemus:1973,0.0089,0.15919999999999998,0.14068999999999998,0.14958999999999997,1.0198,0.0,0.04237706666666667,89816.8454,3995.920381030534,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.009178182407282319,4.433234524286382,1.1219362118521883,0.042291414,0.047629456,0.0477218081,0.21845321718848637,0.850760373589,0.3329030073067796,-0.00018268389242024675,-491651695.23202944,-6530953.463895919,0.0011792636416784275,0.00111333747075545,317.949036105348,283.39314904583614,28557179.42095306,1270499.0335023731,73.34030703742295,3.2628848890953748,25453478.655269023,1132416.4601166805,65.36940894023421,2.908262390166305,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,0.0089,0.15919999999999998,0.13161,0.14051,1.0198,0.0,0.0433456,97506.1374,4482.986921050599,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.018258182407282317,4.433234524286382,1.1219362118521883,0.039561966000000004,0.044738384,0.045087700099999996,0.21233864485768952,0.8706904832690001,0.3316072131938614,-5.954725668168844e-05,-1637458093.5142293,-24614064.218523804,0.0011792636416784277,0.0011133374707554503,320.43268244035414,285.60686343420224,31244153.16147974,1436495.5244572677,80.24097030765928,3.6891956754062334,27848422.06839836,1280371.8333378134,71.52008238970254,3.2882401302617676,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,0.0089,0.15919999999999998,0.12550999999999998,0.13440999999999997,1.0198,0.0,0.04399626666666667,92754.8892,4352.237074760599,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.024358182407282318,4.433234524286382,1.1219362118521883,0.037728305999999996,0.042796143999999994,0.0434106881,0.2083523172417336,0.884079653869,0.33017252555029214,2.2889633032452497e-05,4052266328.1011906,64806630.92749731,0.001179263641678428,0.0011133374707554505,323.2081087337484,288.08064604686285,29979132.314140387,1406678.313694275,76.99215445000715,3.6126193665165354,26720888.404741183,1253795.268246142,68.6243599561707,3.2199864202194823,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,0.0089,0.15919999999999998,0.11937999999999999,0.12827999999999998,1.0198,0.0,0.044650133333333335,99296.9062,4718.622379124226,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.030488182407282318,4.433234524286382,1.1219362118521883,0.035885628,0.040844351999999993,0.041800398399999994,0.2044514573193353,0.897534672849,0.3282116851790048,0.00010529553976476927,943030506.532658,15040523.117484305,0.0011792636416784275,0.00111333747075545,327.0454543920449,291.50093466733756,32474601.80790326,1543204.0000851548,83.40099813086475,3.963243481412679,28945140.966874946,1375482.8338569282,74.33666660351328,3.5325033986288914,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.040431817592717675,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.0089,0.15919999999999998,0.11326999999999998,0.12216999999999999,1.0198,0.0,0.04530186666666667,97140.0292,4707.3974438145515,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.03659818240728232,4.433234524286382,1.1219362118521883,0.034048962,0.038898928,0.0402701489,0.20067423576533186,0.9109457929090001,0.3256796729839487,0.00018679513602711927,520035110.47470224,8774853.750806618,0.0011792636416784275,0.00111333747075545,332.0772432246044,295.9858499231279,32257993.103493575,1563219.5659044858,82.84470548535478,4.014647288528182,28752074.10431946,1393323.0333334096,73.84083391745388,3.5783204482725974,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.0089,0.15919999999999998,0.10715,0.11605,1.0198,0.0,0.045954666666666664,94991.3106,4701.483836598339,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04271818240728232,4.433234524286382,1.1219362118521883,0.03220929,0.03695032,0.038812242500000003,0.19700822952354047,0.924378862429,0.32249952334634135,0.00026756229629383034,355025023.76374763,6398509.8936358495,0.001179263641678428,0.0011133374707554505,338.52239013991596,301.73051423400824,32156685.506835133,1591557.5455694518,82.58452817110988,4.087424648603315,28661776.995100398,1418581.1356796948,73.60893364407258,3.643188093425957,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04271818240728232,0.04315,0.036950319999999995,0.0388122425,0.32249952334634135
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.0089,0.15919999999999998,0.10102999999999998,0.10992999999999999,1.0198,0.0,0.046607466666666666,90917.2096,4618.338921257908,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04883818240728232,4.433234524286382,1.1219362118521883,0.030369617999999998,0.035001712,0.0374292449,0.1934663921718705,0.937811931949,0.3186022911529005,0.0003472089886194627,261851543.53721032,5187077.69392997,0.0011792636416784277,0.0011133374707554503,346.61688001359386,308.9452647591872,31513439.531093962,1600794.2277317627,80.93254928811031,4.11114621773328,28088441.391038515,1426813.9407756831,72.13649798726073,3.664331513951446,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04883818240728232,0.04927,0.03500171199999999,0.03742924489999999,0.3186022911529005
