bin_index,qvcenter,RT,RTerr
0,0.1,0.007,0.0004
1,0.148,0.0107,0.0005
2,0.167,0.0149,0.0007
3,0.205,0.0374,0.0019
4,0.24,0.0723,0.0036
5,0.3,0.1202,0.006
6,0.38,0.1407,0.007
7,0.475,0.1274,0.0064
8,0.57,0.1225,0.0061
9,0.649,0.1261,0.0063
10,0.756,0.134,0.0067
11,0.991,0.1498,0.0075
12,1.619,0.2067,0.0103
13,1.921,0.225,0.0113
14,2.213,0.2481,0.0124
15,2.5,0.272,0.0136
16,2.783,0.2967,0.0148
17,3.5,0.3601,0.018
