E0,Ep,theta,Q2,xs,err,f1f221,ratio,,dataSet
0.3331,0.2546,180,0.6884,8.96E+02,5.00E+01,4.03E+02,2.22101,,Hotta-1994
0.3331,0.2447,180,0.7202,1.30E+03,4.30E+01,5.85E+02,2.22196,,Hotta-1994
0.3331,0.2348,180,0.752,1.80E+03,4.40E+01,8.27E+02,2.17617,,Hotta-1994
0.3331,0.2249,180,0.7837,2.23E+03,5.10E+01,1.12E+03,1.98275,,Hotta-1994
0.3331,0.215,180,0.8155,2.63E+03,5.30E+01,1.45E+03,1.81154,,Hotta-1994
0.3331,0.2051,180,0.8473,3.13E+03,6.00E+01,1.76E+03,1.77609,,Hotta-1994
0.3331,0.1952,180,0.879,3.54E+03,6.30E+01,2.01E+03,1.76559,,Hotta-1994
0.3331,0.1853,180,0.9108,3.90E+03,7.00E+01,2.14E+03,1.81971,,Hotta-1994
0.3331,0.1754,180,0.9426,4.16E+03,7.10E+01,2.17E+03,1.92059,,Hotta-1994
0.3331,0.1655,180,0.9744,4.08E+03,8.10E+01,2.09E+03,1.95665,,Hotta-1994
0.3331,0.1556,180,1.0061,4.27E+03,7.70E+01,1.93E+03,2.21692,,Hotta-1994
0.3331,0.1457,180,1.0379,3.91E+03,7.40E+01,1.72E+03,2.2759,,Hotta-1994
0.3331,0.1358,180,1.0697,3.88E+03,7.50E+01,1.49E+03,2.6084,,Hotta-1994
0.3331,0.1259,180,1.1014,3.56E+03,7.20E+01,1.25E+03,2.83756,,Hotta-1994
0.3331,0.116,180,1.1332,3.50E+03,7.00E+01,1.03E+03,3.38557,,Hotta-1994
0.3331,0.1061,180,1.165,3.52E+03,7.30E+01,8.33E+02,4.22397,,Hotta-1994
0.3331,0.0962,180,1.1967,4.20E+03,9.30E+01,6.57E+02,6.39532,,Hotta-1994
0.3331,0.0863,180,1.2285,4.51E+03,8.80E+01,5.04E+02,8.9438,,Hotta-1994
0.3331,0.0764,180,1.2603,4.00E+03,1.67E+02,3.75E+02,10.67749,,Hotta-1994
0.34,0.315,60,0.8203,4.28E+04,1.18E+03,3.56E+04,1.20363,,Meziani-1984is
0.34,0.305,60,0.8424,5.24E+04,1.49E+03,5.32E+04,0.98487,,Meziani-1984is
0.34,0.295,60,0.8646,6.09E+04,1.78E+03,6.59E+04,0.92399,,Meziani-1984is
0.34,0.285,60,0.8868,6.81E+04,2.02E+03,7.35E+04,0.92683,,Meziani-1984is
0.34,0.275,60,0.9089,6.98E+04,2.15E+03,7.57E+04,0.92255,,Meziani-1984is
0.34,0.265,60,0.9311,7.19E+04,2.27E+03,7.34E+04,0.9797,,Meziani-1984is
0.34,0.255,60,0.9532,7.17E+04,2.34E+03,6.82E+04,1.05206,,Meziani-1984is
0.34,0.245,60,0.9754,6.86E+04,2.32E+03,6.14E+04,1.11768,,Meziani-1984is
0.34,0.235,60,0.9976,6.16E+04,2.19E+03,5.41E+04,1.13764,,Meziani-1984is
0.34,0.225,60,1.0197,5.06E+04,1.95E+03,4.72E+04,1.07317,,Meziani-1984is
0.34,0.215,60,1.0419,4.17E+04,1.75E+03,4.07E+04,1.02354,,Meziani-1984is
0.34,0.205,60,1.064,3.26E+04,1.50E+03,3.51E+04,0.92946,,Meziani-1984is
0.34,0.195,60,1.0862,2.63E+04,1.32E+03,3.02E+04,0.87126,,Meziani-1984is
0.34,0.185,60,1.1084,2.32E+04,1.22E+03,2.61E+04,0.89025,,Meziani-1984is
0.34,0.175,60,1.1305,2.00E+04,1.16E+03,2.27E+04,0.88148,,Meziani-1984is
0.34,0.165,60,1.1527,1.82E+04,1.16E+03,2.00E+04,0.90782,,Meziani-1984is
0.34,0.155,60,1.1749,1.95E+04,1.33E+03,1.81E+04,1.07663,,Meziani-1984is
