Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,system_err,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,Ep,R,Veff,Eeff,Ep_eff,F2foc,Q2,Q2eff,qv,W2,RT,RTerr,qvbin,qvcenter,Q2bin,Q2center
26,56,0.1922,180,0.0362,6630,355.353697,Hotta:1984,1,0,6630,0.05,355.353697,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.034794017,0.156,4.433234524,0.0089,0.2011,0.1649,1.094756102,0.1199328,0.13264556,0.366,0.815641628,47.22248468,2.531023305,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.1922,180,0.0461,8760,463.2979603,Hotta:1984,1,0,8760,0.05,463.2979603,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.044694017,0.1461,4.433234524,0.0089,0.2011,0.155,1.094756102,0.11232168,0.124682,0.3561,0.842182993,62.39350916,3.299861362,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.1922,180,0.0561,10100,525.6814625,Hotta:1984,1,0,10100,0.05,525.6814625,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.054694017,0.1361,4.433234524,0.0089,0.2011,0.145,1.094756102,0.10463368,0.116638,0.3461,0.868992453,71.93772175,3.74419077,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.1922,180,0.066,11100,582.5409857,Hotta:1984,1,0,11100,0.05,582.5409857,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.064594017,0.1262,4.433234524,0.0089,0.2011,0.1351,1.094756102,0.09702256,0.10867444,0.3362,0.895533819,79.06026846,4.14917538,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.1922,180,0.0759,12400,656.5485511,Hotta:1984,1,0,12400,0.05,656.5485511,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.074494017,0.1163,4.433234524,0.0089,0.2011,0.1252,1.094756102,0.08941144,0.10071088,0.3263,0.922075184,88.31957918,4.676297722,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.1922,180,0.0859,11800,614.2808804,Hotta:1984,1,0,11800,0.05,614.2808804,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.084494017,0.1063,4.433234524,0.0089,0.2011,0.1152,1.094756102,0.08172344,0.09266688,0.3163,0.948884644,84.04605116,4.375244262,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1922,180,0.0958,11200,577.4781381,Hotta:1984,1,0,11200,0.05,577.4781381,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.094394017,0.0964,4.433234524,0.0089,0.2011,0.1053,1.094756102,0.07411232,0.08470332,0.3064,0.975426009,79.77252313,4.113115012,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1922,180,0.1058,9530,507.6191978,Hotta:1984,1,0,9530,0.05,507.6191978,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.104394017,0.0864,4.433234524,0.0089,0.2011,0.0953,1.094756102,0.06642432,0.07665932,0.2964,1.002235469,67.87787013,3.615541446,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1922,180,0.1157,7910,431.2821003,Hotta:1984,1,0,7910,0.05,431.2821003,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.114294017,0.0765,4.433234524,0.0089,0.2011,0.0854,1.094756102,0.0588132,0.06869576,0.2865,1.028776835,56.33934446,3.071826903,"[0.270,0.340]",0.3,"[0.045,0.070]",0.056
26,56,0.1922,180,0.1256,6000,355.1056181,Hotta:1984,1,0,6000,0.05,355.1056181,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.124194017,0.0666,4.433234524,0.0089,0.2011,0.0755,1.094756102,0.05120208,0.0607322,0.2766,1.0553182,42.73528025,2.529256351,"[0.270,0.340]",0.3,"[0.045,0.070]",0.056
26,56,0.1922,180,0.1356,5620,347.8304185,Hotta:1984,1,0,5620,0.05,347.8304185,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.134194017,0.0566,4.433234524,0.0089,0.2011,0.0655,1.094756102,0.04351408,0.0526882,0.2666,1.08212766,40.0287125,2.477438402,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1922,180,0.1455,4260,304.7835297,Hotta:1984,1,0,4260,0.05,304.7835297,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.144094017,0.0467,4.433234524,0.0089,0.2011,0.0556,1.094756102,0.03590296,0.04472464,0.2567,1.108669026,30.34204898,2.170834926,"[0.223,0.270]",0.24,"[0.035,0.045]",0.04
26,56,0.2065,180,0.0066,236,15.46738504,Hotta:1984,1,0,236,0.05,15.46738504,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.004977902,0.1999,4.433234524,0.0089,0.2154,0.2088,1.088056095,0.1651174,0.17990208,0.4242,0.712839346,1.940352588,0.127170257,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2065,180,0.0166,2130,112.4199715,Hotta:1984,1,0,2130,0.05,112.4199715,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.014977902,0.1899,4.433234524,0.0089,0.2154,0.1988,1.088056095,0.1568574,0.17128608,0.4142,0.740220806,17.51250429,0.924298232,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2065,180,0.0265,3350,174.5200562,Hotta:1984,1,0,3350,0.05,174.5200562,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.024877902,0.18,4.433234524,0.0089,0.2154,0.1889,1.088056095,0.14868,0.16275624,0.4043,0.767328452,27.54314055,1.434874757,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2065,180,0.0364,5100,263.1539473,Hotta:1984,1,0,5100,0.05,263.1539473,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.034777902,0.1701,4.433234524,0.0089,0.2154,0.179,1.088056095,0.1405026,0.1542264,0.3944,0.794436097,41.9313483,2.163607808,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2065,180,0.0464,6530,335.6877269,Hotta:1984,1,0,6530,0.05,335.6877269,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.044777902,0.1601,4.433234524,0.0089,0.2154,0.169,1.088056095,0.1322426,0.1456104,0.3844,0.821817557,53.68856949,2.759968431,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2065,180,0.0563,8250,421.7822305,Hotta:1984,1,0,8250,0.05,421.7822305,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.054677902,0.1502,4.433234524,0.0089,0.2154,0.1591,1.088056095,0.1240652,0.13708056,0.3745,0.848925202,67.83012225,3.467823062,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2065,180,0.0663,9360,483.8935833,Hotta:1984,1,0,9360,0.05,483.8935833,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.064677902,0.1402,4.433234524,0.0089,0.2154,0.1491,1.088056095,0.1158052,0.12846456,0.3645,0.876306662,76.95635688,3.978492232,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2065,180,0.0762,10500,530.7626588,Hotta:1984,1,0,10500,0.05,530.7626588,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.074577902,0.1303,4.433234524,0.0089,0.2154,0.1392,1.088056095,0.1076278,0.11993472,0.3546,0.903414308,86.3292465,4.363841944,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2065,180,0.0861,10700,542.1890814,Hotta:1984,1,0,10700,0.05,542.1890814,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.084477902,0.1204,4.433234524,0.0089,0.2154,0.1293,1.088056095,0.0994504,0.11140488,0.3447,0.930521953,87.9736131,4.457788082,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2065,180,0.0961,10800,552.1095906,Hotta:1984,1,0,10800,0.05,552.1095906,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.094477902,0.1104,4.433234524,0.0089,0.2154,0.1193,1.088056095,0.0911904,0.10278888,0.3347,0.957903413,88.7957964,4.539352851,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.2065,180,0.106,10000,512.6099882,Hotta:1984,1,0,10000,0.05,512.6099882,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.104377902,0.1005,4.433234524,0.0089,0.2154,0.1094,1.088056095,0.083013,0.09425904,0.3248,0.985011059,82.21833,4.214593717,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2065,180,0.116,8500,436.6062299,Hotta:1984,1,0,8500,0.05,436.6062299,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.114377902,0.0905,4.433234524,0.0089,0.2154,0.0994,1.088056095,0.074753,0.08564304,0.3148,1.012392519,69.8855805,3.589703509,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2065,180,0.1259,7190,399.3948547,Hotta:1984,1,0,7190,0.05,399.3948547,3.141592654,1,3.75E-33,2.67E+32,0.001622098,0.124277902,0.0806,4.433234524,0.0089,0.2154,0.0895,1.088056095,0.0665756,0.0771132,0.3049,1.039500164,59.11497927,3.283757797,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2211,180,0.0068,160,13.60147051,Hotta:1984,1,0,160,0.05,13.60147051,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.004941454,0.2143,4.433234524,0.0089,0.23,0.2232,1.082126885,0.18952692,0.205344,0.4532,0.687772735,1.508085649,0.12820114,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0167,1460,78.18567644,Hotta:1984,1,0,1460,0.05,78.18567644,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.014841454,0.2044,4.433234524,0.0089,0.23,0.2133,1.082126885,0.18077136,0.196236,0.4433,0.715458541,13.76128154,0.736941853,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0267,2650,137.5690736,Hotta:1984,1,0,2650,0.05,137.5690736,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.024841454,0.1944,4.433234524,0.0089,0.23,0.2033,1.082126885,0.17192736,0.187036,0.4333,0.743424001,24.97766855,1.29666216,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0366,3870,199.1262163,Hotta:1984,1,0,3870,0.05,199.1262163,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.034741454,0.1845,4.433234524,0.0089,0.23,0.1934,1.082126885,0.1631718,0.177928,0.4234,0.771109806,36.47682162,1.876871181,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0465,5110,262.0004771,Hotta:1984,1,0,5110,0.05,262.0004771,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.044641454,0.1746,4.433234524,0.0089,0.23,0.1835,1.082126885,0.15441624,0.16882,0.4135,0.798795612,48.1644854,2.469494746,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0565,6460,326.11961,Hotta:1984,1,0,6460,0.05,326.11961,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.054641454,0.1646,4.433234524,0.0089,0.23,0.1735,1.082126885,0.14557224,0.15962,0.4035,0.826761072,60.88895806,3.073851897,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0664,7570,384.9184979,Hotta:1984,1,0,7570,0.05,384.9184979,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.064541454,0.1547,4.433234524,0.0089,0.23,0.1636,1.082126885,0.13681668,0.150512,0.3936,0.854446877,71.35130225,3.628062891,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.2211,180,0.0764,8490,431.6065917,Hotta:1984,1,0,8490,0.05,431.6065917,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.074541454,0.1447,4.433234524,0.0089,0.23,0.1536,1.082126885,0.12797268,0.141312,0.3836,0.882412337,80.02279473,4.068123167,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2211,180,0.0863,9020,460.4888707,Hotta:1984,1,0,9020,0.05,460.4888707,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.084441454,0.1348,4.433234524,0.0089,0.23,0.1437,1.082126885,0.11921712,0.132204,0.3737,0.910098142,85.01832844,4.340354107,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2211,180,0.0963,9000,458.7166882,Hotta:1984,1,0,9000,0.05,458.7166882,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.094441454,0.1248,4.433234524,0.0089,0.23,0.1337,1.082126885,0.11037312,0.123004,0.3637,0.938063602,84.82981773,4.323650339,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2211,180,0.1062,8810,450.6276179,Hotta:1984,1,0,8810,0.05,450.6276179,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.104341454,0.1149,4.433234524,0.0089,0.23,0.1238,1.082126885,0.10161756,0.113896,0.3538,0.965749408,83.03896602,4.247406521,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2211,180,0.1161,8150,414.1645205,Hotta:1984,1,0,8150,0.05,414.1645205,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.114241454,0.105,4.433234524,0.0089,0.23,0.1139,1.082126885,0.092862,0.104788,0.3439,0.993435213,76.81811272,3.903722309,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.2211,180,0.1261,6940,353.9901129,Hotta:1984,1,0,6940,0.05,353.9901129,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.124241454,0.095,4.433234524,0.0089,0.23,0.1039,1.082126885,0.084018,0.095588,0.3339,1.021400673,65.41321501,3.336546306,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2211,180,0.136,6080,315.6596268,Hotta:1984,1,0,6080,0.05,315.6596268,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.134141454,0.0851,4.433234524,0.0089,0.23,0.094,1.082126885,0.07526244,0.08648,0.324,1.049086479,57.30725465,2.975260956,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2211,180,0.1459,5060,289.6377047,Hotta:1984,1,0,5060,0.05,289.6377047,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.144041454,0.0752,4.433234524,0.0089,0.23,0.0841,1.082126885,0.06650688,0.077372,0.3141,1.076772284,47.69320864,2.729990411,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.2211,180,0.1559,4430,260.4443319,Hotta:1984,1,0,4430,0.05,260.4443319,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.154041454,0.0652,4.433234524,0.0089,0.23,0.0741,1.082126885,0.05766288,0.068172,0.3041,1.104737744,41.7551214,2.454827245,"[0.270,0.340]",0.3,"[0.045,0.070]",0.056
26,56,0.2211,180,0.1658,4060,249.4674327,Hotta:1984,1,0,4060,0.05,249.4674327,3.141592654,1,3.75E-33,2.67E+32,0.001858546,0.163941454,0.0553,4.433234524,0.0089,0.23,0.0642,1.082126885,0.04890732,0.059064,0.2942,1.132423549,38.26767333,2.351364094,"[0.270,0.340]",0.3,"[0.045,0.070]",0.056
26,56,0.2356,180,0.0071,105,10.41933299,Hotta:1984,1,0,105,0.05,10.41933299,3.141592654,1,3.75E-33,2.67E+32,0.002109148,0.004990852,0.2285,4.433234524,0.0089,0.2445,0.2374,1.076978801,0.2153384,0.2321772,0.4819,0.661502499,1.123746651,0.111511339,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265
26,56,0.2356,180,0.017,935,53.98668817,Hotta:1984,1,0,935,0.05,53.98668817,3.141592654,1,3.75E-33,2.67E+32,0.002109148,0.014890852,0.2186,4.433234524,0.0089,0.2445,0.2275,1.076978801,0.20600864,0.222495,0.472,0.689762505,10.00669637,0.577784381,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265
26,56,0.2356,180,0.0269,1860,99.02019996,Hotta:1984,1,0,1860,0.05,99.02019996,3.141592654,1,3.75E-33,2.67E+32,0.002109148,0.024790852,0.2087,4.433234524,0.0089,0.2445,0.2176,1.076978801,0.19667888,0.2128128,0.4621,0.71802251,19.90636925,1.059748744,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265
26,56,0.2356,180,0.0368,2910,152.2998687,Hotta:1984,1,0,2910,0.05,152.2998687,3.141592654,1,3.75E-33,2.67E+32,0.002109148,0.034690852,0.1988,4.433234524,0.0089,0.2445,0.2077,1.076978801,0.18734912,0.2031306,0.4522,0.746282515,31.14383576,1.629966356,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16
