Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet,normalization,normError,system_err,error,normCross,normCrossError,Veff,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,W2original,Ffoc2,Ep,E0original,R,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),RT_QD_data,qvbin,qvcenter,Q2bin,Q2center,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2
26,56,0.3017,180.0,0.2265,410.42,12.32883,0.68466449,Hotta:1984,1.0,0.0,0.0,8.208400000000001,410.42,8.208400000000001,0.0089,3.141592653589793,1.0,3.749399456654644e-33,2.6670937881135714e+32,0.22324945834315338,1.227743331529,1.061716277173102,0.0752,0.2928,4.433234524286382,0.09075136000000002,0.14205361000000002,0.3769,1.214642531529,1.1976573487807525e-33,0.00018087741769887567,2269050.527265191,45381.01054530382,5.822241685114373e-37,5040.11702044953,2068564.8275328963,41371.29655065793,5.312470722047708,0.10624941444095418,6.271995330069165e-13,"[0.340,0.428]",0.38,"[0.070,0.100]",0.093,0.0,0.0,0.0,0.0,34.0,1.2160874112247415,0.22812633608723465,1.1990596960887764e-33,0.0,0.0,0.0,0.0,17.0,1.2137745075844508,0.22723572193564706,1.2054190267205996e-33,0.002508112,1.927456e-12,0.004476438,0.0111792300006272,1.0,0.004454821,0.011236260000433361,0.004464364,0.0110642000006272,1.0143633297803796,0.009900021,3.568453e-12,0.004493873,0.011176150000627199,1.0,0.004522252,0.01112740000051307,0.004464364,0.0110642000006272,0.9992363488864214
26,56,0.3083,160.0,0.0525,502.85,1.81865,0.092723476,Altemus:1973,1.0,0.0,0.0,10.057,502.85,10.057,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.049203446839079075,0.6921035148154621,1.0603358799540745,0.2558,0.2994,4.433234524286382,0.305940501420012,0.308696751420012,0.5556048518686748,0.672934386108988,0.015173032694816293,-0.0001125280919137993,-4468661.92652766,-89373.23853055321,4.761038507865653e-06,3244.5978019772374,1631546.004724254,32630.920094485078,4.190122671721619,0.08380245343443239,2.819791054253512e-05,"[0.523,0.609]",0.57,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,0.0,0.6691243595083146,0.05873470283298943,0.015147562268383707,0.0,0.0,0.0,0.0,0.0,0.6837945632049556,0.03647037731873109,0.01523235174014972,4.270174e-06,2.643746e-13,0.0009945075,0.003485349910542535,1.0,0.0006578504,0.0023952636916812612,0.0007006667,0.0022773579105425353,1.0525030094821788,2.443999e-05,6.408553e-13,0.0009752387,0.0034378809105425354,1.0,0.0005929821,0.0017832724242334336,0.0007006667,0.0022773579105425353,0.7805868232384965
26,56,0.3083,160.0,0.0678,913.95,1.85141,0.076151868,Altemus:1973,1.0,0.0,0.0,18.279,913.95,18.279,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.06450344683907908,0.7385854341177591,1.0603358799540745,0.2405,0.2994,4.433234524286382,0.2876414800293702,0.29223832002937017,0.5405907139688677,0.7199445612996299,0.015070478897074857,-8.701561496795013e-05,-10503287.258690627,-210065.74517381252,4.761038507865653e-06,3267.3574939632153,2986201.381607681,59724.027632153615,7.669137171228894,0.15338274342457786,5.1198709401787476e-05,"[0.523,0.609]",0.57,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,2.0,0.7194818538192158,0.08367702510847652,0.014982687003800595,0.0,0.0,0.0,0.0,1.0,0.7122723205174588,0.051646001743873474,0.015157406913134813,4.270174e-06,2.643746e-13,0.002000127,0.006962406709401788,1.0,0.001459964,0.005700568174642144,0.00151083,0.005167956709401788,1.1083422284802376,2.443999e-05,6.408553e-13,0.001960434,0.006862372709401788,1.0,0.001481928,0.003826271054495947,0.00151083,0.005167956709401788,0.7382261579074036
26,56,0.3083,160.0,0.0831,2243.9,1.21414,0.040187174,Altemus:1973,1.0,0.0,0.0,44.878,2243.9,44.878,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.07980344683907907,0.7850673534200561,1.0603358799540745,0.22519999999999998,0.2994,4.433234524286382,0.2693424586387283,0.2762480686387283,0.5255930637277554,0.7669547364902718,0.0149306908976685,-6.150612540839945e-05,-36482545.19530451,-729650.9039060902,4.761038507865653e-06,3298.884200027047,7402366.256440691,148047.32512881383,19.010694510413977,0.38021389020827956,7.946065044040164e-05,"[0.523,0.609]",0.57,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,5.0,0.7796219980790163,0.11268941516003628,0.014718133837552013,0.0,0.0,0.0,0.0,4.0,0.7601672791201578,0.07716893515595023,0.014976243211326911,4.270174e-06,2.643746e-13,0.003689545,0.011802250650440401,1.0,0.003072052,0.011126942015367713,0.002996396,0.0097305336504404,1.158943064612329,2.443999e-05,6.408553e-13,0.003620387,0.011647220650440401,1.0,0.002765421,0.008858923469101219,0.002996397,0.0097305336504404,0.9077750735322854
26,56,0.3083,160.0,0.0985,3509.4,1.07873,0.034376247,Altemus:1973,1.0,0.0,0.0,70.188,3509.4,70.188,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.09520344683907908,0.8318530761164857,1.0603358799540745,0.2098,0.2994,4.433234524286382,0.2509238358010888,0.2606260858010888,0.5105155098536075,0.8142721677279112,0.014746185993650773,-3.5835623905843044e-05,-97930484.18023463,-1958609.6836046926,4.761038507865653e-06,3341.411329680301,11726348.920380048,234526.97840760098,30.115510274015847,0.602310205480317,0.00011129465319609108,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,5.0,0.814061550029,0.08137720964495465,0.014865024629216732,0.0,0.0,0.0,0.0,8.0,0.8127890869623583,0.10521077790438299,0.014702883159815723,0.0001644536,9.615256e-13,0.005786461,0.017089584653196092,1.0,0.005777179,0.015310667882287536,0.005116214,0.01529587465319609,0.9942134908719652,2.443999e-05,6.408553e-13,0.005689314,0.016896044653196093,1.0,0.004781642,0.014960603338487024,0.005116214,0.01529587465319609,0.9805423344291734
26,56,0.3083,160.0,0.1036,3915.5,1.06949,0.028849445,Altemus:1973,1.0,0.0,0.0,78.31,3915.5,78.31,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.10030344683907907,0.8473470492172513,1.0603358799540745,0.2047,0.2994,4.433234524286382,0.2448241620042082,0.2555571220042082,0.5055265789295438,0.8299422261247917,0.014674175201321471,-2.7336170378243798e-05,-143235133.0059112,-2864702.6601182236,4.761038507865653e-06,3358.2995386625807,13149421.843633335,262988.4368726667,33.770234138357345,0.6754046827671469,0.00012036768767440438,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,6.0,0.8309626626869264,0.08963150076207282,0.01477062909921421,0.0,0.0,0.0,0.0,9.0,0.8259551225345116,0.1122268785340256,0.014623262835994836,0.0001644536,9.615256e-13,0.006505311,0.018690437687674404,1.0,0.006685431,0.017575143523552026,0.005877612,0.017102217687674403,1.0220296817340766,2.443999e-05,6.408553e-13,0.006402667,0.018512647687674404,1.0,0.005237249,0.016267245115334228,0.005877612,0.017102217687674403,0.9539012850803277
26,56,0.3083,160.0,0.1158,4725.4,0.99325,0.027718288,Altemus:1973,1.0,0.0,0.0,94.508,4725.4,94.508,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.11250344683907908,0.8844110633014359,1.0603358799540745,0.19249999999999998,0.2994,4.433234524286382,0.23023278547049375,0.24364242547049375,0.4936014844694997,0.8674274638585062,0.014477328188827415,-7.009009060972681e-06,-674189455.1559087,-13483789.103118176,4.761038507865653e-06,3405.3222681400366,16091509.845868928,321830.1969173786,41.32607970119884,0.8265215940239768,0.00010921706671216481,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,8.0,0.8615459273548869,0.10440189053630078,0.014578917691078696,0.0,0.0,0.0,0.0,12.0,0.8727879258007594,0.13718379579917536,0.014307144416121853,0.0001644536,9.615256e-13,0.008144055,0.021737557066712165,1.0,0.008135741,0.02091422974033476,0.007679501,0.020824067066712165,0.997923928809223,2.443999e-05,6.408553e-13,0.008033768,0.021596587066712164,1.0,0.00650967,0.019619826591153525,0.007679501,0.020824067066712165,0.9523853485728436
26,56,0.3083,160.0,0.1294,5281.4,0.99443,0.030683152,Altemus:1973,1.0,0.0,0.0,105.628,5281.4,105.628,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.12610344683907906,0.9257283249034777,1.0603358799540745,0.1789,0.2994,4.433234524286382,0.21396698867881214,0.23071134867881213,0.48032421204725056,0.9092142862501879,0.014212441680502577,1.5640486852727203e-05,337674910.61693466,6753498.212338693,4.761038507865653e-06,3470.6543884670846,18329914.087250058,366598.2817450012,47.07473057168047,0.9414946114336096,2.614281346828205e-05,"[0.428,0.523]",0.475,"[0.206,0.322]",0.265,0.0,0.0,0.0,0.0,11.0,0.9040499315289999,0.1245886709285361,0.014269542850407367,0.0,0.0,0.0,0.0,14.0,0.9087864396314163,0.15636718583099812,0.01403270292789953,0.0001644536,9.615256e-13,0.009561313,0.023114392813468283,1.0,0.009515186,0.023205851430184745,0.009370488,0.02308381281346828,1.0013999200429942,2.443999e-05,6.408553e-13,0.009463414,0.023064132813468283,1.0,0.007023651,0.020638216634503364,0.009370488,0.02308381281346828,0.903919099916195
26,56,0.3083,160.0,0.1448,5441.9,1.06009,0.030783366,Altemus:1973,1.0,0.0,0.0,108.838,5441.9,108.838,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.1415034468390791,0.9725140475999076,1.0603358799540745,0.16349999999999998,0.2994,4.433234524286382,0.1955483658411726,0.2165154058411726,0.4653121595672873,0.9565317174878275,0.013845790842034036,4.127022761613888e-05,131860188.6719889,2637203.7734397785,4.761038507865653e-06,3565.2114894780834,19401524.40459078,388030.4880918156,49.82683113944782,0.9965366227889563,1.7916693893654851e-06,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16,0.0,0.0,0.0,0.0,14.0,0.950172648712577,0.1460690349283601,0.01388016590878854,0.0,0.0,0.0,0.0,11.0,0.9568400722812964,0.12602081150810926,0.013944702986556916,0.0001644536,9.615256e-13,0.01019456,0.021672501669389364,1.0,0.009906898,0.022503520324083832,0.01033715,0.022437951669389365,0.9999519488474231,0.001554724,1.633242e-12,0.01013675,0.021747831669389366,1.0,0.01274287,0.02312405103470741,0.01033715,0.022437951669389365,1.0256523153893238
26,56,0.3083,160.0,0.1601,5221.7,0.98778,0.033106077,Altemus:1973,1.0,0.0,0.0,104.434,5221.7,104.434,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.15680344683907907,1.0189959669022044,1.0603358799540745,0.1482,0.2994,4.433234524286382,0.1772493444505308,0.2028813544505308,0.45042352786075773,1.0035418926784694,0.013399584825853005,6.67091349056363e-05,78275636.5734075,1565512.73146815,4.761038507865653e-06,3687.267488566626,19253804.64504835,385076.092900967,49.44745850041235,0.988949170008247,1.0665904528387864e-07,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16,0.0,0.0,0.0,0.0,17.0,0.9976733865290001,0.16775520331535854,0.013423971572699086,0.0,0.0,0.0,0.0,13.0,0.9973783807528824,0.1476234306134155,0.013497377286976345,0.0001644536,9.615256e-13,0.009709392,0.017851906659045284,1.0,0.009227301,0.019292696718780367,0.01002968,0.018808196659045283,1.022611041886327,0.001554724,1.633242e-12,0.009695339,0.017999096659045283,1.0,0.01121013,0.01921190820180636,0.01002968,0.018808196659045283,1.0153430959502603
26,56,0.3083,160.0,0.1755,4786.1,0.96578,0.033348655,Altemus:1973,1.0,0.0,0.0,95.72200000000001,4786.1,95.72200000000001,0.0089,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.17220344683907907,1.065781689598634,1.0603358799540745,0.1328,0.2994,4.433234524286382,0.1588307216128913,0.1896309716128913,0.43546638402165017,1.0508593239161088,0.012853295296159773,9.228199931257795e-05,51863852.49184409,1037277.0498368818,4.761038507865653e-06,3848.2414543067875,18418068.424457718,368361.3684891543,47.30112779607675,0.946022555921535,6.250900404727338e-09,"[0.428,0.523]",0.475,"[0.145,0.206]",0.16,0.0,0.0,0.0,0.0,20.0,1.047154591529,0.18990233722777317,0.012892475247665718,0.0,0.0,0.0,0.0,16.0,1.0553313998048621,0.17850624353245917,0.012797908977636293,0.0001644536,9.615256e-13,0.008533691,0.013633286250900404,1.0,0.007913342,0.015228910213618373,0.008844568,0.014277646250900404,1.0611587620385357,0.001554724,1.633242e-12,0.008546081,0.013768546250900404,1.0,0.008631154,0.014013183300501759,0.008844568,0.014277636250900404,0.9855949390695541
