q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
20,0.0628013,0.0183995,0.0622525,0.0246524,,20,0.0717246,0.0247193,0.0709673,0.031615,,20,0.0683541,0.0254549,0.0675757,0.0323179,,20,0.0621755,0.0257616,0.061316,0.0325354,,20,0.0551558,0.0254567,0.0542606,0.0319759,,20,0.0349716,0.0211225,0.0342584,0.0261734,,20,0.0124186,0.0112316,0.012088,0.0137309,,20,0.00135343,0.00209741,0.00130953,0.00249029,,20,6.35E-06,1.69E-05,6.07E-06,1.93E-05,,20,0,0,-7.11E-10,0
21,0.0650359,0.0190724,0.0645272,0.0255169,,21,0.0766435,0.0258464,0.0758986,0.0330224,,21,0.0724469,0.0266402,0.0716779,0.0337866,,21,0.0645676,0.0271566,0.0636962,0.0343071,,21,0.0579466,0.0275085,0.056985,0.0346312,,21,0.0389846,0.023948,0.0381581,0.029757,,21,0.0142025,0.0124529,0.0138391,0.0152592,,21,0.00168944,0.00246445,0.00163939,0.00293766,,21,1.20E-05,3.14E-05,1.15E-05,3.59E-05,,21,0,0,-7.11E-10,0
22,0.0688132,0.0192568,0.0683596,0.025711,,22,0.0855446,0.0264745,0.084812,0.0338263,,22,0.0810158,0.0274478,0.0802527,0.0348083,,22,0.0704875,0.0283528,0.0696157,0.035824,,22,0.0623916,0.029291,0.0614012,0.0369214,,22,0.0424064,0.0262891,0.0415169,0.0327299,,22,0.0154866,0.0135342,0.0151048,0.0166134,,22,0.002012,0.00287088,0.00195677,0.00343472,,22,2.03E-05,5.17E-05,1.94E-05,5.93E-05,,22,0,0,-7.11E-10,0
23,0.0726407,0.0189036,0.0722628,0.0251673,,23,0.0957851,0.0265351,0.0950786,0.0339342,,23,0.0912107,0.0277526,0.090464,0.0352224,,23,0.0775113,0.02906,0.0766599,0.0367244,,23,0.0668059,0.0303822,0.0658294,0.03832,,23,0.0447338,0.0277549,0.0438347,0.0346042,,23,0.0162598,0.0143254,0.0158739,0.0176071,,23,0.00230097,0.00328926,0.00224162,0.00394769,,23,3.10E-05,7.76E-05,2.98E-05,8.90E-05,,23,0,0,-7.11E-10,0
24,0.0761423,0.018146,0.075856,0.0240674,,24,0.106526,0.0262163,0.10586,0.0335881,,24,0.102179,0.0277413,0.101462,0.0352731,,24,0.0847846,0.0293866,0.0839756,0.0371586,,24,0.0705828,0.0308284,0.0696586,0.0388957,,24,0.045849,0.0283362,0.044987,0.0353705,,24,0.0165969,0.0148289,0.0162202,0.0182482,,24,0.00254476,0.003691,0.00248248,0.00444212,,24,4.40E-05,0.000108009,4.23E-05,0.000123965,,24,0,0,-7.11E-10,0
25,0.0790645,0.0171662,0.0788768,0.0226587,,25,0.11687,0.0256913,0.116258,0.0329966,,25,0.112958,0.0275576,0.112281,0.0351331,,25,0.0918318,0.0295138,0.0910813,0.0373628,,25,0.0736279,0.03086,0.0727827,0.0389514,,25,0.0459981,0.0282901,0.0452068,0.0353529,,25,0.0166076,0.0151642,0.0162516,0.0186902,,25,0.00274092,0.00406896,0.00267694,0.00490982,,25,5.85E-05,0.000141681,5.63E-05,0.000162877,,25,0,0,-7.11E-10,0
26,0.0812581,0.0161469,0.0811651,0.0211916,,26,0.126326,0.0251534,0.125771,0.0323924,,26,0.123112,0.0273846,0.12248,0.0350211,,26,0.0985735,0.0296497,0.0978859,0.0376001,,26,0.0762174,0.0307855,0.0754617,0.0388873,,26,0.0455951,0.027959,0.0448913,0.034984,,26,0.0164126,0.015437,0.016085,0.0190656,,26,0.00289384,0.00442937,0.0028293,0.00535867,,26,7.35E-05,0.000177412,7.09E-05,0.000204392,,26,0,0,-7.11E-10,0
27,0.0825869,0.0152275,0.0825763,0.0198605,,27,0.134418,0.0247407,0.133914,0.0319397,,27,0.132196,0.0273442,0.131603,0.0350768,,27,0.104963,0.0299426,0.104331,0.038051,,27,0.0786637,0.0308438,0.0779929,0.0390079,,27,0.0450523,0.027642,0.0444371,0.0346412,,27,0.0161375,0.0157124,0.0158413,0.0194511,,27,0.00301148,0.00477875,0.00294733,0.00579658,,27,8.83E-05,0.00021433,8.53E-05,0.000247606,,27,0,0,-7.11E-10,0
28,0.0829235,0.0144807,0.0829784,0.0187715,,28,0.140698,0.024522,0.140234,0.0317196,,28,0.139742,0.0274881,0.139177,0.0353548,,28,0.110797,0.0304418,0.110206,0.0387679,,28,0.0810943,0.0311456,0.080493,0.039449,,28,0.0446684,0.0275314,0.0441307,0.0345642,,28,0.0158884,0.0160212,0.0156218,0.0198796,,28,0.00310487,0.00512446,0.00304167,0.00623194,,28,0.000101832,0.000251989,9.86E-05,0.000292101,,28,6.76E-13,7.40E-12,-7.11E-10,8.14E-12
29,0.0821856,0.0139195,0.082288,0.0179484,,29,0.144822,0.0244971,0.144386,0.0317304,,29,0.14536,0.0278028,0.14481,0.0358318,,29,0.115811,0.0311137,0.115243,0.0396973,,29,0.083483,0.0316751,0.0829303,0.040181,,29,0.0445979,0.0276917,0.0441185,0.0348288,,29,0.015747,0.0163832,0.0155043,0.0203712,,29,0.00318685,0.00547066,0.00312467,0.00666911,,29,0.000113633,0.000290462,0.000110245,0.000338024,,29,1.49E-10,1.41E-09,-5.70E-10,1.55E-09
