q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
50,0.0194341,0.00563464,0.0197103,0.00672151,,50,0.0639931,0.0165098,0.0641772,0.020683,,50,0.0841711,0.0229184,0.0841869,0.0289678,,50,0.107833,0.0357489,0.10744,0.0454607,,50,0.101009,0.0425941,0.100398,0.0541351,,50,0.066411,0.0434943,0.0657496,0.0551152,,50,0.0287473,0.0312224,0.0283303,0.0392713,,50,0.00748685,0.0136487,0.00734824,0.0168531,,50,0.00068536,0.00206807,0.000672316,0.00247477,,50,2.72E-05,0.000116023,2.71E-05,0.000126134
51,0.0180366,0.00525537,0.0183128,0.00622668,,51,0.0606619,0.0157059,0.0608785,0.0196075,,51,0.0807166,0.022026,0.0807757,0.0277712,,51,0.105825,0.0350802,0.105475,0.0445579,,51,0.100833,0.0424265,0.100248,0.0538888,,51,0.0669952,0.0437972,0.0663465,0.0554817,,51,0.0293912,0.0318873,0.0289711,0.0401054,,51,0.00774675,0.0140998,0.00760409,0.0174097,,51,0.000735498,0.00220839,0.00072161,0.00264212,,51,3.14E-05,0.000132553,3.13E-05,0.000144301
53,0.0156294,0.00459217,0.0158994,0.00536557,,53,0.0545369,0.0142298,0.0548041,0.0176331,,53,0.074166,0.0203451,0.074297,0.0255138,,53,0.101666,0.0337234,0.101395,0.0427201,,53,0.100203,0.0420181,0.0996668,0.0532927,,53,0.0680015,0.0443134,0.0673776,0.0560926,,53,0.03064,0.0331702,0.0302144,0.0417082,,53,0.00826611,0.015002,0.00811559,0.0185215,,53,0.000843701,0.00250817,0.000827975,0.0029997,,53,4.10E-05,0.000170034,4.08E-05,0.000185642
55,0.0136814,0.00404585,0.0139383,0.00466042,,55,0.0490665,0.0129286,0.0493657,0.0158921,,55,0.0680488,0.0188139,0.068233,0.0234517,,55,0.0972979,0.032374,0.0970947,0.0408815,,55,0.0991751,0.0415431,0.0986834,0.0525957,,55,0.068831,0.0447542,0.0682288,0.0565949,,55,0.0318446,0.0343966,0.031413,0.0432298,,55,0.00878365,0.0159009,0.00862541,0.019627,,55,0.000962722,0.00283168,0.000944923,0.00338533,,55,5.23E-05,0.000213482,5.21E-05,0.000233744
57,0.0121105,0.00359705,0.0123495,0.0040849,,57,0.0441531,0.011781,0.0444688,0.0143571,,57,0.0623008,0.0174175,0.0625219,0.0215675,,57,0.0926757,0.0310335,0.0925295,0.0390455,,57,0.0976586,0.0409922,0.0972073,0.0517852,,57,0.0695315,0.0451512,0.0689462,0.0570275,,57,0.0330036,0.0355721,0.0325654,0.0446764,,57,0.00929684,0.0167891,0.00913093,0.0207167,,57,0.00108988,0.0031732,0.00106984,0.00379215,,57,6.51E-05,0.000262109,6.48E-05,0.000287707
59,0.0108069,0.00321852,0.0110259,0.0036035,,59,0.0396721,0.0107535,0.0399934,0.0129869,,59,0.0568639,0.0161297,0.0571097,0.0198313,,59,0.0878278,0.0296913,0.0877303,0.037204,,59,0.0956638,0.0403452,0.0952496,0.0508396,,59,0.0701236,0.0455049,0.0695509,0.0573926,,59,0.0341257,0.0367031,0.0336801,0.0460572,,59,0.00980943,0.0176646,0.00963583,0.0217887,,59,0.00122298,0.00353062,0.00120062,0.00421805,,59,7.93E-05,0.000315307,7.88E-05,0.000346913
61,0.00979611,0.00291591,0.00999346,0.00322131,,61,0.035697,0.00984652,0.0360154,0.0117816,,61,0.0518467,0.0149467,0.0521077,0.0182404,,61,0.0829048,0.0283435,0.0828503,0.0353576,,61,0.0933176,0.0395953,0.092939,0.0497564,,61,0.0706361,0.0457994,0.0700729,0.0576735,,61,0.0352361,0.0377949,0.0347825,0.0473812,,61,0.0103293,0.0185327,0.0101479,0.0228497,,61,0.0013645,0.00390878,0.00133969,0.00466917,,61,9.48E-05,0.000374011,9.43E-05,0.000412552
63,0.00902815,0.00267637,0.0092033,0.00292079,,63,0.0322633,0.00905605,0.0325716,0.0107349,,63,0.0473709,0.0138803,0.0476386,0.0168095,,63,0.0781988,0.0270306,0.0781815,0.0335598,,63,0.0908747,0.0387799,0.0905307,0.0485852,,63,0.0711358,0.0460602,0.0705812,0.057904,,63,0.0363467,0.0388631,0.0358847,0.0486682,,63,0.0108608,0.0193998,0.0106716,0.0239074,,63,0.00151798,0.00431197,0.00149044,0.00515034,,63,0.000112383,0.000439979,0.000111707,0.000486692
65,0.00841476,0.00246375,0.00856991,0.00265641,,65,0.029192,0.00831182,0.0294891,0.00975739,,65,0.0432522,0.0128512,0.043524,0.0154388,,65,0.0735598,0.0256735,0.0735785,0.0317139,,65,0.088206,0.0378296,0.0878995,0.0472407,,65,0.0715753,0.0462473,0.0710303,0.0580338,,65,0.037439,0.0398912,0.036969,0.0498977,,65,0.0114018,0.0202687,0.0112046,0.0249648,,65,0.00168238,0.00473735,0.00165188,0.00565784,,65,0.000132061,0.00051357,0.000131191,0.00056971
67,0.00796376,0.00229902,0.00809936,0.00245424,,67,0.0265536,0.00767795,0.0268347,0.00892901,,67,0.0395872,0.0119392,0.0398566,0.0142291,,67,0.0691357,0.02438,0.0691834,0.029958,,67,0.0854288,0.0368245,0.0851578,0.045827,,67,0.0719629,0.0463801,0.0714271,0.0580874,,67,0.0384959,0.040867,0.0380188,0.0510543,,67,0.011945,0.0211358,0.01174,0.0260174,,67,0.00185456,0.0051798,0.00182096,0.00618546,,67,0.000153678,0.000593983,0.000152569,0.000660663
69,0.00761155,0.00215534,0.0077296,0.00227979,,69,0.0242344,0.00709432,0.024499,0.00817278,,69,0.0362656,0.0110786,0.0365302,0.0130969,,69,0.0648549,0.0230856,0.0649289,0.0282132,,69,0.0825083,0.0357324,0.0822735,0.0443074,,69,0.0722637,0.0464448,0.0717376,0.0580504,,69,0.039524,0.041796,0.0390402,0.0521465,,69,0.0124889,0.0219985,0.012276,0.0270629,,69,0.00203402,0.00563923,0.0019972,0.00673349,,69,0.0001772,0.000681247,0.000175823,0.000759686
71,0.00733733,0.00203097,0.00743973,0.00213034,,71,0.0222062,0.00656071,0.0224541,0.00748697,,71,0.0332725,0.010271,0.0335305,0.0120429,,71,0.0607635,0.0218013,0.0608616,0.0264944,,71,0.079495,0.0345544,0.0792972,0.0426861,,71,0.0724538,0.046409,0.0719398,0.0578841,,71,0.0405086,0.0426569,0.0400195,0.0531495,,71,0.0130399,0.0228593,0.0128191,0.0281047,,71,0.00222355,0.00611991,0.00218333,0.00730719,,71,0.000203083,0.000776927,0.000201406,0.000868717
73,0.00712021,0.00192365,0.00720871,0.00200274,,73,0.020438,0.00607845,0.0206694,0.0068716,,73,0.0305937,0.00952294,0.0308439,0.0110738,,73,0.0568942,0.0205474,0.0570139,0.0248276,,73,0.07646,0.0333214,0.0762987,0.0410032,,73,0.0725573,0.0462899,0.0720574,0.0576108,,73,0.0414431,0.0434367,0.0409501,0.0540485,,73,0.0136034,0.0237229,0.0133746,0.0291482,,73,0.00242535,0.00662406,0.00238147,0.00790893,,73,0.000232052,0.000882712,0.000230012,0.000989696
75,0.00694309,0.00183028,0.00701925,0.00189303,,75,0.0189005,0.00564548,0.0191154,0.00632278,,75,0.0281978,0.00883432,0.0284389,0.0101879,,75,0.0532343,0.0193312,0.0533727,0.0232214,,75,0.0733989,0.0320505,0.0732729,0.0392812,,75,0.0725281,0.0460878,0.0720442,0.0572308,,75,0.0423203,0.0441359,0.0418246,0.0548444,,75,0.0141732,0.024584,0.0139365,0.0301861,,75,0.0026373,0.00714726,0.00258956,0.0085332,,75,0.00026442,0.000999088,0.000261932,0.0011231
77,0.00679448,0.00174807,0.00685974,0.00179767,,77,0.0175659,0.00525876,0.0177646,0.00583554,,77,0.0260514,0.00820195,0.0262823,0.00937988,,77,0.0497695,0.0181558,0.0499231,0.0216791,,77,0.0702945,0.0307501,0.0702021,0.0375309,,77,0.0723096,0.0457825,0.0718438,0.0567187,,77,0.043135,0.0447624,0.0426375,0.055546,,77,0.0147465,0.025439,0.014502,0.0312142,,77,0.00285616,0.00768435,0.00280442,0.00917385,,77,0.000299766,0.00112533,0.00029676,0.00126809
79,0.00666478,0.0016748,0.00672046,0.0017139,,79,0.016409,0.00491587,0.0165919,0.00540567,,79,0.0241264,0.00762394,0.024346,0.00864601,,79,0.046499,0.0170281,0.0466645,0.0202087,,79,0.0671608,0.0294316,0.0670999,0.0357677,,79,0.071906,0.0453768,0.0714597,0.0560795,,79,0.0438713,0.0453084,0.0433731,0.0561442,,79,0.0153259,0.0262913,0.0150736,0.0322369,,79,0.00308147,0.00823525,0.00302563,0.00983103,,79,0.000337677,0.0012611,0.000334106,0.0014244
81,0.0065431,0.00160853,0.00659035,0.00163927,,81,0.0154093,0.00461506,0.0155769,0.00502988,,81,0.022402,0.00710012,0.0226097,0.00798459,,81,0.0434242,0.0159554,0.0435984,0.0188182,,81,0.0640411,0.0281088,0.0640092,0.0340099,,81,0.0713658,0.0448882,0.0709396,0.0553371,,81,0.0445316,0.0457667,0.0440338,0.0566309,,81,0.0159132,0.0271412,0.0156531,0.0332551,,81,0.00331609,0.00880309,0.00325598,0.0105086,,81,0.000378901,0.00140825,0.000374701,0.00159431
83,0.00641714,0.00154715,0.00645699,0.00157123,,83,0.0145499,0.00435416,0.0147027,0.00470459,,83,0.0208625,0.00662971,0.0210577,0.00739328,,83,0.0405419,0.0149419,0.040722,0.0175115,,83,0.0609717,0.0267963,0.0609661,0.0322756,,83,0.0707045,0.0443235,0.0702987,0.0545003,,83,0.0451426,0.0461559,0.0446459,0.0570294,,83,0.0165123,0.0279904,0.0162444,0.0342702,,83,0.00356134,0.00938752,0.00349672,0.0112059,,83,0.000424553,0.00156897,0.00041962,0.0017804
85,0.00628183,0.00148924,0.00631521,0.00150803,,85,0.0138162,0.00412954,0.0139549,0.00442475,,85,0.0194938,0.00620957,0.0196763,0.00686705,,85,0.0378495,0.0139894,0.0380327,0.0162896,,85,0.0579642,0.0255036,0.0579818,0.0305764,,85,0.0698977,0.04368,0.0695127,0.0535655,,85,0.045711,0.0464924,0.0452159,0.0573594,,85,0.0171261,0.0288439,0.0168502,0.0352874,,85,0.00381505,0.00998493,0.00374573,0.0119183,,85,0.000474589,0.00174314,0.00046882,0.00198237
87,0.00613759,0.00143404,0.00616537,0.00144863,,87,0.0131966,0.00393749,0.0133219,0.00418542,,87,0.0182858,0.00583646,0.0184554,0.00640108,,87,0.0353455,0.013099,0.0355293,0.0151528,,87,0.0550206,0.0242359,0.0550582,0.0289185,,87,0.0689426,0.0429655,0.0685788,0.0525432,,87,0.0462122,0.0467688,0.0457191,0.0576113,,87,0.0177478,0.0297002,0.0174639,0.0363052,,87,0.00407502,0.0105926,0.00400088,0.0126427,,87,0.000528309,0.00192963,0.000521628,0.00219887
89,0.00598361,0.00138071,0.00600659,0.001392,,89,0.0126819,0.0037754,0.0127945,0.00398302,,89,0.0172283,0.00550798,0.0173849,0.00599168,,89,0.0330248,0.0122706,0.033207,0.0141001,,89,0.0521532,0.0229975,0.0522078,0.0273072,,89,0.0678608,0.0421886,0.0675184,0.0514461,,89,0.0466424,0.0469826,0.0461523,0.0577825,,89,0.0183653,0.0305492,0.0180736,0.0373116,,89,0.00434139,0.0112105,0.00426231,0.0133794,,89,0.000585914,0.00212961,0.000578255,0.00243137
91,0.00581598,0.00132802,0.00583482,0.00133671,,91,0.012262,0.00364125,0.0123628,0.00381469,,91,0.0163082,0.00522165,0.0164521,0.00563511,,91,0.0308808,0.0115029,0.0310595,0.0131286,,91,0.0493831,0.0217961,0.0494519,0.0257517,,91,0.066682,0.0413532,0.0663609,0.0502801,,91,0.0470355,0.0471497,0.0465488,0.0578942,,91,0.0189837,0.0313914,0.0186842,0.0383076,,91,0.00461651,0.0118411,0.00453238,0.0141312,,91,0.00064862,0.00234582,0.000639882,0.00268313
93,0.00562996,0.00127461,0.00564523,0.00128124,,93,0.0119271,0.00353308,0.0120168,0.00367761,,93,0.0155123,0.00497423,0.0156437,0.00532684,,93,0.028911,0.0107952,0.0290847,0.0122366,,93,0.0467235,0.0206403,0.0468042,0.0242623,,93,0.0654186,0.0404629,0.0651184,0.0490508,,93,0.047408,0.047281,0.0469251,0.0579601,,93,0.0196184,0.0322364,0.0193111,0.0393047,,93,0.00490114,0.0124858,0.00481179,0.0148993,,93,0.000717035,0.00257884,0.000707088,0.00295479
95,0.00542532,0.00121999,0.00543756,0.00122499,,95,0.0116674,0.00344843,0.0117468,0.00356857,,95,0.014831,0.00476238,0.0149505,0.00506237,,95,0.0271129,0.0101472,0.0272804,0.0114225,,95,0.0441804,0.0195358,0.0442707,0.0228449,,95,0.0640688,0.0395253,0.0637894,0.0477681,,95,0.0477435,0.047372,0.0472647,0.0579745,,95,0.0202672,0.0330817,0.0199519,0.0402993,,95,0.0051923,0.0131419,0.00509763,0.0156802,,95,0.000790706,0.00282687,0.000779427,0.00324424
,,,,,,97,0.0114745,0.00338479,0.0115445,0.00348441,,97,0.0142578,0.00458333,0.0143658,0.00483804,,97,0.025477,0.00955645,0.0256373,0.0106828,,97,0.0417598,0.018484,0.0418575,0.0215008,,97,0.0626319,0.0385462,0.0623729,0.04644,,97,0.0480321,0.047419,0.0475576,0.0579328,,97,0.0209131,0.033915,0.0205902,0.0412761,,97,0.00548741,0.0138049,0.00538735,0.0164685,,97,0.000869249,0.00308921,0.000856533,0.0035507
,,,,,,99,0.0113397,0.00333976,0.0114011,0.00342222,,99,0.013783,0.00443459,0.0138803,0.00465049,,99,0.0239901,0.00901974,0.0241424,0.0100126,,99,0.0394702,0.0174861,0.0395732,0.0202306,,99,0.0611154,0.0375271,0.0608765,0.0450689,,99,0.0482862,0.0474258,0.047816,0.0578406,,99,0.0215507,0.0347325,0.0212203,0.0422312,,99,0.00578676,0.014473,0.00568127,0.0172624,,99,0.000952992,0.00336723,0.000938736,0.00387579
,,,,,,101,0.0112544,0.00331119,0.011308,0.00337933,,101,0.0133949,0.00431377,0.013482,0.00449642,,101,0.0226402,0.00853432,0.0227841,0.00940775,,101,0.0373154,0.0165427,0.037422,0.0190345,,101,0.0595392,0.0364721,0.0593203,0.0436613,,101,0.0485227,0.0474003,0.048057,0.0577081,,101,0.0221881,0.0355392,0.0218505,0.0431705,,101,0.00609337,0.0151479,0.00598235,0.0180639,,101,0.00104324,0.00366336,0.0010273,0.00422229
,,,,,,106,0.0112007,0.00328698,0.0112383,0.00332806,,106,0.0127267,0.00410792,0.012792,0.00422574,,106,0.0197989,0.0075167,0.0199215,0.00814324,,106,0.0324582,0.0143998,0.0325687,0.0163367,,106,0.0554172,0.0337254,0.0552471,0.0400407,,106,0.0489821,0.047202,0.0485278,0.057209,,106,0.0237865,0.0375097,0.0234317,0.0454501,,106,0.0068824,0.0168525,0.00675735,0.0200851,,106,0.00130085,0.00448556,0.00128002,0.00518445
,,,,,,111,0.0112924,0.00330547,0.0113176,0.00333048,,111,0.0124318,0.00402529,0.0124788,0.00410147,,111,0.017689,0.00676944,0.0177892,0.00721647,,111,0.0283287,0.0125913,0.0284346,0.0140826,,111,0.0511101,0.0309105,0.0509827,0.0363872,,111,0.0492152,0.0467877,0.048775,0.0564465,,111,0.0252917,0.0392947,0.0249223,0.0474923,,111,0.00769175,0.0185637,0.00755263,0.0221121,,111,0.00159491,0.00540836,0.00156841,0.00626534
,,,,,,116,0.0113665,0.00332779,0.011383,0.00334262,,116,0.0123732,0.004022,0.0124062,0.00407045,,116,0.0161347,0.00622927,0.0162146,0.00654418,,116,0.0248276,0.0110797,0.0249248,0.0122137,,116,0.0467395,0.0280786,0.0466494,0.0327644,,116,0.0492674,0.0461841,0.0488437,0.0554571,,116,0.0267034,0.0408679,0.0263221,0.0492709,,116,0.00852682,0.0202697,0.00837354,0.0241301,,116,0.00193218,0.00643646,0.001899,0.00746989
,,,,,,121,0.0113419,0.00332927,0.0113524,0.00333786,,121,0.0124536,0.00406711,0.0124761,0.00409733,,121,0.0150238,0.00586122,0.0150861,0.00608009,,121,0.0219594,0.00985813,0.0220453,0.0107108,,121,0.0424206,0.0253323,0.0423618,0.0292913,,121,0.0490035,0.0453306,0.0485994,0.0541709,,121,0.0278936,0.0421255,0.0275041,0.0506602,,121,0.00936886,0.021944,0.00920163,0.0261079,,121,0.00230985,0.00756028,0.00226916,0.00878684
,,,,,,126,0.0111297,0.00328314,0.0111362,0.00328804,,126,0.0125967,0.00413607,0.0126117,0.0041546,,126,0.0142702,0.00563438,0.0143173,0.00578453,,126,0.0196488,0.00889403,0.0197227,0.00952705,,126,0.0382836,0.022738,0.0382502,0.0260411,,126,0.0484782,0.0442336,0.0480969,0.0525967,,126,0.0289293,0.0431256,0.028534,0.0517333,,126,0.0102256,0.0236112,0.0100446,0.0280717,,126,0.00273259,0.00878304,0.00268348,0.0102192
,,,,,,131,0.0106926,0.00317404,0.0106964,0.00317683,,131,0.0127259,0.00420248,0.0127356,0.00421366,,131,0.0138089,0.00551814,0.0138436,0.00561954,,131,0.0178141,0.00815368,0.0178755,0.00861766,,131,0.0343623,0.0203355,0.0343488,0.0230568,,131,0.0475448,0.0428385,0.0471896,0.0506773,,131,0.0297412,0.0437893,0.0293436,0.0523995,,131,0.0110986,0.0252605,0.0109038,0.030006,,131,0.0031856,0.0100893,0.00312747,0.011748
,,,,,,136,0.0100034,0.00299115,0.0100056,0.00299285,,136,0.0127613,0.00423835,0.0127674,0.0042451,,136,0.0135868,0.00548848,0.0136118,0.00555574,,136,0.0163919,0.0076046,0.0164419,0.00793991,,136,0.0307026,0.0181415,0.0307041,0.0203544,,136,0.0462025,0.0411249,0.0458761,0.0483977,,136,0.0304533,0.044244,0.0300555,0.0528084,,136,0.0120062,0.0269124,0.0117974,0.0319352,,136,0.00366873,0.0114493,0.003601,0.0133394
,,,,,,141,0.00908274,0.00273705,0.00908404,0.00273826,,141,0.0126378,0.00422123,0.0126416,0.00422554,,141,0.0135432,0.00552152,0.0135607,0.00556538,,141,0.0153252,0.00721818,0.0153649,0.00745714,,141,0.0273649,0.0161808,0.0273765,0.0179562,,141,0.0444067,0.0390939,0.0441124,0.0457624,,141,0.0310056,0.0444696,0.0306101,0.052937,,141,0.0129279,0.0285447,0.0127053,0.0338287,,141,0.00417933,0.0128453,0.00410174,0.0149721
,,,,,,,,,,,,146,0.0122949,0.00412525,0.0122972,0.00412841,,146,0.0136339,0.00559895,0.0136458,0.00562724,,146,0.014566,0.00696785,0.0145967,0.00713525,,146,0.0243968,0.0144714,0.0244153,0.0158763,,146,0.0422984,0.0368364,0.0420378,0.0428786,,146,0.0315064,0.0445391,0.0311143,0.0528754,,146,0.0138843,0.030169,0.0136482,0.0357038,,146,0.00471222,0.0142597,0.00462467,0.0166239
,,,,,,,,,,,,151,0.0116767,0.00392753,0.0116782,0.00393028,,151,0.0138222,0.0057044,0.0138304,0.00572256,,151,0.0140729,0.00682833,0.0140958,0.00694381,,151,0.021832,0.0130299,0.0218544,0.014128,,151,0.0399114,0.034416,0.0396847,0.0398239,,151,0.0318883,0.0444622,0.0315015,0.0526345,,151,0.0148249,0.0317352,0.0145763,0.0375006,,151,0.00525166,0.0156757,0.00515411,0.0182756
,,,,,,,,,,,,156,0.0107604,0.00362974,0.0107614,0.00363249,,156,0.0140618,0.0058207,0.0140673,0.00583263,,156,0.0137912,0.00677399,0.0138082,0.0068525,,156,0.0196573,0.0118414,0.0196812,0.0126887,,156,0.0373316,0.0319025,0.0371382,0.0366857,,156,0.0321968,0.0442725,0.0318166,0.0522557,,156,0.0157482,0.0332218,0.0154885,0.039196,,156,0.00580078,0.0170953,0.00569324,0.0199299
,,,,,,,,,,,,161,0.00959652,0.00324664,0.00959719,0.00324946,,161,0.0142879,0.00592574,0.0142915,0.00593415,,161,0.0136833,0.00678366,0.0136956,0.00683642,,161,0.0178492,0.0108832,0.0178726,0.0115286,,161,0.0346044,0.0293516,0.0344429,0.0335297,,161,0.0324019,0.0439431,0.0320291,0.0517069,,161,0.0166268,0.034597,0.0163569,0.0407491,,161,0.00634856,0.0184774,0.0062313,0.021539
,,,,,,,,,,,,,,,,,,166,0.0144406,0.00599602,0.014443,0.00600283,,166,0.0137056,0.00683763,0.0137144,0.00687287,,166,0.0163681,0.0101298,0.0163895,0.0106145,,166,0.0318615,0.0268414,0.0317296,0.0304478,,166,0.0325101,0.0434797,0.0321468,0.0509976,,166,0.0174212,0.0357913,0.0171435,0.0420815,,166,0.00691192,0.019842,0.00678483,0.023123
,,,,,,,,,,,,,,,,,,171,0.0144604,0.00600912,0.0144622,0.00601557,,171,0.0138251,0.00692277,0.0138314,0.00694654,,171,0.0151942,0.00955696,0.0152128,0.00991599,,171,0.0291414,0.0244346,0.0290361,0.0275114,,171,0.0324586,0.042839,0.0321073,0.0500796,,171,0.0181425,0.0368131,0.0178583,0.0432057,,171,0.00747546,0.0211731,0.00733877,0.0246642
,,,,,,,,,,,,,,,,,,176,0.0142863,0.00594142,0.0142878,0.00594806,,176,0.0140086,0.00702681,0.014013,0.00704322,,176,0.0143063,0.00913867,0.0143221,0.00940067,,176,0.0265201,0.022164,0.0264379,0.0247565,,176,0.0322357,0.0419867,0.031899,0.0489136,,176,0.0187472,0.0375833,0.0184592,0.0440359,,176,0.00806982,0.022517,0.00792337,0.026214
,,,,,,,,,,,,,,,,,,181,0.0138716,0.00577509,0.0138729,0.00578221,,181,0.0142283,0.00713796,0.0142313,0.00714998,,181,0.0136622,0.00884971,0.0136753,0.00903813,,181,0.0240305,0.0200661,0.0239683,0.0222248,,181,0.0318221,0.0409333,0.0315023,0.0475136,,181,0.0192759,0.038174,0.0189856,0.0446516,,181,0.00865582,0.0238309,0.00850032,0.0277212
,,,,,,,,,,,,,,,,,,186,0.0131836,0.00549487,0.0131848,0.0055027,,186,0.014463,0.00724698,0.0144653,0.00725668,,186,0.013215,0.00866252,0.0132259,0.00879652,,186,0.0217245,0.0181719,0.0216793,0.0199508,,186,0.0311903,0.039663,0.03089,0.0458661,,186,0.0197005,0.038542,0.0194096,0.0450033,,186,0.00926269,0.0251414,0.00909827,0.0292174
,,,,,,,,,,,,,,,,,,191,0.0122015,0.0050892,0.0122028,0.00509758,,191,0.0146858,0.00734305,0.0146877,0.0073518,,191,0.0129287,0.00855572,0.0129374,0.00865014,,191,0.0196589,0.016507,0.0196278,0.0179578,,191,0.0303537,0.0381681,0.0300753,0.0439655,,191,0.0200445,0.0387434,0.0197542,0.0451585,,191,0.00986539,0.0264044,0.00969234,0.030654
,,,,,,,,,,,,,,,,,,196,0.0109451,0.00457185,0.0109463,0.00458009,,196,0.0148568,0.00740872,0.0148585,0.00741735,,196,0.0127714,0.00850985,0.012778,0.00857571,,196,0.0178377,0.0150684,0.0178174,0.0162379,,196,0.0293179,0.0364562,0.0290632,0.0418252,,196,0.0203448,0.0388266,0.020056,0.0451727,,196,0.0104672,0.0276257,0.010286,0.0320379
,,,,,,,,,,,,,,,,,,,,,,,,201,0.0149222,0.0074211,0.0149238,0.00743008,,201,0.0127145,0.00850659,0.0127197,0.00855209,,201,0.0162579,0.013846,0.0162452,0.0147791,,201,0.0281019,0.0345805,0.0278722,0.0395082,,201,0.0205857,0.0388141,0.0203002,0.0450729,,201,0.0110544,0.0287808,0.0108656,0.0333416
,,,,,,,,,,,,,,,,,,,,,,,,211,0.0145143,0.00718695,0.014516,0.0071972,,211,0.0127997,0.00857447,0.0128028,0.00859649,,211,0.013791,0.0119932,0.0137874,0.012571,,211,0.025246,0.0305054,0.0250664,0.0345441,,211,0.0209496,0.038495,0.0206731,0.0445272,,211,0.0121379,0.0307915,0.0119369,0.0355876
,,,,,,,,,,,,,,,,,,,,,,,,221,0.0131369,0.00649443,0.0131387,0.00650572,,221,0.0130289,0.00868362,0.0130307,0.00869583,,221,0.0121407,0.0108025,0.0121425,0.0111443,,221,0.0220763,0.026309,0.0219438,0.0295,,221,0.0211148,0.0378027,0.020851,0.0435458,,221,0.0130179,0.0322381,0.0128092,0.0371693
,,,,,,,,,,,,,,,,,,,,,,,,231,0.0107348,0.00531312,0.0107367,0.00532328,,231,0.0133057,0.00878943,0.0133072,0.00879877,,231,0.0111324,0.0100992,0.0111353,0.0102932,,231,0.0189175,0.0223418,0.018826,0.0247814,,231,0.0210057,0.036667,0.0207593,0.042052,,231,0.0136656,0.0330785,0.0134541,0.038053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,0.013569,0.00886711,0.0135704,0.00887627,,241,0.0105892,0.00972596,0.0105916,0.00983073,,241,0.0160012,0.0188331,0.0159418,0.0206362,,241,0.0205064,0.0349259,0.020283,0.039871,,241,0.0141439,0.0334138,0.0139333,0.0383549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,0.0137509,0.00888168,0.0137522,0.00889136,,251,0.0103674,0.00955693,0.0103692,0.00961116,,251,0.0135229,0.0159535,0.0134872,0.0172447,,251,0.0195746,0.0326223,0.0193802,0.037063,,251,0.0144847,0.0333752,0.0142783,0.0382264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,0.0136758,0.00873287,0.0136776,0.00874316,,261,0.01034,0.00949722,0.0103415,0.00952438,,261,0.0115371,0.0137326,0.0115177,0.01463,,261,0.0182764,0.0298076,0.0181139,0.0336952,,261,0.014709,0.0330554,0.0145095,0.0377717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,0.0130393,0.00823887,0.0130415,0.0082495,,271,0.0104165,0.00948199,0.0104177,0.00949583,,271,0.0100307,0.0120952,0.0100214,0.0126968,,271,0.0166346,0.0266705,0.0165052,0.0299858,,271,0.0148043,0.0324478,0.0146141,0.0369913
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,0.011564,0.00723955,0.0115664,0.00725005,,281,0.010539,0.0094762,0.0105399,0.00948481,,281,0.00896594,0.0109665,0.00896198,0.0113549,,281,0.0148645,0.0234483,0.0147659,0.0262038,,281,0.0147777,0.0315526,0.0145996,0.0358828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0.00924344,0.00574843,0.00924545,0.0057571,,291,0.0106729,0.00946003,0.0106738,0.00946699,,291,0.00826856,0.0102285,0.00826761,0.0104675,,291,0.0130551,0.0203511,0.012984,0.0225857,,291,0.0145127,0.0302671,0.0143504,0.0343355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,0.0107993,0.00942332,0.0108003,0.00942995,,301,0.00784678,0.00977542,0.0078466,0.0099155,,301,0.0113091,0.0175214,0.0112614,0.0192806,,301,0.0139876,0.0285289,0.0138448,0.0322852
