qvcenter,Q2center,bin,nu,Ex,W2,RL,RLerr,RT,RTerr,Chi2,num_points
0.148,,W2bin,0.03973570012091654,0.03954087988996132,0.9345970175122048,0.17499687831483324,0.016533289729692206,0.03565570607213546,0.002571296339122318,8.065214086362776,5
0.167,,W2bin,0.03634162379464667,0.03608696102421735,0.9219846649143806,0.16386631323862277,0.00871302729023981,0.03888086686898548,0.0018950723045560972,2.8836821621642668,5
0.167,,W2bin,0.046548641168785765,0.046302088089180966,0.9419846649143806,0.15441188706319506,0.011572578728462643,0.034125337322993235,0.005462465356268224,0.05413331508342115,3
0.205,,Exbin,0.005935325271686054,0.0055328442274665,0.8495043615123621,0.004555267784923771,0.0001633180002814144,-7.134444083606318e-05,6.539866943486254e-06,1549.7719195211469,10
0.205,,Exbin,0.025929218565977408,0.0255328442274665,0.8876609182875529,0.14347688286684707,0.009501518252298984,0.04277466101183064,0.003982169902829841,10.832842144105754,4
0.205,,Exbin,0.015933229562705264,0.0155328442274665,0.8684845285362742,-0.6151181523832178,0.045884110336024866,0.7984873020320371,0.054462529018043056,431.1139709033383,3
0.205,,W2bin,0.03735170098822482,0.03696225508548603,0.9098185571783632,0.16907378339552384,0.009044915475979892,0.04008988259818474,0.0038638230035408106,0.5099847791540597,5
0.205,,W2bin,0.047548260258858055,0.04716711215788919,0.9298185571783631,0.1623130946934471,0.012916460945186403,0.04997069371614807,0.0037497952042402634,0.2757270389526305,4
0.205,,W2bin,0.0970257767685051,0.09671319329428377,1.0298185571783631,0.04837016257668599,0.006245099331814546,0.03063424040201888,0.0022049851731250356,1.364035350235235,4
0.24,,Exbin,0.015064381843615138,0.0145144486142362,0.8512521636204389,0.06337311713580174,0.01211853250086218,0.1121478849934558,0.010199376363767599,0.020006041824630585,4
0.24,,Exbin,0.025060537261992977,0.0245144486142362,0.8704115040137037,0.14813481156474936,0.006752802702302257,0.029115880511285216,0.003937739349871553,2.3043344362205924,5
0.24,,W2bin,0.03280555233458893,0.03226375952900665,0.885393554804241,0.10879693635687346,0.007872416379564604,0.04706769464416077,0.004404389874996338,4.009055963012742,4
0.24,,W2bin,0.04304935009921229,0.04251500541192158,0.905393554804241,0.1248462976627473,0.006071112051337439,0.05396124196517921,0.002405909994447116,6.627402473694563,5
0.24,,W2bin,0.05318731428607415,0.052662321356138915,0.925393554804241,0.11530722618461299,0.006706425329702922,0.061067728050951696,0.002017086480385045,3.8897413895602426,7
0.24,,W2bin,0.06322265890434131,0.06270886356012369,0.945393554804241,0.1179026199283397,0.006995648745296497,0.06297816698477575,0.0018151716105134009,6.071060289351369,8
0.24,,W2bin,0.07315843850892889,0.07265763163620868,0.965393554804241,0.11221516357450363,0.007129381544347001,0.062061362530764975,0.0018655118365935117,6.943470543010715,8
0.24,,W2bin,0.08299755906074224,0.08251147927549213,0.9853935548042412,0.08763614906134316,0.0076061548217125,0.06297421527455221,0.003210367778797097,0.07654129713721532,4
0.24,,W2bin,0.0927427878540178,0.09227312399661444,1.0053935548042412,0.07415809894754104,0.006733578129856756,0.05262910851056902,0.00211649363083587,1.1842164604549408,4
0.24,,W2bin,0.10239676260687103,0.10194515607279367,1.0253935548042412,0.05209604033239784,0.0067383149911678175,0.047575700369871195,0.0021076298075011044,0.6643023155238256,4
0.24,,W2bin,0.11196199979968358,0.11153004672022912,1.0453935548042412,0.03724628585986363,0.007011055020202679,0.04613561786040469,0.0025151025723673267,0.020006041824630966,4
0.24,,W2bin,0.12144090233602267,0.12103015562122314,1.0653935548042412,0.037036783656898206,0.0069089334441895306,0.03678220976463107,0.0015158627598368156,1.571271037681462,3
0.3,,Exbin,0.006755290814822956,0.0058930587633534,0.8030784704403856,0.03829116502642089,0.0023001055408290757,0.004859971683076248,0.0002902980545585172,208.73265546991422,3
0.3,,Exbin,0.016753037998306297,0.0158930587633534,0.8220747332547425,0.0035060077562816656,0.00021546016040910126,0.001831008030994014,0.00013962183374298108,1243.3536512588043,7
0.3,,Exbin,0.02674886998430992,0.0258930587633534,0.8412672095480144,0.08887657362787597,0.005538957090879488,0.03592248778903764,0.0012366949705191052,4.000436529662344,4
0.3,,W2bin,0.036563492887034865,0.03571363779453312,0.8603061878642941,0.07254882974123282,0.003944436527890711,0.04858259881838058,0.0012008960574717356,15.826954903413528,7
0.3,,W2bin,0.051665120823618405,0.05082803703201319,0.8899774830597971,0.09198247706295722,0.004023299645504131,0.0661260950833167,0.0021140565939051096,8.96343687174973,6
0.3,,W2bin,0.059501390180978886,0.05867265636574563,0.9055537337010244,0.08563849615420967,0.006348076059985235,0.0733174413384605,0.002048289127328807,6.312431275891191,6
0.3,,W2bin,0.06707995887194784,0.06626042020689416,0.9207345719125803,0.08675827484811498,0.004321061767736877,0.07741843393342517,0.0020885488943669637,3.809839238127447,6
0.3,,W2bin,0.07421615537772397,0.07340628164760266,0.9351342897574968,0.11246494405134447,0.01358744354429286,0.08032507153532799,0.002509515775932172,5.474644035099588,6
0.3,,W2bin,0.08055585970861412,0.07975539107716785,0.9480122453751548,0.09092176613006313,0.00347580521106798,0.08163740554733878,0.002358419207312632,11.244594416849493,7
0.3,,W2bin,0.08972364235645858,0.08893813706677753,0.9667770966961524,0.0830821763170025,0.00868006588638952,0.08357643122680097,0.0023525543842771715,1.509187104709369,6
0.3,,W2bin,0.09634200273856963,0.09556830115859317,0.9804282038917304,0.08818570102792929,0.00477026358688569,0.07556129178979101,0.002093046713710419,10.334286931866915,6
0.3,,W2bin,0.10269273266021794,0.10193114694550687,0.9936096565728244,0.06925315381059333,0.004162535243690756,0.07916368434775806,0.0022931792398358563,1.2861832859383269,6
0.3,,W2bin,0.10988755686174445,0.10914063152261416,1.008640552960722,0.07881699130691745,0.012201716945714099,0.06847188902843725,0.001813720472719891,5.352126507769127,6
0.3,,W2bin,0.117949713576332,0.11722039493541692,1.0256064206745503,0.05454195513549532,0.0029476138758557546,0.0657746720239094,0.00237764010251418,0.9515825975357406,6
0.3,,W2bin,0.12480734775460556,0.12409398599816854,1.0401398257820529,0.061542451796971695,0.005413464819475381,0.05345082278508398,0.0016526485982097717,18.219906821291346,7
0.3,,W2bin,0.13218450235065948,0.13148931290481927,1.055879264338812,0.04200433883589674,0.002988682504839842,0.05410996088223046,0.0018733649324011571,9.366923111896796,6
0.3,,W2bin,0.14176707348288164,0.1410970467677711,1.0764865603289082,0.03690432723963123,0.0027778716101287087,0.0446333237159489,0.0013518668136695568,10.8385793246111,6
0.3,,W2bin,0.15002134598240702,0.14937440527143983,1.0943845834972752,0.02609414517120773,0.0025748614265909886,0.046212185501526566,0.0016209927850271816,5.6705000959772445,6
0.3,,W2bin,0.16397646050592474,0.16337152101777885,1.124953873185602,0.020830397795846067,0.002331107653486641,0.04095614520859498,0.001495787738482733,3.5028390171638324,6
0.38,,Exbin,0.010038014040709697,0.0086548746366796,0.7548937793509192,7.350541621627553e-07,8.138124753265119e-08,7.679953566853222e-07,5.041898225750351e-08,767.1959811318832,6
0.38,,Exbin,0.020035132295284086,0.0186548746366796,0.7739544764232758,0.017195543537954244,0.0027754520113588725,0.033229640133158565,0.0018901653732985946,985.4874839387986,5
0.38,,W2bin,0.028554314384190538,0.027178024452466715,0.7903550558393464,0.016870762696850304,0.0014788769558680983,0.020984384920759776,0.0005259025378722709,20.237544488510814,7
0.38,,W2bin,0.041657413472233285,0.04028994185537367,0.8158636152478622,0.03568752279716437,0.0029129558449403573,0.042868315351616455,0.0013117307037491465,2.050787306240496,6
0.38,,W2bin,0.0483794576081803,0.04701778726921084,0.8290830721042621,0.03954542798242869,0.005540455231762282,0.051498635073436466,0.001291537882365822,22.789245220590555,6
0.38,,W2bin,0.054203185082356886,0.052847241079583926,0.8406089779556288,0.04534538523313525,0.003818571641426625,0.05900293800119477,0.0017087464192596577,1.7903643036840011,6
0.38,,W2bin,0.06081198857626169,0.05946333041791797,0.853770814398429,0.051089115888812875,0.0031150161889166696,0.0637868385104492,0.0017278073630401308,2.970349852988979,6
0.38,,W2bin,0.06604594933294827,0.06470365546554749,0.8642565519892371,0.05323181877758246,0.0032466115157551785,0.06808549466952897,0.0019132796083251471,4.491809180298764,6
0.38,,W2bin,0.06949035863645936,0.06815253955557025,0.871186987010237,0.05647415603939488,0.003262622592521014,0.06950441272611772,0.0016987361743287764,3.860983908320024,6
0.38,,W2bin,0.07460034203176658,0.07326958055603182,0.8815124069986,0.05684029966588656,0.0030073271312922576,0.07725646437973424,0.0025677075287347728,2.0977644720107356,6
0.38,,W2bin,0.078874578302358,0.07755010461414445,0.8901891960463513,0.055398055386298585,0.0050492303462444585,0.07694602838191192,0.0021176864515452315,3.4145520600786083,6
0.38,,W2bin,0.0832461186047796,0.0819284381238107,0.899101309675086,0.06273540479633341,0.0030936290162650528,0.0831250963792365,0.002371862301656176,0.4560278343049558,6
0.38,,W2bin,0.08822273835405492,0.08691323727647234,0.9092935008590362,0.061632971756327454,0.0031999024882040134,0.08377631678875616,0.002387192903174669,3.7218954968936595,6
0.38,,W2bin,0.09224879174992406,0.09094625517560789,0.9175751632714738,0.06687917637627969,0.004411253385290805,0.0793615086524864,0.0032953502201534812,1.9067217754436447,6
0.38,,W2bin,0.09694044500042864,0.09564641636276316,0.9272668767096556,0.06253950469794377,0.003164903082000206,0.08610560927385096,0.002365003896489513,1.7189324381022533,6
0.38,,W2bin,0.1003857450855844,0.0990982329374384,0.9344119887427612,0.05694172784767619,0.010219746096654584,0.09059657473882256,0.0025684923436175558,0.7428447060958077,6
0.38,,W2bin,0.10450441770043317,0.10322499428146961,0.9429847428659834,0.06546504634148656,0.003623038291985294,0.08218063545180791,0.0033780629659143167,0.4696125935584051,6
0.38,,W2bin,0.10993521994015343,0.10866695926528298,0.954340472350105,0.06757838164707358,0.0034672228083590323,0.08533165463889854,0.002395032675326822,1.8652313768973434,6
0.38,,W2bin,0.11371978546371675,0.11245963807075288,0.9622888206677096,0.061747111965454994,0.004063034574611476,0.09200237565788086,0.0026664441278783655,0.5470130385656484,7
0.38,,W2bin,0.11683846219653382,0.11558520692528265,0.9688601976585074,0.0697394089877178,0.004895539976365913,0.0836045769909841,0.002885205632903112,0.605324431150678,6
0.38,,W2bin,0.1220422873681547,0.12080094741843464,0.9798685086266126,0.058720720389724944,0.003850366866605827,0.09068567436563339,0.003683001426698987,3.288859465671113,6
0.38,,W2bin,0.12639980399182493,0.12516884090657437,0.9891281795598148,0.062387727995488564,0.004660421408820393,0.08333407181433959,0.002426918341476539,8.156609539989297,6
0.38,,W2bin,0.12890331197201899,0.12767847531021312,0.9944652808342,0.06058275794941934,0.004064170456041585,0.08334067118779792,0.0026776340517768384,2.106814513867316,6
0.38,,W2bin,0.1336434449007885,0.13243053710317818,1.004604864848745,0.0623424488112439,0.0037845243563728345,0.0770425088900886,0.003303105029837727,0.5585262714934879,6
0.38,,W2bin,0.13859513201831197,0.13739514547805642,1.0152449737566085,0.049634611708364536,0.004200167410816587,0.08753411147532561,0.0032220707506991626,2.6441908096123425,6
0.38,,W2bin,0.14210623501429065,0.14091569538914026,1.0228192914500638,0.04750519448453732,0.004029738987854882,0.08512256325848581,0.002506561590057491,0.6200024031159748,6
0.38,,W2bin,0.1461552357703667,0.14497588373082335,1.03158459853603,0.05490828339540513,0.0034308958851156156,0.07214496291361644,0.0030409928748306356,2.640908471227116,6
0.38,,W2bin,0.1511028450323736,0.1499375901317293,1.0423397317399978,0.0420073405061004,0.003657946396509304,0.07654439297501775,0.0025881117048833172,0.7880788396185633,6
0.38,,W2bin,0.15499480546703792,0.15384096962569216,1.0508344944707129,0.042540032697510055,0.003675357193098369,0.0736977082774337,0.002515481267452434,1.5509979340807722,6
0.38,,W2bin,0.15906544417901525,0.15792386232552302,1.0597516610732216,0.04281439813882743,0.0031423660921474452,0.06536888610629737,0.0028880296413511973,6.052521146626406,6
0.38,,W2bin,0.16414304150739645,0.16301719016838104,1.0709211285728375,0.04010523764064489,0.003145570799615604,0.0616673864184358,0.002792616955169616,1.6345170001580305,6
0.38,,W2bin,0.17235223767420382,0.17125286411247803,1.0890884185588818,0.03500165030007956,0.0035770571833679435,0.058602391311766595,0.004091054463428153,8.577911753862212,6
0.38,,W2bin,0.1775246961550202,0.17644266918836513,1.100604498744851,0.030108044394574377,0.003513457081714447,0.0625546590261136,0.002812102160860725,1.961281074298285,6
0.38,,W2bin,0.18131284569826922,0.18024384820621425,1.1090724658879088,0.023578523357825773,0.0032586610024157854,0.06453677045646491,0.0019268753600638203,4.362565403894155,6
0.38,,W2bin,0.18517940716230885,0.18412399254301548,1.117745311158786,0.028408987498183446,0.00244422467887997,0.053814769480830055,0.0020751926883134297,6.485591622104943,7
0.38,,W2bin,0.18973083873902719,0.18869178012505228,1.127992660209981,0.022049876662997406,0.003455502261500775,0.06017293947010984,0.0039854909611935375,2.1591787598701666,6
0.38,,W2bin,0.19742520490838877,0.19641469989030874,1.1454104126321365,0.02272332502192961,0.0042949410857283975,0.05526038511959398,0.005462275267286507,0.8591424564965214,6
0.38,,W2bin,0.2026358157728293,0.20164529173519574,1.1572729259081598,0.02060231056266809,0.003100094894086727,0.0553421041532375,0.0022039410182783177,5.116857028885002,6
0.38,,W2bin,0.20581194573686423,0.20483385643899585,1.1645303630617234,0.025444782858980892,0.003566536071728477,0.05280052869835246,0.0025851498145025523,2.7203666036109677,6
0.38,,W2bin,0.20965484445264682,0.2086920588803226,1.1733383360696998,0.017832653397309044,0.0025871851532073744,0.060037699107492036,0.0020698486091188344,7.611492202933047,6
0.38,,W2bin,0.21466883887469368,0.2137264463922926,1.1848748838277603,0.014694089938242935,0.003908662735562656,0.06377796938058608,0.003832588342275845,1.8222054384005242,6
0.38,,W2bin,0.22029855329110315,0.21937963253222156,1.1978880440953592,0.02542990855048226,0.003430554664064521,0.05302433458248985,0.003093671434680563,1.276544169830021,6
0.38,,W2bin,0.22792959692948356,0.2270434619098695,1.2156284970850717,0.02301913036057829,0.004028332818574538,0.057845058529709656,0.004342701245017615,7.507684877224003,6
0.38,,W2bin,0.23357287622155887,0.23271170481790143,1.228822757617473,0.01963661690233298,0.004101649457979606,0.06622669817113817,0.003918661284248338,0.998512599325242,6
0.38,,W2bin,0.23963583489725127,0.23880216390902181,1.243069223329,0.018416423237880244,0.005445635916441625,0.0699674082235621,0.005373719690940282,1.1811445810363175,6
0.38,,W2bin,0.2483382929384247,0.2475453262838926,1.263646360529,0.019492699275545276,0.005532674494851988,0.07706165731589243,0.0050130704734169884,2.675491456167213,6
0.38,,W2bin,0.25555944224181515,0.2548013535128385,1.2808359001490568,0.014453034638654095,0.0065581949384803905,0.08717982101591965,0.004814741227482317,6.950264085651529,6
0.38,,W2bin,0.26528946553711796,0.2645799534572626,1.3041626084497864,0.017424337420452834,0.007913235907160674,0.0917831582869451,0.006973693690157887,0.2591145637598198,6
0.38,,W2bin,0.2779599742513562,0.2773164395802278,1.3348226476563,0.007203230282007564,0.008938416028101848,0.10938588386619251,0.006813531594921356,2.5617934436539063,6
0.38,,W2bin,0.29751351851991414,0.29697784193958515,1.3827683193555702,-0.012414876738615134,0.011248319148104908,0.1343543341228875,0.007233414953044337,4.066593724318063,7
0.475,,Exbin,0.009532421394673918,0.0073706279579388,0.6727101168251355,-0.0945596960618918,0.006109126113773979,0.01173451310780818,0.0007581105194220026,276.6225260496663,7
0.475,,Exbin,0.019529636509346915,0.0173706279579388,0.6917608905042563,-2.018862752164125e-06,5.917294529187538e-07,7.426653238837143e-06,4.2607130300494325e-07,531.3243085996482,6
0.475,,Exbin,0.029524936732251206,0.0273706279579388,0.7110078463432026,0.010007525245031738,0.0011100708957953733,0.015745432437625863,0.000496846805364796,27.748732152517317,7
0.475,,W2bin,0.031793706590914184,0.029640731291659794,0.715404415236143,0.00619690165237791,0.0007621273875162754,0.011029467007459545,0.0002993701798249782,17.73084752614356,7
0.475,,W2bin,0.048109798023307726,0.04596931909400785,0.7473260242362896,0.015216673754202714,0.0017147615417973329,0.027017070269320046,0.0008845428135403438,3.948364359692911,6
0.475,,W2bin,0.05630959106909672,0.05417731916854895,0.7635695304577181,0.014023440668438013,0.0029566237034702484,0.03864190189397238,0.0012713344845036712,44.79394121558305,6
0.475,,W2bin,0.06259693747603678,0.060471831545799395,0.7761156317432858,0.016870346369546155,0.0019454919144344717,0.038113655882996526,0.0010633453527465928,9.27509084653457,6
0.475,,W2bin,0.0710271891128752,0.06891288078508286,0.7930618717432858,0.013008424223409473,0.003099420440398563,0.051096685616202536,0.001953761749535177,2.651387882364813,6
0.475,,W2bin,0.07807343942358547,0.07596920132734503,0.8073350849290001,0.021641259494349138,0.003263186707056827,0.05303158899428666,0.0013823964540398506,3.956172720516151,6
0.475,,W2bin,0.08467120280405738,0.08257725683991159,0.8207898420504287,0.023669919509113065,0.0030081117863151605,0.058895998885999265,0.0018738768047270977,1.4201312711145633,6
0.475,,W2bin,0.09124156955991769,0.0891587022982905,0.8342752489361429,0.027854142309704268,0.007032369785740301,0.06228060674803869,0.0016381736800658564,4.623683412211024,6
0.475,,W2bin,0.09745139466665143,0.09537975888510888,0.8471000217076016,0.030149543211681028,0.003430819870102563,0.06500475675415765,0.0019961597913241338,2.673881777798099,6
0.475,,W2bin,0.10380495033036963,0.10174557110149769,0.8603014545647445,0.03453683967229521,0.00634551116599178,0.07442843996087858,0.00217651793403768,5.520002167398891,6
0.475,,W2bin,0.10976717994524676,0.10772000620562153,0.8727632187796651,0.028408128242510818,0.004116085607270289,0.07852675795585774,0.002489899711249155,1.3932506667991382,6
0.475,,W2bin,0.11614128481862662,0.11410791344769801,0.8861644840295758,0.04158916569473714,0.006044792115449156,0.07603091924084845,0.002538234318068022,7.638876346932242,6
0.475,,W2bin,0.1222717702075734,0.12025240847130517,0.8991302096146349,0.03296005833720595,0.004381258478832175,0.08230965714933379,0.0025106469712801436,2.542356313795502,6
0.475,,W2bin,0.12840465451913274,0.12640002880210277,0.9121762186504384,0.03441594210606281,0.004559665380763721,0.0861308337277524,0.0023983175833784055,2.283093860243775,7
0.475,,W2bin,0.13758125186905057,0.13560002218458914,0.9318373712647144,0.03363128454979753,0.0103051330775409,0.08679411235338773,0.002264861179253558,11.083926117213657,6
0.475,,W2bin,0.14403065403436688,0.14206683329222697,0.9457561995361428,0.03905580924521911,0.006629932729702151,0.08778124078312718,0.0044305509713345684,2.1211716391169215,6
0.475,,W2bin,0.14991030852080522,0.14796305363281273,0.9585179129432858,0.0399071896169257,0.006035932828689965,0.08770854660135062,0.0024807009935419884,3.951147862953156,6
0.475,,W2bin,0.15644658143907464,0.15451852029716534,0.972785961986143,0.03642512123966479,0.006049081530372494,0.0874127151244058,0.0028042386182000833,1.4491360060072045,6
0.475,,W2bin,0.16421803844125893,0.1623138639583228,0.9898614898432856,0.03441777722061038,0.006247604478385672,0.088675067096364,0.0025017492266045317,2.1792674403201513,6
0.475,,W2bin,0.17267303869586093,0.17079616687846388,1.0085761008940255,0.039854250036735255,0.008667700174061242,0.0848329405834038,0.002582311034675544,2.662554355969619,6
0.475,,W2bin,0.1788056055126227,0.17694939430555273,1.0222396108940257,0.026554933396364864,0.006238413634748162,0.08649033073381913,0.00254334967206789,6.8986097694503705,6
0.475,,W2bin,0.18594692984232297,0.18411568636139902,1.0382454506546774,0.03086405922362861,0.006380951371897201,0.08381928465944871,0.0025169902357965717,0.4207136144812622,6
0.475,,W2bin,0.19428400675920365,0.19248314855340748,1.0570603735593669,0.05027349231211722,0.006477770309364272,0.07043749829027993,0.002535783542373461,5.896133793266866,6
0.475,,W2bin,0.21248887729837718,0.2107589999931281,1.0986278982432855,0.021349667966692753,0.006101555882300191,0.07458976306643961,0.00259889944172352,2.5760645310383423,6
0.475,,W2bin,0.22416864017584748,0.22248764801278056,1.1256455668147145,0.014089748544790148,0.006123938066131021,0.07352517189986019,0.0025876468987514637,3.5370018309324345,6
