Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.44,90,0.275,5642.6,1.1041,0.051926417,Meziani:1984is
26,56,0.44,90,0.285,5820.1,1.18039,0.056012783,Meziani:1984is
26,56,0.44,90,0.295,6106.3,1.2004,0.059446801,Meziani:1984is
26,56,0.44,90,0.305,6482.5,1.20015,0.061704589,Meziani:1984is
26,56,0.48,140,0.12,39.6,1.10606,0.093939394,Meziani:1984is
26,56,0.48,140,0.13,56.495,1.51518,0.946986459,Meziani:1984is
26,56,0.48,140,0.14,80.724,1.65998,0.087830137,Meziani:1984is
26,56,0.48,140,0.15,145.41,1.48545,0.066914242,Meziani:1984is
26,56,0.48,140,0.16,226.94,1.47175,0.058605799,Meziani:1984is
26,56,0.48,140,0.17,329.53,1.39896,0.052499014,Meziani:1984is
26,56,0.48,140,0.18,458.35,1.36141,0.048652776,Meziani:1984is
26,56,0.48,140,0.19,613.49,1.33662,0.046129521,Meziani:1984is
26,56,0.48,140,0.2,789.44,1.24772,0.045095257,Meziani:1984is
26,56,0.48,140,0.21,974.91,1.24114,0.044004062,Meziani:1984is
26,56,0.48,140,0.22,1155.2,1.15132,0.041464681,Meziani:1984is
26,56,0.48,140,0.23,1316.4,1.0863,0.040109389,Meziani:1984is
26,56,0.48,140,0.24,1448.9,1.09738,0.040720547,Meziani:1984is
26,56,0.48,140,0.25,1548.6,1.05902,0.039390417,Meziani:1984is
26,56,0.48,140,0.26,1616.3,1.0456,0.039411,Meziani:1984is
26,56,0.48,140,0.27,1656.7,1.0201,0.039898594,Meziani:1984is
26,56,0.48,140,0.28,1676.2,1.00823,0.041164539,Meziani:1984is
26,56,0.48,140,0.29,1683.2,1.00998,0.042775665,Meziani:1984is
26,56,0.48,140,0.3,1687.8,1.01315,0.04467354,Meziani:1984is
26,56,0.48,140,0.31,1699.9,1.02359,0.046532149,Meziani:1984is
26,56,0.48,140,0.32,1730.9,1.05725,0.049511815,Meziani:1984is
26,56,0.48,140,0.33,1791,0.99386,0.04958124,Meziani:1984is
26,56,0.48,140,0.34,1888.7,1.04834,0.053475936,Meziani:1984is
26,56,0.48,140,0.35,2028.9,1.10405,0.057666716,Meziani:1984is
26,56,0.48,140,0.36,2210.9,1.07648,0.058347279,Meziani:1984is
26,56,0.48,140,0.37,2426.7,1.04257,0.059751926,Meziani:1984is
26,56,0.48,140,0.38,2660.4,0.98481,0.122162081,Meziani:1984is
26,56,0.48,140,0.39,2889.3,0.9414,0.062991036,Meziani:1984is
26,56,0.48,60,0.045,7713.6,1.38716,0.041485169,Meziani:1984is
26,56,0.48,60,0.055,12012,1.14885,0.036213786,Meziani:1984is
26,56,0.48,60,0.065,16958,0.99068,0.030663993,Meziani:1984is
26,56,0.48,60,0.075,21472,0.93145,0.028641952,Meziani:1984is
26,56,0.48,60,0.085,25381,0.88649,0.027264489,Meziani:1984is
26,56,0.48,60,0.095,28333,0.89295,0.027459147,Meziani:1984is
26,56,0.48,60,0.105,30136,0.93244,0.028670029,Meziani:1984is
26,56,0.48,60,0.115,30805,0.98036,0.030384678,Meziani:1984is
26,56,0.48,60,0.125,30510,1.01934,0.032055064,Meziani:1984is
26,56,0.48,60,0.135,29483,0.99718,0.032086287,Meziani:1984is
26,56,0.48,60,0.145,27968,1.00114,0.033145023,Meziani:1984is
26,56,0.48,60,0.155,26172,1.00871,0.034311478,Meziani:1984is
26,56,0.48,60,0.165,24266,0.98904,0.034946015,Meziani:1984is
26,56,0.48,60,0.175,22371,0.97895,0.035849984,Meziani:1984is
26,56,0.48,60,0.185,20578,0.98649,0.037321411,Meziani:1984is
26,56,0.48,60,0.195,18948,0.94469,0.037365421,Meziani:1984is
26,56,0.48,60,0.205,17531,0.87844,0.036164509,Meziani:1984is
26,56,0.48,60,0.215,16357,0.88036,0.037109494,Meziani:1984is
26,56,0.48,60,0.225,15457,0.89927,0.038558582,Meziani:1984is
26,56,0.48,60,0.235,14842,0.92306,0.039954184,Meziani:1984is
26,56,0.48,60,0.245,14527,0.99814,0.042610312,Meziani:1984is
26,56,0.48,60,0.255,14499,1.04835,0.087592248,Meziani:1984is
26,56,0.48,60,0.265,14742,1.07855,0.046398046,Meziani:1984is
26,56,0.48,60,0.275,15210,1.12426,0.048323471,Meziani:1984is
26,56,0.48,60,0.285,15851,1.12927,0.049145164,Meziani:1984is
26,56,0.48,60,0.295,16586,1.22995,0.05323767,Meziani:1984is
26,56,0.48,60,0.305,17337,1.1363,0.052892657,Meziani:1984is
26,56,0.48,60,0.315,18017,1.17667,0.056613199,Meziani:1984is
26,56,0.48,60,0.325,18549,1.21839,0.062537064,Meziani:1984is
26,56,0.56,60,0.055,2765.9,1.45703,0.045916338,Meziani:1984is
26,56,0.56,60,0.065,3823.3,1.46993,0.044202652,Meziani:1984is
26,56,0.56,60,0.075,6222.7,1.17152,0.034550918,Meziani:1984is
26,56,0.56,60,0.085,8618.9,1.05466,0.030746383,Meziani:1984is
26,56,0.56,60,0.095,11022,0.98893,0.028579205,Meziani:1984is
26,56,0.56,60,0.105,13337,1.00472,0.028717103,Meziani:1984is
26,56,0.56,60,0.115,15383,0.9816,0.028277969,Meziani:1984is
26,56,0.56,60,0.125,16997,0.95899,0.027475437,Meziani:1984is
26,56,0.56,60,0.135,18091,0.94522,0.02979382,Meziani:1984is
26,56,0.56,60,0.145,18657,0.94335,0.030069143,Meziani:1984is
26,56,0.56,60,0.155,18751,0.95995,0.031038345,Meziani:1984is
26,56,0.56,60,0.165,18460,0.99133,0.032394366,Meziani:1984is
26,56,0.56,60,0.175,17884,0.97853,0.032878551,Meziani:1984is
26,56,0.56,60,0.185,17119,0.97552,0.033763654,Meziani:1984is
26,56,0.56,60,0.195,16248,1.02166,0.035758247,Meziani:1984is
26,56,0.56,60,0.205,15342,1.05592,0.037478816,Meziani:1984is
26,56,0.56,60,0.215,14458,0.95449,0.034237101,Meziani:1984is
26,56,0.56,60,0.225,13639,0.92382,0.034313366,Meziani:1984is
26,56,0.56,60,0.235,12923,0.89762,0.034357347,Meziani:1984is
26,56,0.56,60,0.245,12337,0.91594,0.035421902,Meziani:1984is
26,56,0.56,60,0.255,11905,0.90718,0.035783284,Meziani:1984is
26,56,0.56,60,0.265,11641,0.94494,0.037110214,Meziani:1984is
26,56,0.56,60,0.275,11555,0.98659,0.038424924,Meziani:1984is
26,56,0.56,60,0.285,11641,0.96212,0.039429602,Meziani:1984is
26,56,0.56,60,0.295,11886,0.99276,0.040215379,Meziani:1984is
26,56,0.56,60,0.305,12266,0.98647,0.040110876,Meziani:1984is
26,56,0.56,60,0.315,12744,0.95731,0.039626491,Meziani:1984is
26,56,0.56,60,0.325,13274,1.05469,0.042187735,Meziani:1984is
26,56,0.56,60,0.335,13807,1.04295,0.083291084,Meziani:1984is
26,56,0.56,60,0.345,14291,1.04261,0.042754181,Meziani:1984is
26,56,0.56,60,0.355,14679,1.03549,0.043395327,Meziani:1984is
26,56,0.56,60,0.365,14933,1.02458,0.044130449,Meziani:1984is
26,56,0.56,60,0.375,15027,1.10468,0.048046849,Meziani:1984is
26,56,0.56,60,0.385,14950,1.05686,0.049966555,Meziani:1984is
26,56,0.56,60,0.395,14705,1.08807,0.054131248,Meziani:1984is
26,56,0.56,90,0.095,121.95,0.97581,0.036572366,Meziani:1984is
26,56,0.56,90,0.105,169.06,1.31314,0.042056075,Meziani:1984is
26,56,0.56,90,0.115,234.02,1.49133,0.044013332,Meziani:1984is
26,56,0.56,90,0.125,370.51,1.44126,0.039675043,Meziani:1984is
26,56,0.56,90,0.135,583.54,1.27155,0.041985125,Meziani:1984is
26,56,0.56,90,0.145,820.5,1.19561,0.038147471,Meziani:1984is
26,56,0.56,90,0.155,1099.9,1.19102,0.036639695,Meziani:1984is
26,56,0.56,90,0.165,1420.3,1.13356,0.034499754,Meziani:1984is
26,56,0.56,90,0.175,1769.6,1.08499,0.033001808,Meziani:1984is
26,56,0.56,90,0.185,2127.2,1.08123,0.032719067,Meziani:1984is
26,56,0.56,90,0.195,2468.1,1.09801,0.033223937,Meziani:1984is
26,56,0.56,90,0.205,2769.1,1.07977,0.033115453,Meziani:1984is
26,56,0.56,90,0.215,3013.4,1.04865,0.033151921,Meziani:1984is
26,56,0.56,90,0.225,3193.7,0.98319,0.032250994,Meziani:1984is
26,56,0.56,90,0.235,3310.8,1.02996,0.033828682,Meziani:1984is
26,56,0.56,90,0.245,3371.5,1.01142,0.034109447,Meziani:1984is
26,56,0.56,90,0.255,3385.8,1.0101,0.034851438,Meziani:1984is
26,56,0.56,90,0.265,3365.8,1.04284,0.036246955,Meziani:1984is
26,56,0.56,90,0.275,3323.9,1.04696,0.037305575,Meziani:1984is
26,56,0.56,90,0.285,3273.5,0.97755,0.038185428,Meziani:1984is
26,56,0.56,90,0.295,3227,1.02572,0.040285095,Meziani:1984is
26,56,0.56,90,0.305,3196.3,0.94171,0.039107718,Meziani:1984is
26,56,0.56,90,0.315,3193,0.97401,0.040400877,Meziani:1984is
26,56,0.56,90,0.325,3225.3,1.03246,0.042786718,Meziani:1984is
26,56,0.56,90,0.335,3300.6,1.01497,0.043325456,Meziani:1984is
26,56,0.56,90,0.345,3422.3,0.98764,0.043537972,Meziani:1984is
26,56,0.56,90,0.355,3589.8,0.98334,0.043735027,Meziani:1984is
26,56,0.56,90,0.365,3797.5,1.04806,0.046082949,Meziani:1984is
26,56,0.56,90,0.375,4033.8,1.10318,0.048589419,Meziani:1984is
26,56,0.56,90,0.385,4283.5,1.01786,0.04785806,Meziani:1984is
26,56,0.56,90,0.395,4528.1,1.00263,0.048364656,Meziani:1984is
26,56,0.56,90,0.405,4747.4,1.01951,0.050343346,Meziani:1984is
26,56,0.56,90,0.415,4922.9,0.96488,0.050579943,Meziani:1984is
26,56,0.56,90,0.425,5039.8,1.02187,0.054962499,Meziani:1984is
26,56,0.62,60,0.065,1366.2,1.44196,0.056799883,Meziani:1984is
26,56,0.62,60,0.075,1878.2,1.51209,0.044350974,Meziani:1984is
26,56,0.62,60,0.085,2868,1.41562,0.040097629,Meziani:1984is
26,56,0.62,60,0.095,4305.7,1.21699,0.03414079,Meziani:1984is
26,56,0.62,60,0.105,5741,1.1113,0.031005051,Meziani:1984is
26,56,0.62,60,0.115,7246,1.08198,0.030085564,Meziani:1984is
26,56,0.62,60,0.125,8747.4,1.00144,0.02892288,Meziani:1984is
26,56,0.62,60,0.135,10139,0.96262,0.028010652,Meziani:1984is
26,56,0.62,60,0.145,11318,0.95423,0.027831772,Meziani:1984is
26,56,0.62,60,0.155,12213,0.958,0.028084828,Meziani:1984is
26,56,0.62,60,0.165,12799,0.99227,0.029299164,Meziani:1984is
26,56,0.62,60,0.175,13086,1.00871,0.03018493,Meziani:1984is
26,56,0.62,60,0.185,13112,0.99908,0.03004881,Meziani:1984is
26,56,0.62,60,0.195,12928,1.00557,0.032874381,Meziani:1984is
26,56,0.62,60,0.205,12590,0.97697,0.032803813,Meziani:1984is
26,56,0.62,60,0.215,12149,0.99597,0.033994567,Meziani:1984is
26,56,0.62,60,0.225,11655,0.99528,0.034749035,Meziani:1984is
26,56,0.62,60,0.235,11146,0.95101,0.03454154,Meziani:1984is
26,56,0.62,60,0.245,10659,0.90815,0.034243362,Meziani:1984is
26,56,0.62,60,0.255,10221,1.03708,0.037765385,Meziani:1984is
26,56,0.62,60,0.265,9855.7,0.95884,0.036730014,Meziani:1984is
26,56,0.62,60,0.275,9583.6,0.90884,0.036103343,Meziani:1984is
26,56,0.62,60,0.285,9418.7,0.9152,0.036523087,Meziani:1984is
26,56,0.62,60,0.295,9367.7,0.92872,0.036935427,Meziani:1984is
26,56,0.62,60,0.305,9436.3,0.88594,0.036031072,Meziani:1984is
26,56,0.62,60,0.315,9616.5,0.88598,0.035979826,Meziani:1984is
26,56,0.62,60,0.325,9894.6,0.91363,0.036585612,Meziani:1984is
26,56,0.62,60,0.335,10249,0.96205,0.037662211,Meziani:1984is
26,56,0.62,60,0.345,10652,0.93785,0.036800601,Meziani:1984is
26,56,0.62,60,0.355,11069,0.95763,0.03731141,Meziani:1984is
26,56,0.62,60,0.365,11468,0.93303,0.037059644,Meziani:1984is
26,56,0.62,60,0.375,11813,0.93964,0.037416406,Meziani:1984is
26,56,0.62,60,0.385,12076,0.99371,0.039582643,Meziani:1984is
26,56,0.62,60,0.395,12235,0.97262,0.07862689,Meziani:1984is
26,56,0.62,60,0.405,12276,0.96937,0.041218638,Meziani:1984is
26,56,0.62,60,0.415,12194,0.98409,0.042807938,Meziani:1984is
26,56,0.62,60,0.425,11995,1.01709,0.045518966,Meziani:1984is
26,56,0.62,60,0.435,11693,1.12033,0.05054306,Meziani:1984is
26,56,0.62,60,0.445,11305,1.02609,0.050597081,Meziani:1984is
26,56,0.62,60,0.455,10854,1.10558,0.056937535,Meziani:1984is
26,56,0.62,60,0.465,10362,1.16773,0.065624397,Meziani:1984is
26,56,0.9,85,0.3253,84.396,0.9882,0.022631404,Chen:1990kq
26,56,0.9,85,0.3593,191.62,1.08026,0.017430331,Chen:1990kq
26,56,0.9,85,0.3903,335.61,1.08459,0.013944757,Chen:1990kq
26,56,0.9,85,0.4203,476.46,1.14175,0.01452378,Chen:1990kq
26,56,0.9,85,0.4483,577.42,1.17592,0.014963112,Chen:1990kq
26,56,0.9,85,0.4753,646.08,1.21657,0.015369614,Chen:1990kq
26,56,0.9,85,0.5003,698.86,1.26921,0.01616919,Chen:1990kq
26,56,0.9,85,0.5233,753.49,1.34043,0.020438227,Chen:1990kq
26,56,0.9,85,0.5453,822.55,1.32515,0.023463619,Chen:1990kq
26,56,0.9,85,0.5663,908.4,1.35403,0.024878908,Chen:1990kq
26,56,0.9,85,0.5863,1005.2,1.28333,0.026462396,Chen:1990kq
26,56,0.9,85,0.6043,1097.1,1.30344,0.031446541,Chen:1990kq
26,56,0.9,85,0.6333,1230,1.37398,0.027317073,Chen:1990kq
26,56,0.9,85,0.6633,1318.1,1.53251,0.031332979,Chen:1990kq
26,56,0.9,85,0.6933,1353.3,1.803,0.040567502,Chen:1990kq
26,56,0.961,37.5,0.077,4261.6,1.08175,0.088933734,Sealock:1989nx
26,56,0.961,37.5,0.087,6111.5,1.22392,0.084594617,Sealock:1989nx
26,56,0.961,37.5,0.097,9000.4,1.22217,0.068996933,Sealock:1989nx
26,56,0.961,37.5,0.107,11771,1.17237,0.058533684,Sealock:1989nx
26,56,0.961,37.5,0.117,14660,1.10505,0.051159618,Sealock:1989nx
26,56,0.961,37.5,0.127,17572,1.04143,0.044730253,Sealock:1989nx
26,56,0.961,37.5,0.137,20346,1.02723,0.033716701,Sealock:1989nx
26,56,0.961,37.5,0.147,22807,0.91639,0.036743105,Sealock:1989nx
26,56,0.961,37.5,0.157,24818,1.03957,0.048754936,Sealock:1989nx
26,56,0.961,37.5,0.167,26300,0.97338,0.04486692,Sealock:1989nx
26,56,0.961,37.5,0.177,27234,0.92164,0.042961005,Sealock:1989nx
26,56,0.961,37.5,0.187,27657,1.00155,0.032469176,Sealock:1989nx
26,56,0.961,37.5,0.197,27637,1.07826,0.031696639,Sealock:1989nx
26,56,0.961,37.5,0.207,27261,1.03811,0.043652104,Sealock:1989nx
26,56,0.961,37.5,0.217,26616,1.12338,0.045461377,Sealock:1989nx
26,56,0.961,37.5,0.227,25787,1.11684,0.046147284,Sealock:1989nx
26,56,0.961,37.5,0.237,24851,1.08245,0.032714981,Sealock:1989nx
26,56,0.961,37.5,0.247,23870,1.08504,0.034059489,Sealock:1989nx
26,56,0.961,37.5,0.257,22901,1.06109,0.041744902,Sealock:1989nx
26,56,0.961,37.5,0.267,21983,1.02352,0.041805031,Sealock:1989nx
26,56,0.961,37.5,0.277,21159,1.06338,0.043007704,Sealock:1989nx
26,56,0.961,37.5,0.287,20450,1.03178,0.030660147,Sealock:1989nx
26,56,0.961,37.5,0.297,19879,0.96584,0.035313648,Sealock:1989nx
26,56,0.961,37.5,0.307,19465,0.98639,0.043257128,Sealock:1989nx
26,56,0.961,37.5,0.317,19204,0.92689,0.041814205,Sealock:1989nx
26,56,0.961,37.5,0.327,19100,1.02094,0.03382199,Sealock:1989nx
26,56,0.961,37.5,0.337,19146,0.93492,0.030920297,Sealock:1989nx
26,56,0.961,37.5,0.347,19320,0.93685,0.038509317,Sealock:1989nx
26,56,0.961,37.5,0.357,19601,1.01015,0.038977603,Sealock:1989nx
26,56,0.961,37.5,0.367,19963,0.95677,0.033612183,Sealock:1989nx
26,56,0.961,37.5,0.377,20371,0.98179,0.031957194,Sealock:1989nx
26,56,0.961,37.5,0.387,20793,0.88491,0.045447987,Sealock:1989nx
26,56,0.961,37.5,0.397,21196,0.87752,0.04472542,Sealock:1989nx
26,56,0.961,37.5,0.407,21548,0.99777,0.037636904,Sealock:1989nx
26,56,0.961,37.5,0.417,21824,1.00348,0.033541056,Sealock:1989nx
26,56,0.961,37.5,0.427,22004,1.00891,0.039765497,Sealock:1989nx
26,56,0.961,37.5,0.437,22070,0.9787,0.039238786,Sealock:1989nx
26,56,0.961,37.5,0.447,22016,1.01744,0.027434593,Sealock:1989nx
26,56,0.961,37.5,0.457,21842,0.95229,0.036580899,Sealock:1989nx
26,56,0.961,37.5,0.467,21551,1.01619,0.037724468,Sealock:1989nx
26,56,0.961,37.5,0.477,21156,1.01626,0.032283986,Sealock:1989nx
26,56,0.961,37.5,0.487,20669,0.94828,0.03314142,Sealock:1989nx
26,56,0.961,37.5,0.497,20108,0.98468,0.040580863,Sealock:1989nx
26,56,0.961,37.5,0.507,19492,1.07223,0.0364252,Sealock:1989nx
26,56,0.961,37.5,0.517,18837,0.99804,0.034771991,Sealock:1989nx
26,56,0.961,37.5,0.527,18163,1.00754,0.046082696,Sealock:1989nx
26,56,0.961,37.5,0.537,17485,1.02373,0.038718902,Sealock:1989nx
26,56,0.961,37.5,0.547,16818,1.01677,0.037519325,Sealock:1989nx
26,56,0.961,37.5,0.557,16173,1.05732,0.045198788,Sealock:1989nx
26,56,0.961,37.5,0.567,15559,0.98978,0.036120573,Sealock:1989nx
26,56,0.961,37.5,0.577,14983,1.08123,0.05119135,Sealock:1989nx
26,56,0.961,37.5,0.587,14450,1.12111,0.052456747,Sealock:1989nx
26,56,0.961,37.5,0.597,13961,1.03144,0.038679178,Sealock:1989nx
26,56,0.961,37.5,0.607,13519,1.05037,0.049485909,Sealock:1989nx
26,56,0.961,37.5,0.617,13122,1.08977,0.041609511,Sealock:1989nx
26,56,0.961,37.5,0.627,12768,1.20614,0.059445489,Sealock:1989nx
26,56,0.961,37.5,0.637,12455,1.0839,0.048173424,Sealock:1989nx
26,56,0.961,37.5,0.647,12179,1.15773,0.053288447,Sealock:1989nx
26,56,0.961,37.5,0.657,11937,1.15607,0.058473653,Sealock:1989nx
26,56,0.961,37.5,0.667,11722,0.99812,0.127111414,Sealock:1989nx
26,56,1.1,85,0.5008,63.173,1.00834,0.020895003,Chen:1990kq
26,56,1.1,85,0.5358,118.43,1.04703,0.01351009,Chen:1990kq
26,56,1.1,85,0.5688,176.34,1.06045,0.013723489,Chen:1990kq
26,56,1.1,85,0.5998,225.56,1.09062,0.015117929,Chen:1990kq
26,56,1.1,85,0.6288,266.84,1.12802,0.01693899,Chen:1990kq
26,56,1.1,85,0.6568,306.37,1.18158,0.017397265,Chen:1990kq
26,56,1.1,85,0.6828,347.01,1.1844,0.019884153,Chen:1990kq
26,56,1.1,85,0.7068,390.62,1.21602,0.020915468,Chen:1990kq
26,56,1.1,85,0.7298,438.36,1.29574,0.026006022,Chen:1990kq
26,56,1.1,85,0.7518,487.39,1.2967,0.027698558,Chen:1990kq
26,56,1.1,85,0.7718,531.9,1.36868,0.030080842,Chen:1990kq
26,56,1.1,85,0.7918,573.54,1.40008,0.030860969,Chen:1990kq
26,56,1.108,37.5,0.125,3652.1,1.16645,0.089263711,Sealock:1989nx
26,56,1.108,37.5,0.135,4777.1,1.01107,0.065939587,Sealock:1989nx
26,56,1.108,37.5,0.145,6015,1.07232,0.059850374,Sealock:1989nx
26,56,1.108,37.5,0.155,7354,1.02257,0.053168344,Sealock:1989nx
26,56,1.108,37.5,0.165,8752.1,1.04089,0.049359582,Sealock:1989nx
26,56,1.108,37.5,0.175,10148,1.06425,0.045821837,Sealock:1989nx
26,56,1.108,37.5,0.185,11471,1.01996,0.033475721,Sealock:1989nx
26,56,1.108,37.5,0.195,12654,1.05895,0.025762605,Sealock:1989nx
26,56,1.108,37.5,0.205,13647,0.99656,0.0279915,Sealock:1989nx
26,56,1.108,37.5,0.215,14418,1.00569,0.03017062,Sealock:1989nx
26,56,1.108,37.5,0.225,14961,0.94245,0.029075597,Sealock:1989nx
26,56,1.108,37.5,0.235,15287,1.00739,0.029044286,Sealock:1989nx
26,56,1.108,37.5,0.245,15418,0.99235,0.025619406,Sealock:1989nx
26,56,1.108,37.5,0.255,15387,1.00084,0.021901605,Sealock:1989nx
26,56,1.108,37.5,0.265,15228,1.04413,0.028303126,Sealock:1989nx
26,56,1.108,37.5,0.275,14971,1.00194,0.035067798,Sealock:1989nx
26,56,1.108,37.5,0.285,14651,1.017,0.034673401,Sealock:1989nx
26,56,1.108,37.5,0.295,14295,1.01434,0.035396992,Sealock:1989nx
26,56,1.108,37.5,0.305,13929,1.09843,0.028645272,Sealock:1989nx
26,56,1.108,37.5,0.315,13575,1.01657,0.025709024,Sealock:1989nx
26,56,1.108,37.5,0.325,13255,0.95058,0.032666918,Sealock:1989nx
26,56,1.108,37.5,0.335,12980,0.99384,0.033436055,Sealock:1989nx
26,56,1.108,37.5,0.345,12762,0.9638,0.03298856,Sealock:1989nx
26,56,1.108,37.5,0.355,12610,1.00714,0.028628073,Sealock:1989nx
26,56,1.108,37.5,0.365,12527,0.98188,0.023309651,Sealock:1989nx
26,56,1.108,37.5,0.375,12513,0.97499,0.032286422,Sealock:1989nx
26,56,1.108,37.5,0.385,12566,0.947,0.031831927,Sealock:1989nx
26,56,1.108,37.5,0.395,12678,1.01751,0.0329705,Sealock:1989nx
26,56,1.108,37.5,0.405,12841,0.96566,0.027022818,Sealock:1989nx
26,56,1.108,37.5,0.415,13041,0.95085,0.023694502,Sealock:1989nx
26,56,1.108,37.5,0.425,13265,0.97248,0.032114587,Sealock:1989nx
26,56,1.108,37.5,0.435,13498,0.93347,0.030893466,Sealock:1989nx
26,56,1.108,37.5,0.445,13725,0.92532,0.030601093,Sealock:1989nx
26,56,1.108,37.5,0.455,13933,0.95457,0.023038829,Sealock:1989nx
26,56,1.108,37.5,0.465,14107,0.92153,0.025519246,Sealock:1989nx
26,56,1.108,37.5,0.475,14238,0.94817,0.030411575,Sealock:1989nx
26,56,1.108,37.5,0.485,14317,0.93595,0.029824684,Sealock:1989nx
26,56,1.108,37.5,0.495,14339,0.92754,0.023362857,Sealock:1989nx
26,56,1.108,37.5,0.505,14302,0.9649,0.023563138,Sealock:1989nx
26,56,1.108,37.5,0.515,14207,0.92208,0.028788625,Sealock:1989nx
26,56,1.108,37.5,0.525,14056,0.9889,0.029667046,Sealock:1989nx
26,56,1.108,37.5,0.535,13855,0.97438,0.023312883,Sealock:1989nx
26,56,1.108,37.5,0.545,13610,0.96253,0.023291697,Sealock:1989nx
26,56,1.108,37.5,0.555,13329,0.96031,0.029334534,Sealock:1989nx
26,56,1.108,37.5,0.565,13022,0.95991,0.029411765,Sealock:1989nx
26,56,1.108,37.5,0.575,12696,1.00032,0.022448015,Sealock:1989nx
26,56,1.108,37.5,0.585,12361,0.96271,0.026939568,Sealock:1989nx
26,56,1.108,37.5,0.595,12024,0.998,0.030272788,Sealock:1989nx
26,56,1.108,37.5,0.605,11691,1.01788,0.027713626,Sealock:1989nx
26,56,1.108,37.5,0.615,11370,1.02902,0.023834653,Sealock:1989nx
26,56,1.108,37.5,0.625,11064,1.03941,0.029826464,Sealock:1989nx
26,56,1.108,37.5,0.635,10778,1.03915,0.029968454,Sealock:1989nx
26,56,1.108,37.5,0.645,10514,1.07476,0.022065817,Sealock:1989nx
26,56,1.108,37.5,0.655,10274,1.0512,0.029102589,Sealock:1989nx
26,56,1.108,37.5,0.665,10058,1.08371,0.02972758,Sealock:1989nx
26,56,1.108,37.5,0.675,9865.6,1.09471,0.022502433,Sealock:1989nx
26,56,1.108,37.5,0.685,9696,1.13449,0.027227723,Sealock:1989nx
26,56,1.108,37.5,0.695,9547.6,1.14165,0.025765637,Sealock:1989nx
26,56,1.108,37.5,0.705,9417.8,1.18924,0.025058931,Sealock:1989nx
26,56,1.108,37.5,0.715,9304.2,1.10703,0.033425765,Sealock:1989nx
26,56,1.108,37.5,0.725,9204,1.1734,0.034006953,Sealock:1989nx
26,56,1.108,37.5,0.735,9115.2,0.92263,0.067469721,Sealock:1989nx
26,56,1.2047,45,0.1703,185.09,1.08056,0.021935275,E04001
26,56,1.2047,45,0.1858,312.45,1.04977,0.024835974,E04001
26,56,1.2047,45,0.2013,485.23,1.03662,0.017167117,E04001
26,56,1.2047,45,0.2168,708.72,1.05542,0.01537984,E04001
26,56,1.2047,45,0.2323,995.31,1.07504,0.013965498,E04001
26,56,1.2047,45,0.2478,1346.9,1.0914,0.01269582,E04001
26,56,1.2047,45,0.2633,1752.2,1.09577,0.01130008,E04001
26,56,1.2047,45,0.2787,2182.4,1.0493,0.009255865,E04001
26,56,1.2047,45,0.2942,2607.1,1.03563,0.007556289,E04001
26,56,1.2047,45,0.3097,2987.5,1.06444,0.006828452,E04001
26,56,1.2047,45,0.3407,3527.3,1.02628,0.006010263,E04001
26,56,1.2047,45,0.3562,3677.9,1.01145,0.005628212,E04001
26,56,1.2047,45,0.3717,3762.3,1.00205,0.005395636,E04001
26,56,1.2047,45,0.3872,3797.2,1.01127,0.00537238,E04001
26,56,1.2047,45,0.4027,3800.9,1.01292,0.00534084,E04001
26,56,1.2047,45,0.4182,3790.6,1.00776,0.005328972,E04001
26,56,1.2047,45,0.4337,3781.5,0.99167,0.005288907,E04001
26,56,1.2047,45,0.4491,3785.5,1.01176,0.005785233,E04001
26,56,1.2047,45,0.4801,3863.5,1.11298,0.006004918,E04001
26,56,1.2047,45,0.4956,3942.4,1.111,0.005960836,E04001
26,56,1.2047,45,0.5111,4044.3,1.10526,0.006033183,E04001
26,56,1.2047,45,0.5266,4163.2,1.10492,0.005668716,E04001
26,56,1.2047,45,0.5421,4289.2,1.10743,0.005525506,E04001
26,56,1.2047,45,0.5576,4411.7,1.08122,0.005281411,E04001
26,56,1.2047,45,0.5731,4520.3,1.12824,0.005995177,E04001
26,56,1.2047,45,0.5886,4607.1,1.07443,0.00586052,E04001
26,56,1.2047,45,0.604,4665.4,1.05886,0.005165688,E04001
26,56,1.2047,45,0.6195,4693.1,1.04409,0.005049967,E04001
26,56,1.2047,45,0.635,4690.4,1.03829,0.005010234,E04001
26,56,1.2047,45,0.6505,4660.2,1.02571,0.004978327,E04001
26,56,1.2047,45,0.666,4608.4,1.02422,0.005077684,E04001
26,56,1.2047,45,0.697,4468.8,0.96446,0.004385965,E04001
26,56,1.2047,45,0.7125,4395.7,0.96685,0.004390655,E04001
26,56,1.2047,45,0.728,4328.9,0.96329,0.004412206,E04001
26,56,1.2047,45,0.7435,4272.7,0.97128,0.004446837,E04001
26,56,1.2047,45,0.759,4229.7,1.00007,0.005414096,E04001
26,56,1.2047,45,0.7744,4200.2,1.00471,0.004428361,E04001
26,56,1.2047,45,0.7899,4183.5,1.0159,0.004302617,E04001
26,56,1.2047,45,0.8054,4178.2,1.02197,0.004332009,E04001
26,56,1.2047,45,0.8209,4180.4,1.00469,0.00435365,E04001
26,56,1.2047,55,0.34,366.95,1.10642,0.014661398,E04001
26,56,1.2047,55,0.3538,467.5,1.12086,0.013219251,E04001
26,56,1.2047,55,0.3676,578.95,1.07781,0.011382676,E04001
