Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.1603,140,0.0638,17484,1.08831,0.013721688,Altemus:1973
26,56,0.1603,140,0.0745,14812,1.18897,0.017111801,Altemus:1973
26,56,0.1603,140,0.0851,11940,1.11977,0.021443886,Altemus:1973
26,56,0.1603,140,0.0957,9231.9,1.12772,0.031149601,Altemus:1973
26,56,0.16,140,0.015,7737.5,0.87108,0.035541195,Meziani:1984is
26,56,0.16,140,0.025,12989,0.87767,0.037108322,Meziani:1984is
26,56,0.16,140,0.035,17387,0.89147,0.040374993,Meziani:1984is
26,56,0.16,140,0.045,19304,0.91173,0.043980522,Meziani:1984is
26,56,0.16,140,0.055,19028,1.02481,0.053605213,Meziani:1984is
26,56,0.16,140,0.065,17217,1.12099,0.063890341,Meziani:1984is
26,56,0.16,140,0.075,14652,1.09883,0.070980071,Meziani:1984is
26,56,0.16,60,0.015,355350,2.2316,0.11397214,Meziani:1984is
26,56,0.16,60,0.025,347540,1.80986,0.102721989,Meziani:1984is
26,56,0.16,60,0.035,281000,1.91103,0.13024911,Meziani:1984is
26,56,0.16,60,0.045,202990,1.77841,0.171929652,Meziani:1984is
26,56,0.16,60,0.055,137860,1.79893,0.26838822,Meziani:1984is
26,56,0.1737,180,0.026,5352.4,1.10978,0.022606681,Hotta:1984
26,56,0.1737,180,0.036,7122.9,1.2158,0.018391386,Hotta:1984
26,56,0.1737,180,0.0459,8381.9,1.2527,0.019685274,Hotta:1984
26,56,0.1737,180,0.0558,8724.5,1.40982,0.018568399,Hotta:1984
26,56,0.1737,180,0.0658,8118.7,1.62588,0.02180152,Hotta:1984
26,56,0.1737,180,0.0757,6874.8,1.9346,0.02734625,Hotta:1984
26,56,0.1737,180,0.0857,5355.3,2.33414,0.036039064,Hotta:1984
26,56,0.1737,180,0.0956,3893.6,2.52209,0.047770701,Hotta:1984
26,56,0.1737,180,0.1055,2641.8,3.03202,0.070028011,Hotta:1984
26,56,0.1737,180,0.1155,1645.1,4.20035,0.117318096,Hotta:1984
26,56,0.1737,180,0.1254,910.89,7.30055,0.306293844,Hotta:1984
26,56,0.1737,180,0.1353,390.26,21.98534,0.66109773,Hotta:1984
26,56,0.1754,160,0.0259,5739.7,1.09905,0.022502918,Altemus:1973
26,56,0.1754,160,0.0364,10411,0.85447,0.015429834,Altemus:1973
26,56,0.1754,160,0.047,13045,0.89153,0.014742047,Altemus:1973
26,56,0.1754,160,0.0576,14126,0.96114,0.015462268,Altemus:1973
26,56,0.1754,160,0.0685,13782,1.02873,0.019079959,Altemus:1973
26,56,0.1754,160,0.0793,12478,1.12374,0.020048085,Altemus:1973
26,56,0.1754,160,0.0898,10756,1.12226,0.023221458,Altemus:1973
26,56,0.1754,160,0.1003,8923.4,1.11378,0.028148464,Altemus:1973
26,56,0.1754,160,0.111,7128.1,1.13228,0.036215822,Altemus:1973
