Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.2008,160,0.0058,300,24,Altemus:1973
26,56,0.2008,160,0.0149,1930,55.6,Altemus:1973
26,56,0.2008,160,0.026,3790,93.2,Altemus:1973
26,56,0.2008,160,0.0362,5470,116,Altemus:1973
26,56,0.2008,160,0.0463,6960,136,Altemus:1973
26,56,0.2008,160,0.0564,8530,157,Altemus:1973
26,56,0.2008,160,0.0666,9780,175,Altemus:1973
26,56,0.2008,160,0.0771,10400,190,Altemus:1973
26,56,0.2008,160,0.0873,10300,199,Altemus:1973
26,56,0.2008,160,0.0976,9880,207,Altemus:1973
26,56,0.2008,160,0.1078,8560,206,Altemus:1973
26,56,0.2008,160,0.1176,6340,194,Altemus:1973
26,56,0.2008,160,0.1284,5440,200,Altemus:1973
26,56,0.2008,160,0.1379,4280,209,Altemus:1973
26,56,0.2008,160,0.0026,296,24,Altemus:1973
26,56,0.2203,140,0.0064,458,30.7,Altemus:1973
26,56,0.2203,140,0.0145,2050,84.1,Altemus:1973
26,56,0.2203,140,0.0247,3960,142,Altemus:1973
26,56,0.2203,140,0.0349,5540,190,Altemus:1973
26,56,0.2203,140,0.0451,7540,282,Altemus:1973
26,56,0.2203,140,0.0554,9390,341,Altemus:1973
26,56,0.2203,140,0.0656,11000,392,Altemus:1973
26,56,0.2203,140,0.0758,11700,420,Altemus:1973
26,56,0.2203,140,0.0861,12500,451,Altemus:1973
26,56,0.2203,140,0.0964,12800,468,Altemus:1973
26,56,0.2203,140,0.1066,11200,430,Altemus:1973
26,56,0.2203,140,0.1169,9850,347,Altemus:1973
26,56,0.2251,160,0.0064,680,26,Altemus:1973
26,56,0.2251,160,0.011,659,26,Altemus:1973
26,56,0.2251,160,0.0227,1960,53.6,Altemus:1973
26,56,0.2251,160,0.0332,3230,71.4,Altemus:1973
26,56,0.2251,160,0.0437,4480,87.2,Altemus:1973
26,56,0.2251,160,0.0543,5880,103,Altemus:1973
26,56,0.2251,160,0.0649,6950,117,Altemus:1973
26,56,0.2251,160,0.0755,8060,131,Altemus:1973
26,56,0.2251,160,0.0861,8830,143,Altemus:1973
26,56,0.2251,160,0.0967,9010,152,Altemus:1973
26,56,0.2251,160,0.1073,8780,158,Altemus:1973
26,56,0.2251,160,0.1174,7890,159,Altemus:1973
26,56,0.2251,160,0.1287,6460,156,Altemus:1973
26,56,0.2251,160,0.1393,5480,155,Altemus:1973
26,56,0.2251,160,0.1499,4670,159,Altemus:1973
26,56,0.2251,160,0.1603,4330,173,Altemus:1973
