Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ratio,ratio_error,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,ExA,nuA,Q2effA,qv2A,epsilonA
26,56,0.1503,90.0,0.00362,7822.884165,156.4576833,Altemus:1973,15.26802615,0.145700738,0.0089,0.15919999999999998,0.14667999999999998,0.15557999999999997,1.0,0.0,0.0,7822.884165,156.4576833,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0031881824072823185,4.433234524286382,1.1219362118521883,0.044092007999999995,0.049536672,0.049549776399999995,0.2225977906449208,0.8376126470490001,0.3332745571724182,-0.0002639868274261531,-29633615.590870157,-592672.3118174032,0.0011792636416784277,0.0011133374707554503,317.2408920579168,282.7619687345579,2481738.750970352,49634.77501940704,6.3735805031672745,0.12747161006334548,2212014.1276777983,44240.28255355597,5.680876003320386,0.11361752006640774,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.00742,36746.99551,734.9399103,Altemus:1973,2.591994221,0.04830599,0.0089,0.15919999999999998,0.14287999999999998,0.15177999999999997,1.0,0.0,0.0,36746.99551,734.9399103,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.006988182407282319,4.433234524286382,1.1219362118521883,0.042949728,0.048326752,0.048381808400000004,0.21995865156888011,0.845953441849,0.333080358122296,-0.00021241172009880767,-172998907.46568212,-3459978.149784426,0.0011792636416784277,0.0011133374707554503,317.6107980982193,283.0916720068071,11671242.57164278,233424.85146461666,29.973986614535068,0.5994797323722698,10402768.400152532,208055.3680313598,26.71630195896026,0.5343260392519085,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.00961,53536.90908,1070.738182,Altemus:1973,1.645089369,0.02228556,0.0089,0.15919999999999998,0.14068999999999998,0.14958999999999997,1.0,0.0,0.0,53536.90908,1070.738182,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.009178182407282319,4.433234524286382,1.1219362118521883,0.042291414,0.047629456,0.0477218081,0.21845321718848637,0.850760373589,0.3329030073067796,-0.00018268389242024675,-293057632.8910459,-5861152.660010493,0.0011792636416784275,0.00111333747075545,317.949036105348,283.39314904583614,17022008.638045654,340440.1728880927,43.7157788416581,0.8743155771597836,15171993.254361818,303439.86520059366,38.96458495575996,0.7792916994063225,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.01869,111708.1714,2234.163428,Altemus:1973,0.85591769,0.013120795,0.0089,0.15919999999999998,0.13161,0.14051,1.0,0.0,0.0,111708.1714,2234.163428,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.018258182407282317,4.433234524286382,1.1219362118521883,0.039561966000000004,0.044738384,0.045087700099999996,0.21233864485768952,0.8706904832690001,0.3316072131938614,-5.954725668168844e-05,-1875958316.5541818,-37519166.33108363,0.0011792636416784277,0.0011133374707554503,320.43268244035414,285.60686343420224,35794949.01220885,715898.9802441769,91.92828578224771,1.8385657156449542,31904620.453524258,638092.409070485,81.93717682976347,1.6387435365952692,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.02479,133527.7029,2670.554058,Altemus:1973,0.681162021,0.011109305,0.0089,0.15919999999999998,0.12550999999999998,0.13440999999999997,1.0,0.0,0.0,133527.7029,2670.554058,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.024358182407282318,4.433234524286382,1.1219362118521883,0.037728305999999996,0.042796143999999994,0.0434106881,0.2083523172417336,0.884079653869,0.33017252555029214,2.2889633032452497e-05,5833544937.600656,116670898.75201312,0.001179263641678428,0.0011133374707554505,323.2081087337484,288.08064604686285,43157236.317870855,863144.7263574172,110.83604986971909,2.2167209973943818,38466746.916585565,769334.9383317113,98.78997459823624,1.975799491964725,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.03092,138744.0039,2774.880078,Altemus:1973,0.701788887,0.011414547,0.0089,0.15919999999999998,0.11937999999999999,0.12827999999999998,1.0,0.0,0.0,138744.0039,2774.880078,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.030488182407282318,4.433234524286382,1.1219362118521883,0.035885628,0.040844351999999993,0.041800398399999994,0.2044514573193353,0.897534672849,0.3282116851790048,0.00010529553976476927,1317662687.4220386,26353253.748440772,0.0011792636416784275,0.00111333747075545,327.0454543920449,291.50093466733756,45375595.79964715,907511.9159929431,116.53322195785182,2.3306644391570366,40444006.81633873,808880.1363267746,103.8679567757857,2.0773591355157137,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.040431817592717675,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.03703,130272.0555,2605.44111,Altemus:1973,0.731192884,0.01258213,0.0089,0.15919999999999998,0.11326999999999998,0.12216999999999999,1.0,0.0,0.0,130272.0555,2605.44111,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.03659818240728232,4.433234524286382,1.1219362118521883,0.034048962,0.038898928,0.0402701489,0.20067423576533186,0.9109457929090001,0.3256796729839487,0.00018679513602711927,697406036.7454475,13948120.73490895,0.0011792636416784275,0.00111333747075545,332.0772432246044,295.9858499231279,43260385.059642665,865207.7011928533,111.10095559729658,2.2220191119459316,38558685.06840039,771173.7013680078,99.02608938335418,1.9805217876670835,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04043181759271768,0.03781578927847869,0.039450521152329485,0.32399602324316373
26,56,0.1503,90.0,0.04315,118042.4638,2360.849275,Altemus:1973,0.789097389,0.014503255,0.0089,0.15919999999999998,0.10715,0.11605,1.0,0.0,0.0,118042.4638,2360.849275,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04271818240728232,4.433234524286382,1.1219362118521883,0.03220929,0.03695032,0.038812242500000003,0.19700822952354047,0.924378862429,0.32249952334634135,0.00026756229629383034,441177495.61533386,8823549.90856923,0.001179263641678428,0.0011133374707554505,338.52239013991596,301.73051423400824,39960016.98358051,799200.3393330878,102.62497817435438,2.0524995626176974,35617013.3038233,712340.2657747356,91.47131279855232,1.829426255196145,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04271818240728232,0.04315,0.036950319999999995,0.0388122425,0.32249952334634135
26,56,0.1503,90.0,0.04927,100799.2927,2015.985854,Altemus:1973,0.88445065,0.017867189,0.0089,0.15919999999999998,0.10102999999999998,0.10992999999999999,1.0,0.0,0.0,100799.2927,2015.985854,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04883818240728232,4.433234524286382,1.1219362118521883,0.030369617999999998,0.035001712,0.0374292449,0.1934663921718705,0.937811931949,0.3186022911529005,0.0003472089886194627,290313027.611376,5806260.552227519,0.0011792636416784277,0.0011133374707554503,346.61688001359386,308.9452647591872,34938736.34325103,698774.7268650206,89.72936763612913,1.7945873527225826,31141464.170740306,622829.2834148061,79.97724530880076,1.5995449061760152,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04883818240728232,0.04927,0.03500171199999999,0.03742924489999999,0.3186022911529005
26,56,0.1503,90.0,0.05542,81621.32732,1632.426546,Altemus:1973,0.916953969,0.022837168,0.0089,0.15919999999999998,0.09487999999999999,0.10378,1.0,0.0,0.0,81621.32732,1632.426546,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.054988182407282316,4.433234524286382,1.1219362118521883,0.028520928,0.033043552000000004,0.0361149284,0.1900392812025977,0.951310849849,0.3138831769262515,0.000425834743850916,191673714.97656724,3833474.2985920133,0.0011792636416784277,0.0011133374707554503,356.7182772183757,317.9488044418093,29115819.265867542,582316.3851746635,74.77500116969097,1.495500023027371,25951403.43834758,519028.06863977213,66.64817516340433,1.3329635029414655,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.054988182407282316,0.05542,0.033043552,0.036114928399999996,0.3138831769262515
