Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot_shifted,qe_shifted
26,56,0.3208,90,0.20297,8019.04404,337.0605433,Altemus:1973,0.1178,90,0.203,0.1966,1.1856,0.0756,7139.444,4152.2
26,56,0.3208,90,0.21356,8588.6472,383.9116228,Altemus:1973,0.1072,90,0.2136,0.2072,1.2123,0.0688,7207.72,3305.016
26,56,0.3208,90,0.23479,9272.72318,623.7491264,Altemus:1973,0.086,90,0.2348,0.2284,1.2658,0.0552,8217.04,2026.076
26,56,0.3208,90,0.25569,12925.4468,1685.309328,Altemus:1973,0.0651,90,0.2557,0.2493,1.3184,0.0418,10019.672,1142.336
26,56,0.3488,90,0.00971,863.377801,17.22829034,Altemus:1973,0.3391,90,0.0097,0.0022,0.662,0.2365,0,0
26,56,0.3488,90,0.0153,1012.887122,27.48891146,Altemus:1973,0.3335,90,0.0153,0.0078,0.6764,0.2326,1185.986348,0
26,56,0.3488,90,0.02537,2289.0348,50.72751342,Altemus:1973,0.3234,90,0.0254,0.0179,0.7023,0.2256,1699.455246,1394.415173
26,56,0.3488,90,0.05631,7305.51276,151.707361,Altemus:1973,0.2925,90,0.0563,0.0488,0.782,0.204,8815.104669,8581.851373
26,56,0.3488,90,0.0856,13410.8988,221.9875939,Altemus:1973,0.2632,90,0.0856,0.0781,0.8574,0.1836,14986.94065,14964.91028
26,56,0.3488,90,0.09665,14079.0728,232.4205327,Altemus:1973,0.2521,90,0.0966,0.0892,0.8858,0.1759,16255.67523,16218.00867
26,56,0.3488,90,0.10218,14463.8117,333.568594,Altemus:1973,0.2466,90,0.1022,0.0947,0.9001,0.172,16521.59796,16468.51013
26,56,0.3488,90,0.11232,14920.7565,348.2210085,Altemus:1973,0.2365,90,0.1123,0.1049,0.9262,0.165,16299.95091,16216.02056
26,56,0.3488,90,0.12245,14663.1862,364.9903158,Altemus:1973,0.2263,90,0.1225,0.115,0.9522,0.1579,16080.012,15955.888
26,56,0.3488,90,0.13259,14121.1031,379.9530816,Altemus:1973,0.2162,90,0.1326,0.1251,0.9783,0.1508,15785.952,15601.248
26,56,0.3488,90,0.14279,13367.7908,394.2755643,Altemus:1973,0.206,90,0.1428,0.1353,1.0046,0.1437,14735.708,14436.24
26,56,0.3488,90,0.15306,12337.5096,339.3356797,Altemus:1973,0.1957,90,0.1531,0.1456,1.031,0.1365,13125.528,12706.98
26,56,0.3488,90,0.16326,9947.27877,271.7578148,Altemus:1973,0.1855,90,0.1633,0.1558,1.0573,0.1294,11394.864,10771.176
26,56,0.3488,90,0.17346,8674.19176,259.2035372,Altemus:1973,0.1753,90,0.1735,0.166,1.0835,0.1223,9744.956,8902.192
26,56,0.3488,90,0.18373,8298.29,255.2788282,Altemus:1973,0.1651,90,0.1837,0.1763,1.11,0.1152,8440.484,7259.824
26,56,0.3488,90,0.19406,7754.0515,249.9990508,Altemus:1973,0.1547,90,0.1941,0.1866,1.1366,0.1079,7518.264,5907.772
26,56,0.3488,90,0.2044,7504.99503,294.9499669,Altemus:1973,0.1444,90,0.2044,0.1969,1.1632,0.1007,6981.156,4833.66
26,56,0.3488,90,0.2146,7983.92491,421.3225957,Altemus:1973,0.1342,90,0.2146,0.2071,1.1894,0.0936,6792.708,3992.612
26,56,0.3488,90,0.225,8816.12485,2677.583809,Altemus:1973,0.1238,90,0.225,0.2175,1.2162,0.0864,6900.608,3299.348
26,56,0.3488,90,0.23526,9537.21392,359.4692755,Altemus:1973,0.1135,90,0.2353,0.2278,1.2426,0.0792,7266.688,2732.184
26,56,0.3488,90,0.24553,10575.36233,443.9532683,Altemus:1973,0.1033,90,0.2455,0.2381,1.2691,0.072,7848.672,2249.52
26,56,0.3488,90,0.2558,11921.5174,708.7321596,Altemus:1973,0.093,90,0.2558,0.2483,1.2955,0.0649,8597.16,1831.96
26,56,0.3488,90,0.26613,12022.8212,913.4697187,Altemus:1973,0.0827,90,0.2661,0.2587,1.3221,0.0577,9452.56,1464.892
26,56,0.3488,90,0.27337,13252.4769,1316.848672,Altemus:1973,0.0754,90,0.2734,0.2659,1.3407,0.0526,10070.58,1234.948
26,56,0.3488,90,0.28048,14283.8358,1985.238672,Altemus:1973,0.0683,90,0.2805,0.273,1.359,0.0477,10655.788,1029.028
26,56,0.3726,90,0.01074,191.084994,12.59766034,Altemus:1973,0.3619,90,0.0107,0.0023,0.6309,0.2697,0,0
26,56,0.3726,90,0.04391,2894.59404,67.41269338,Altemus:1973,0.3287,90,0.0439,0.0354,0.7178,0.2449,2645.446326,2550.220507
26,56,0.3726,90,0.07438,7041.375,132.588723,Altemus:1973,0.2982,90,0.0744,0.0659,0.7977,0.2222,6941.529512,6933.21248
26,56,0.3726,90,0.10499,11207.8206,157.0420994,Altemus:1973,0.2676,90,0.105,0.0965,0.878,0.1994,10427.8362,10397.59244
26,56,0.3726,90,0.13572,12427.6428,234.421238,Altemus:1973,0.2369,90,0.1357,0.1272,0.9585,0.1765,13434.2,13289.38
26,56,0.3726,90,0.15619,11663.5896,245.0154722,Altemus:1973,0.2164,90,0.1562,0.1477,1.0122,0.1613,12243.244,11934.208
26,56,0.3726,90,0.17666,9456.13134,224.9696837,Altemus:1973,0.1959,90,0.1767,0.1682,1.0659,0.146,9643.088,8995.74
26,56,0.3726,90,0.1972,6852.71736,204.8743254,Altemus:1973,0.1754,90,0.1972,0.1887,1.1197,0.1307,7411.56,6184.048
26,56,0.3726,90,0.2178,6629.6466,191.1218407,Altemus:1973,0.1548,90,0.2178,0.2093,1.1737,0.1154,6434.22,4240.6
26,56,0.3726,90,0.23833,7559.82504,230.0348986,Altemus:1973,0.1343,90,0.2383,0.2299,1.2275,0.1001,6591.884,3006.9
26,56,0.3726,90,0.25893,8726.79852,289.5137017,Altemus:1973,0.1137,90,0.2589,0.2505,1.2815,0.0847,7632.56,2149.732
26,56,0.3726,90,0.27947,10043.51004,415.7890668,Altemus:1973,0.0931,90,0.2795,0.271,1.3354,0.0694,9154.028,1495.416
26,56,0.3726,90,0.28987,10577.9376,617.1608234,Altemus:1973,0.0827,90,0.2899,0.2814,1.3627,0.0617,9942.66,1214.564
26,56,0.3726,90,0.30013,11345.0634,966.5469946,Altemus:1973,0.0725,90,0.3001,0.2917,1.3896,0.054,10625.368,964.86
26,56,0.3726,90,0.3104,12521.8692,1699.662682,Altemus:1973,0.0622,90,0.3104,0.3019,1.4165,0.0464,11134.5,740.636
26,56,0.1003,140,0.00189,19163.6313,6070.066355,Altemus:1973,0.0984,140,0.0019,0.0007,0.849,0.0349,0.364,0
26,56,0.1003,140,0.00448,20891.8778,6622.125976,Altemus:1973,0.0958,140,0.0045,0.0033,0.8548,0.0339,4.004,0
26,56,0.1003,140,0.00913,16033.1987,5082.431448,Altemus:1973,0.0912,140,0.0091,0.008,0.8652,0.0323,35196.72,0
26,56,0.1003,140,0.01463,20625.8479,6538.14926,Altemus:1973,0.0857,140,0.0146,0.0135,0.8775,0.0304,11709.308,5313.1
26,56,0.1003,140,0.01992,21780.9611,6905.188209,Altemus:1973,0.0804,140,0.0199,0.0188,0.8893,0.0285,77795.692,19490.38
26,56,0.1003,140,0.02519,25016.2891,7930.8289,Altemus:1973,0.0751,140,0.0252,0.024,0.901,0.0266,42172.052,27965.808
26,56,0.1003,140,0.03047,26882.9217,8523.995103,Altemus:1973,0.0698,140,0.0305,0.0293,0.9128,0.0247,35305.348,31792.644
26,56,0.1003,140,0.03576,28721.7507,9109.834553,Altemus:1973,0.0645,140,0.0358,0.0346,0.9246,0.0229,32684.184,30518.176
26,56,0.1003,140,0.04105,28773.5665,9132.3838,Altemus:1973,0.0592,140,0.0411,0.0399,0.9364,0.021,26211.016,25270.128
26,56,0.1305,140,0.00314,3223.773,223.4169485,Altemus:1973,0.1274,140,0.0031,0.0012,0.8275,0.0587,0.38816598,0
26,56,0.1305,140,0.0062,933.7986,120.2633561,Altemus:1973,0.1243,140,0.0062,0.0042,0.8347,0.0573,2117.833588,0
26,56,0.1305,140,0.00886,8892.20556,548.890486,Altemus:1973,0.1216,140,0.0089,0.0069,0.8409,0.0561,16.14770478,0
26,56,0.1305,140,0.01239,10202.3208,616.9177345,Altemus:1973,0.1181,140,0.0124,0.0104,0.8492,0.0544,57229.32893,0
26,56,0.1305,140,0.02354,16790.6592,1013.976915,Altemus:1973,0.107,140,0.0235,0.0216,0.8752,0.0493,39546.8935,25368.27711
26,56,0.1305,140,0.02879,18682.4988,1127.744371,Altemus:1973,0.1017,140,0.0288,0.0268,0.8875,0.0469,37259.43138,33193.70327
26,56,0.1305,140,0.03406,20513.7324,1238.043771,Altemus:1973,0.0964,140,0.0341,0.0321,0.8998,0.0445,41096.29683,38322.54037
26,56,0.1305,140,0.04172,22899.744,1388.603829,Altemus:1973,0.0888,140,0.0417,0.0398,0.9177,0.0409,41018.74127,39735.54217
26,56,0.1305,140,0.04463,24270.372,1471.414448,Altemus:1973,0.0859,140,0.0446,0.0427,0.9245,0.0396,39376.6439,38480.21339
26,56,0.1305,140,0.04992,24681.5604,1499.290111,Altemus:1973,0.0806,140,0.0499,0.048,0.9369,0.0371,34769.73478,34326.99267
26,56,0.1305,140,0.0552,24499.7424,1492.968178,Altemus:1973,0.0753,140,0.0552,0.0532,0.9492,0.0347,28921.78139,28749.12516
26,56,0.1305,140,0.06051,20736.576,1276.65778,Altemus:1973,0.07,140,0.0605,0.0586,0.9616,0.0323,26684.164,26652.964
26,56,0.1305,140,0.0658,18659.1888,1166.416408,Altemus:1973,0.0647,140,0.0658,0.0638,0.974,0.0298,24807.64,24800.048
26,56,0.1305,140,0.07109,15203.7144,989.7392228,Altemus:1973,0.0594,140,0.0711,0.0691,0.9864,0.0274,21536.944,21529.976
26,56,0.1603,140,0.00516,2420.06088,132.0304528,Altemus:1973,0.1551,140,0.0052,0.0022,0.8022,0.0878,0.219622412,0
26,56,0.1603,140,0.01117,4924.722,260.8708235,Altemus:1973,0.1491,140,0.0112,0.0082,0.8169,0.0844,1391.600808,0
26,56,0.1603,140,0.0216,9691.9764,499.5843934,Altemus:1973,0.1387,140,0.0216,0.0187,0.8424,0.0785,17801.78741,12408.0806
26,56,0.1603,140,0.03212,13244.7748,677.9953956,Altemus:1973,0.1282,140,0.0321,0.0292,0.8681,0.0726,24963.82066,23678.29748
26,56,0.1603,140,0.04266,16574.2368,845.6748442,Altemus:1973,0.1176,140,0.0427,0.0397,0.8938,0.0666,30681.03128,29799.02768
26,56,0.1603,140,0.05323,18697.4764,954.7148979,Altemus:1973,0.1071,140,0.0532,0.0503,0.9196,0.0606,30215.79781,29927.94603
26,56,0.1603,140,0.06382,19583.6176,1003.192098,Altemus:1973,0.0965,140,0.0638,0.0609,0.9455,0.0546,25012.1376,24978.24254
26,56,0.1603,140,0.07449,18125.2412,936.9675897,Altemus:1973,0.0858,140,0.0745,0.0716,0.9716,0.0486,20772.7,20751.224
26,56,0.1603,140,0.08506,13760.404,732.2654444,Altemus:1973,0.0752,140,0.0851,0.0821,0.9974,0.0426,16779.152,16729.492
26,56,0.1603,140,0.09565,10715.0012,608.7879151,Altemus:1973,0.0646,140,0.0956,0.0927,1.0232,0.0366,11786.736,11682.528
26,56,0.19,140,0.00653,1333.7316,48.61474493,Altemus:1973,0.1835,140,0.0065,0.0025,0.7695,0.1231,0.06354947,0
26,56,0.19,140,0.01551,3915.8259,121.4043272,Altemus:1973,0.1745,140,0.0155,0.0114,0.7924,0.1171,9435.444006,0
26,56,0.19,140,0.0292,7723.7052,235.7016086,Altemus:1973,0.1608,140,0.0292,0.0251,0.8272,0.1079,11632.47628,11167.61191
26,56,0.19,140,0.04057,10724.892,328.8698976,Altemus:1973,0.1494,140,0.0406,0.0365,0.8562,0.1003,17491.86451,17007.74465
26,56,0.19,140,0.0511,12778.203,388.5649344,Altemus:1973,0.1389,140,0.0511,0.047,0.883,0.0932,20683.12825,20384.38219
26,56,0.19,140,0.06167,14799.537,448.6479023,Altemus:1973,0.1283,140,0.0617,0.0576,0.91,0.0861,21158.66893,21101.9828
26,56,0.19,140,0.07227,15764.661,480.8574249,Altemus:1973,0.1177,140,0.0723,0.0682,0.937,0.079,19131.12309,19102.39873
26,56,0.19,140,0.08285,15418.728,478.5306701,Altemus:1973,0.1072,140,0.0828,0.0788,0.9639,0.0719,17140.708,17098.432
26,56,0.19,140,0.09351,13719.102,441.0358141,Altemus:1973,0.0965,140,0.0935,0.0894,0.9911,0.0648,15135.692,15060.968
26,56,0.19,140,0.10411,10478.766,364.4949354,Altemus:1973,0.0859,140,0.1041,0.1,1.0181,0.0576,11963.432,11819.34
26,56,0.19,140,0.11472,8104.0377,318.790339,Altemus:1973,0.0753,140,0.1147,0.1106,1.0451,0.0505,8732.932,8474.492
26,56,0.19,140,0.12532,7382.811,338.4237848,Altemus:1973,0.0647,140,0.1253,0.1212,1.0721,0.0434,6154.2,5683.86
26,56,0.2203,140,0.00642,457.53904,30.72222404,Altemus:1973,0.2139,140,0.0064,0.001,0.726,0.1664,0,0
26,56,0.2203,140,0.01453,2050.71552,84.05012634,Altemus:1973,0.2058,140,0.0145,0.0091,0.7475,0.1601,0.610508801,0
26,56,0.2203,140,0.02472,3956.38488,142.3608197,Altemus:1973,0.1956,140,0.0247,0.0193,0.7746,0.1522,6461.747255,3903.959581
26,56,0.2203,140,0.03491,5538.3104,190.3222963,Altemus:1973,0.1854,140,0.0349,0.0295,0.8016,0.1443,7799.005733,7675.866108
26,56,0.2203,140,0.04512,7543.61664,282.2338764,Altemus:1973,0.1752,140,0.0451,0.0397,0.8287,0.1363,11314.86487,11081.4063
26,56,0.2203,140,0.05535,9386.54416,340.6900015,Altemus:1973,0.1649,140,0.0554,0.0499,0.8559,0.1284,14003.54563,13880.65021
26,56,0.2203,140,0.06558,10979.3152,392.1698436,Altemus:1973,0.1547,140,0.0656,0.0601,0.883,0.1204,15634.82515,15607.59646
26,56,0.2203,140,0.07583,11711.1344,419.9225736,Altemus:1973,0.1445,140,0.0758,0.0704,0.9102,0.1124,15919.07805,15895.69556
26,56,0.2203,140,0.08609,12537.2184,450.8708192,Altemus:1973,0.1342,140,0.0861,0.0807,0.9375,0.1044,14722.8471,14676.75369
26,56,0.2203,140,0.09637,12842.312,468.12961,Altemus:1973,0.1239,140,0.0964,0.0909,0.9648,0.0964,13532.064,13461.188
26,56,0.2203,140,0.10662,11158.7224,430.3336426,Altemus:1973,0.1137,140,0.1066,0.1012,0.992,0.0885,12371.268,12252.916
