Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,nu-nuel,w2,q2,scaled_sigtot_Fe56,sigqe,sigie,sigmec,nuccstot,signonuc,,ratio
26,56,0.2497,90,0.00557,5170.7,47.459,Altemus:1973,0.2441,90,0.0056,0.0016,0.7689,0.1219,0.208,0,0,0,0.208,0,,24859.13462
26,56,0.2497,90,0.00846,7581.7,76.641,Altemus:1973,0.2412,90,0.0085,0.0045,0.7758,0.1205,4.108,0,0,0,4.108,0,,1845.593963
26,56,0.2497,90,0.01298,10270,125.24,Altemus:1973,0.2367,90,0.013,0.0091,0.7865,0.1182,2716.48,0,0,0,2716.48,0,,3.780627871
26,56,0.2497,90,0.0232,15243,159.01,Altemus:1973,0.2265,90,0.0232,0.0193,0.8108,0.1131,6352.84,2203.656,0,555.62,3593.564,2759.276,,2.399399324
26,56,0.2497,90,0.03343,20004,188.32,Altemus:1973,0.2163,90,0.0334,0.0295,0.8351,0.108,18858.164,13363.48,0,3206.944,2287.74,16570.372,,1.06076074
26,56,0.2497,90,0.04366,24455,214.89,Altemus:1973,0.206,90,0.0437,0.0397,0.8594,0.1029,28513.472,20451.756,2.444,5107.44,2951.832,25561.64,,0.857664756
26,56,0.2497,90,0.05391,29263,242.22,Altemus:1973,0.1958,90,0.0539,0.05,0.8837,0.0978,33563.712,25847.588,9.308,6424.964,1281.8,32281.912,,0.871864232
26,56,0.2497,90,0.06417,30952,258.28,Altemus:1973,0.1855,90,0.0642,0.0602,0.9081,0.0927,36013.796,28985.736,25.532,6864.728,137.852,35875.944,,0.859448418
26,56,0.2497,90,0.07442,33096,276.06,Altemus:1973,0.1753,90,0.0744,0.0705,0.9325,0.0875,35783.436,29285.204,41.392,6453.356,3.432,35780.004,,0.924897207
26,56,0.2497,90,0.08469,33026,286.41,Altemus:1973,0.165,90,0.0847,0.0808,0.9569,0.0824,32343.688,26800.8,79.716,5463.224,0,32343.688,,1.021095677
26,56,0.2497,90,0.09492,31420,474.9,Altemus:1973,0.1548,90,0.0949,0.091,0.9812,0.0773,26958.932,22545.744,141.336,4271.904,0,26958.932,,1.165476437
26,56,0.2497,90,0.10521,24290,341.59,Altemus:1973,0.1445,90,0.1052,0.1013,1.0056,0.0722,21180.744,17762.472,235.976,3182.296,0,21180.744,,1.146796354
26,56,0.2497,90,0.12109,17205,409.39,Altemus:1973,0.1286,90,0.1211,0.1172,1.0434,0.0642,13829.088,11261.38,517.816,2049.84,0,13829.088,,1.244116749
26,56,0.2497,90,0.13085,14151,311.75,Altemus:1973,0.1189,90,0.1308,0.1269,1.0665,0.0594,10597.34,8161.452,769.392,1666.496,0,10597.34,,1.335335094
26,56,0.2497,90,0.14158,11988,387.27,Altemus:1973,0.1081,90,0.1416,0.1377,1.092,0.054,8110.804,5514.756,1187.524,1408.524,0,8110.804,,1.478028565
26,56,0.2497,90,0.15142,10102,381.34,Altemus:1973,0.0983,90,0.1514,0.1475,1.1154,0.0491,6582.888,3686.696,1658.228,1237.964,0,6582.888,,1.534584821
26,56,0.2497,90,0.15759,9221.5,460.77,Altemus:1973,0.0921,90,0.1576,0.1537,1.1301,0.046,5975.528,2787.148,2049.476,1138.904,0,5975.528,,1.54321091
26,56,0.2497,90,0.16376,8102.7,596.58,Altemus:1973,0.0859,90,0.1638,0.1598,1.1447,0.0429,5584.28,2051.244,2495.376,1037.712,0,5584.28,,1.450983833
26,56,0.2497,90,0.1699,8569,819.35,Altemus:1973,0.0798,90,0.1699,0.166,1.1593,0.0399,5389.384,1461.824,2995.252,932.256,0,5389.384,,1.58997763
26,56,0.2497,90,0.17617,9595.7,1162.4,Altemus:1973,0.0735,90,0.1762,0.1722,1.1742,0.0367,5413.616,988.728,3605.212,819.676,0,5413.616,,1.772512125
26,56,0.2497,90,0.18233,9856.9,1666,Altemus:1973,0.0674,90,0.1823,0.1784,1.1889,0.0336,5553.808,634.14,4213.924,705.692,0,5553.808,,1.774800281
26,56,0.2497,90,0.1885,13129,2430.7,Altemus:1973,0.0612,90,0.1885,0.1846,1.2035,0.0306,5842.876,373.204,4878.796,590.876,0,5842.876,,2.247009863
26,56,0.2988,90,0.01174,3017.8,92.737,Altemus:1973,0.2871,90,0.0117,0.0062,0.7308,0.1715,3106.688,0,0,0,3106.688,0,,0.971388179
26,56,0.2988,90,0.02222,5636.4,133.34,Altemus:1973,0.2766,90,0.0222,0.0167,0.7568,0.1653,2910.96,0,0,0,2910.96,0,,1.936268448
